date,RedFull,RedDashed,RedDots,BlueFull,BlueDashed,BlueDots,PurpleFull,PurpleDashed,PurpleDots,GreenFull,GreenDashed,GreenDots,reality_report,reality
2021-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,884,1006
2021-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840,1007
2021-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,859,986
2021-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,869,941
2021-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,872,909
2021-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,772,881
2021-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744,868
2021-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,714,862
2021-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744,861
2021-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,719,867
2021-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,715,842
2021-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744,838
2021-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744,822
2021-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,713,811
2021-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,667,809
2021-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689,808
2021-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696,808
2021-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,680,780
2021-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,713,761
2021-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666,767
2021-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,690,763
2021-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,712,763
2021-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,715,771
2021-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730,831
2021-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760,855
2021-07-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,869,863
2021-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,891,886
2021-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,896,934
2021-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,947,958
2021-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,982,993
2021-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1086
2021-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1178
2021-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1211
2021-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1265
2021-08-04,NA,NA,NA,NA,NA,NA,1060,NA,NA,1144,1266,1437,NA,1299
2021-08-05,NA,NA,NA,1275,NA,NA,1129,1369,NA,1132,1287,1537,NA,1340
2021-08-06,NA,NA,NA,1256,NA,1690,1254,1553,NA,1221,1392,1642,NA,1380
2021-08-07,NA,NA,NA,1365,NA,1774,1333,1612,1784,1299,1502,1698,NA,1485
2021-08-08,1461,NA,NA,1430,NA,1811,1431,1745,1864,1388,1593,1802,NA,1527
2021-08-09,1569,1851,NA,1504,NA,1952,1509,1782,1976,1473,1699,1903,NA,1563
2021-08-10,1814,1966,NA,1567,2070,2138,1582,1860,2138,1505,1815,2072,NA,1614
2021-08-11,1795,2112,2351,1666,2301,2300,1667,1959,2291,1564,1737,2076,NA,1644
2021-08-12,2003,2267,2526,1750,2169,2439,1739,2085,2240,1627,1881,2182,NA,1659
2021-08-13,1988,2416,2679,1893,2447,2565,1808,2100,2393,1682,2022,2328,NA,1673
2021-08-14,2157,2576,2844,2034,2467,2685,1908,2259,2539,1723,2064,2356,NA,1729
2021-08-15,2276,2733,3020,2151,2528,2877,1937,2355,2585,1753,2153,2422,NA,1770
2021-08-16,2514,2963,3184,2247,2705,3025,2009,2429,2671,1794,2214,2459,NA,1800
2021-08-17,2617,3063,3390,2377,2818,3165,2075,2537,2889,1823,2222,2516,NA,1798
2021-08-18,2781,3313,3610,2526,2932,3312,2130,2622,2918,1850,2283,2581,NA,1834
2021-08-19,2929,3488,3822,2620,3148,3424,2186,2682,2975,1861,2326,2614,NA,1849
2021-08-20,3093,3711,4032,2710,3295,3606,2246,2775,3093,1880,2358,2657,NA,1866
2021-08-21,3258,3902,4238,2811,3356,3818,2305,2830,3173,1892,2363,2686,NA,1936
2021-08-22,3420,4135,4501,2937,3565,3972,2347,2903,3227,1892,2371,2698,NA,1937
2021-08-23,3583,4299,4722,3055,3676,4120,2345,2960,3347,1876,2388,2721,NA,1962
2021-08-24,3746,4539,4984,3146,3858,4266,2417,3014,3380,1861,2402,2728,NA,1977
2021-08-25,3869,4698,5190,3217,3964,4395,2445,3065,3467,1861,2393,2728,NA,1972
2021-08-26,4050,4914,5397,3319,4055,4518,2465,3109,3513,1828,2388,2728,NA,1959
2021-08-27,4179,5087,5660,3409,4234,4743,2480,3146,3536,1814,2358,2730,NA,1977
2021-08-28,4386,5260,5868,3487,4324,4828,2496,3162,3601,1799,2335,2709,NA,1990
2021-08-29,4471,5473,6066,3560,4410,4912,2495,3190,3624,1770,2311,2695,NA,1991
2021-08-30,4621,5647,6283,3627,4551,5038,2512,3209,3663,1739,2293,2672,NA,1997
2021-08-31,4736,5811,6484,3695,4619,5189,2513,3227,3685,1708,2246,2659,NA,1967
2021-09-01,4855,5953,6677,3750,4692,5268,2496,3226,3720,1674,2227,2624,NA,1958
2021-09-02,4958,6160,6860,3796,4776,5340,2496,3237,3734,1630,2204,2583,NA,1933
2021-09-03,5058,6281,6988,3830,4844,5478,2488,3228,3721,1586,2169,2565,NA,1927
2021-09-04,5137,6393,7169,3870,4883,5561,2465,3224,3732,1552,2137,2484,NA,1959
2021-09-05,5211,6561,7353,3895,4966,5612,2435,3224,3729,1517,2084,2477,NA,1978
2021-09-06,5284,6647,7502,3905,5006,5703,2418,3210,3720,1473,2047,2402,NA,1949
2021-09-07,5330,6759,7617,3922,5045,5738,2387,3194,3702,1430,2024,2404,NA,1910
2021-09-08,5369,6820,7712,3937,5073,5814,2346,3162,3686,1396,1954,2348,NA,1878
2021-09-09,5396,6905,7843,3919,5083,5829,2326,3132,3651,1350,1918,2325,NA,1856
2021-09-10,5423,6933,7905,3905,5100,5858,2294,3096,3649,1303,1875,2262,NA,1852
2021-09-11,5423,7002,7974,3906,5110,5898,2264,3070,3602,1273,1816,2203,NA,1817
2021-09-12,5423,7030,8038,3874,5099,5888,2221,3033,3580,1227,1763,2163,NA,1753
2021-09-13,5417,7034,8057,3845,5083,5888,2179,2980,3543,1180,1720,2097,NA,1714
2021-09-14,5388,7034,8090,3809,5061,5872,2134,2948,3492,1145,1673,2043,NA,1701
2021-09-15,5346,7034,8106,3765,5031,5873,2094,2897,3464,1102,1620,2015,NA,1652
2021-09-16,5301,7007,8100,3723,4991,5825,2051,2865,3405,1057,1583,1950,NA,1604
2021-09-17,5253,6973,8089,3673,4967,5806,2008,2794,3346,1023,1539,1903,NA,1602
2021-09-18,5185,6930,8090,3620,4909,5754,1966,2756,3330,995,1484,1835,NA,1577
2021-09-19,5125,6875,8016,3562,4851,5716,1907,2707,3237,961,1441,1813,NA,1520
2021-09-20,5038,6798,7980,3504,4789,5669,1862,2643,3212,917,1399,1771,NA,1456
2021-09-21,4962,6712,7908,3428,4750,5614,1820,2594,3134,886,1347,1692,NA,1412
2021-09-22,4873,6656,7825,3371,4670,5572,1778,2538,3094,845,1296,1676,NA,1410
2021-09-23,4780,6558,7764,3302,4599,5480,1722,2468,3052,820,1256,1600,NA,1402
2021-09-24,4679,6424,7684,3239,4531,5421,1675,2418,2975,792,1215,1559,NA,1406
2021-09-25,4576,6373,7567,3164,4419,5371,1630,2355,2918,762,1171,1540,NA,1403
2021-09-26,4486,6256,7459,3090,4365,5230,1588,2334,2834,731,1138,1474,NA,1355
2021-09-27,4375,6113,7366,3016,4302,5174,1545,2265,2789,710,1108,1420,NA,1305
2021-09-28,4257,6031,7223,2942,4197,5106,1503,2214,2758,682,1062,1358,NA,1255
2021-09-29,4170,5896,7090,2870,4108,4982,1459,2165,2681,653,1025,1344,NA,1215
2021-09-30,4044,5787,7010,2793,NA,4930,1415,2100,2635,621,991,1318,NA,1193
