date,green1,green2,green3,blue1,blue2,blue3,reality_report,reality
2020-10-01,485.2857142857143,485.2857142857143,485.2857142857143,485.2857142857143,485.2857142857143,485.2857142857143,485.2857142857143,564
2020-10-02,499.0816326530612,499.0816326530612,499.0816326530612,499.0816326530612,499.0816326530612,499.0816326530612,499.0816326530612,585.1224489795918
2020-10-03,512.8775510204082,512.8775510204082,512.8775510204082,512.8775510204082,512.8775510204082,512.8775510204082,512.8775510204082,606.2448979591837
2020-10-04,526.6734693877551,526.6734693877551,526.6734693877551,526.6734693877551,526.6734693877551,526.6734693877551,526.6734693877551,627.3673469387755
2020-10-05,540.469387755102,540.469387755102,540.469387755102,540.469387755102,540.469387755102,540.469387755102,540.469387755102,648.4897959183673
2020-10-06,554.265306122449,554.265306122449,554.265306122449,554.265306122449,554.265306122449,554.265306122449,554.265306122449,669.6122448979593
2020-10-07,568.0612244897959,568.0612244897959,568.0612244897959,568.0612244897959,568.0612244897959,568.0612244897959,568.0612244897959,690.7346938775511
2020-10-08,581.8571428571429,581.8571428571429,581.8571428571429,581.8571428571429,581.8571428571429,581.8571428571429,581.8571428571429,711.8571428571429
2020-10-09,634.5918367346939,634.5918367346939,634.5918367346939,634.5918367346939,634.5918367346939,634.5918367346939,634.5918367346939,766.3469387755102
2020-10-10,687.3265306122449,687.3265306122449,687.3265306122449,687.3265306122449,687.3265306122449,687.3265306122449,687.3265306122449,820.8367346938776
2020-10-11,740.0612244897959,740.0612244897959,740.0612244897959,740.0612244897959,740.0612244897959,740.0612244897959,740.0612244897959,875.3265306122448
2020-10-12,792.795918367347,792.795918367347,792.795918367347,792.795918367347,792.795918367347,792.795918367347,792.795918367347,929.8163265306122
2020-10-13,845.530612244898,845.530612244898,845.530612244898,845.530612244898,845.530612244898,845.530612244898,845.530612244898,984.3061224489795
2020-10-14,898.2653061224489,898.2653061224489,898.2653061224489,898.2653061224489,898.2653061224489,898.2653061224489,898.2653061224489,1038.795918367347
2020-10-15,951,951,951,951,951,951,951,1093.2857142857142
2020-10-16,1030.9795918367347,1030.9795918367347,1030.9795918367347,1030.9795918367347,1030.9795918367347,1030.9795918367347,1030.9795918367347,1172.2244897959183
2020-10-17,1110.9591836734694,1110.9591836734694,1110.9591836734694,1110.9591836734694,1110.9591836734694,1110.9591836734694,1110.9591836734694,1251.1632653061224
2020-10-18,1190.938775510204,1190.938775510204,1190.938775510204,1190.938775510204,1190.938775510204,1190.938775510204,1190.938775510204,1330.1020408163265
2020-10-19,1270.9183673469388,1270.9183673469388,1270.9183673469388,1270.9183673469388,1270.9183673469388,1270.9183673469388,1270.9183673469388,1409.0408163265306
2020-10-20,1350.8979591836735,1350.8979591836735,1350.8979591836735,1350.8979591836735,1350.8979591836735,1350.8979591836735,1350.8979591836735,1487.9795918367347
2020-10-21,1430.8775510204082,1430.8775510204082,1430.8775510204082,1430.8775510204082,1430.8775510204082,1430.8775510204082,1430.8775510204082,1566.9183673469388
2020-10-22,1510.857142857143,1510.857142857143,1510.857142857143,1510.857142857143,1510.857142857143,1510.857142857143,1510.857142857143,1645.857142857143
2020-10-23,1616.591836734694,1616.591836734694,1616.591836734694,1616.591836734694,1616.591836734694,1616.591836734694,1616.591836734694,1721.5714285714287
2020-10-24,1722.3265306122448,1722.3265306122448,1722.3265306122448,1722.3265306122448,1722.3265306122448,1722.3265306122448,1722.3265306122448,1797.2857142857142
2020-10-25,1828.061224489796,1828.061224489796,1828.061224489796,1828.061224489796,1828.061224489796,1828.061224489796,1828.061224489796,1873
2020-10-26,1933.795918367347,1933.795918367347,1933.795918367347,1933.795918367347,1933.795918367347,1933.795918367347,1933.795918367347,1948.7142857142856
