date,R_09,R_1,R_11,reality_report,reality
2020-10-01,567.5714285714286,567.5714285714286,567.5714285714286,567.5714285714286,564
2020-10-02,587.6938775510204,587.6938775510204,587.6938775510204,587.6938775510204,585.1224489795918
2020-10-03,607.8163265306123,607.8163265306123,607.8163265306123,607.8163265306123,606.2448979591837
2020-10-04,627.9387755102041,627.9387755102041,627.9387755102041,627.9387755102041,627.3673469387755
2020-10-05,648.0612244897959,648.0612244897959,648.0612244897959,648.0612244897959,648.4897959183673
2020-10-06,668.1836734693877,668.1836734693877,668.1836734693877,668.1836734693877,669.6122448979593
2020-10-07,688.3061224489796,688.3061224489796,688.3061224489796,688.3061224489796,690.7346938775511
2020-10-08,708.4285714285714,708.4285714285714,708.4285714285714,708.4285714285714,711.8571428571429
2020-10-09,765.1224489795918,765.1224489795918,765.1224489795918,765.1224489795918,766.3469387755102
2020-10-10,821.8163265306123,821.8163265306123,821.8163265306123,821.8163265306123,820.8367346938776
2020-10-11,878.5102040816327,878.5102040816327,878.5102040816327,878.5102040816327,875.3265306122448
2020-10-12,935.204081632653,935.204081632653,935.204081632653,935.204081632653,929.8163265306122
2020-10-13,991.8979591836735,991.8979591836735,991.8979591836735,991.8979591836735,984.3061224489795
2020-10-14,1048.5918367346937,1048.5918367346937,1048.5918367346937,1048.5918367346937,1038.795918367347
2020-10-15,1105.2857142857142,1105.2857142857142,1105.2857142857142,1105.2857142857142,1093.2857142857142
2020-10-16,1182.8775510204082,1182.8775510204082,1182.8775510204082,1182.8775510204082,1172.2244897959183
2020-10-17,1260.469387755102,1260.469387755102,1260.469387755102,1260.469387755102,1251.1632653061224
2020-10-18,1338.061224489796,1338.061224489796,1338.061224489796,1338.061224489796,1330.1020408163265
2020-10-19,1415.6530612244896,1415.6530612244896,1415.6530612244896,1415.6530612244896,1409.0408163265306
2020-10-20,1493.2448979591836,1493.2448979591836,1493.2448979591836,1493.2448979591836,1487.9795918367347
2020-10-21,1570.8367346938774,1570.8367346938774,1570.8367346938774,1570.8367346938774,1566.9183673469388
2020-10-22,1648.4285714285713,1648.4285714285713,1648.4285714285713,1648.4285714285713,1645.857142857143
2020-10-23,1724.2857142857142,1724.2857142857142,1724.2857142857142,1724.2857142857142,1721.5714285714287
2020-10-24,1800.142857142857,1800.142857142857,1800.142857142857,1800.142857142857,1797.2857142857142
2020-10-25,1876,1876,1876,1876,1873
2020-10-26,1951.857142857143,1951.857142857143,1951.857142857143,1951.857142857143,1948.7142857142856
2020-10-27,2027.7142857142858,2027.7142857142858,2027.7142857142858,2027.7142857142858,2024.4285714285713
2020-10-28,2103.5714285714284,2103.5714285714284,2103.5714285714284,2103.5714285714284,2100.142857142857
2020-10-29,2179.4285714285716,2179.4285714285716,2179.4285714285716,2179.4285714285716,2175.8571428571427
2020-10-30,2201.285714285714,2201.285714285714,2201.285714285714,2201.285714285714,2196.7551020408164
2020-10-31,2223.1428571428573,2223.1428571428573,2223.1428571428573,2223.1428571428573,2217.6530612244896
2020-11-01,2245,2245,2245,2245,2238.5510204081634
2020-11-02,2266.857142857143,2266.857142857143,2266.857142857143,2266.857142857143,2259.4489795918366
2020-11-03,2288.714285714286,2288.714285714286,2288.714285714286,2288.714285714286,2280.3469387755104
2020-11-04,2310.571428571429,2310.571428571429,2310.571428571429,2310.571428571429,2301.2448979591836
2020-11-05,2332.4285714285716,2332.4285714285716,2332.4285714285716,2332.4285714285716,2322.1428571428573
2020-11-06,2285.4897959183672,2285.4897959183672,2285.4897959183672,2285.4897959183672,2274.9387755102043
2020-11-07,2238.5510204081634,2238.5510204081634,2238.5510204081634,2238.5510204081634,2227.7346938775513
2020-11-08,2191.6122448979595,2191.6122448979595,2191.6122448979595,2191.6122448979595,2180.5306122448983
2020-11-09,2144.673469387755,2144.673469387755,2144.673469387755,2144.673469387755,2133.326530612245
2020-11-10,2097.734693877551,2097.734693877551,2097.734693877551,2097.734693877551,2086.122448979592
2020-11-11,2050.795918367347,2050.795918367347,2050.795918367347,2050.795918367347,2038.9183673469388
2020-11-12,2003.857142857143,2003.857142857143,2003.857142857143,2003.857142857143,1991.7142857142858
2020-11-13,1926.4489795918369,1926.4489795918369,1926.4489795918369,1926.4489795918369,1914.8979591836735
2020-11-14,1849.0408163265306,1849.0408163265306,1849.0408163265306,1849.0408163265306,1838.0816326530612
2020-11-15,1771.6326530612246,1771.6326530612246,1771.6326530612246,1771.6326530612246,1761.2653061224491
2020-11-16,1694.2244897959183,1694.2244897959183,1694.2244897959183,1694.2244897959183,1684.4489795918369
2020-11-17,1616.8163265306123,1616.8163265306123,1616.8163265306123,1616.8163265306123,1607.6326530612246
2020-11-18,1539.408163265306,1539.408163265306,1539.408163265306,1539.408163265306,1530.8163265306123
2020-11-19,1462,1462,1462,1462,1454
2020-11-20,1411.5714285714287,1411.5714285714287,1411.5714285714287,1411.5714285714287,1403.530612244898
2020-11-21,1361.142857142857,1361.142857142857,1361.142857142857,1361.142857142857,1353.061224489796
2020-11-22,1310.7142857142858,1310.7142857142858,1310.7142857142858,1310.7142857142858,1302.591836734694
2020-11-23,1260.2857142857142,1260.2857142857142,1260.2857142857142,1260.2857142857142,1252.1224489795918
2020-11-24,1209.857142857143,1209.857142857143,1209.857142857143,1209.857142857143,1201.6530612244899
2020-11-25,1159.4285714285716,1159.4285714285716,1159.4285714285716,1159.4285714285716,1151.183673469388
2020-11-26,1109,1109,1109,1109,1100.7142857142858
2020-11-27,1099.5102040816328,1099.5102040816328,1099.5102040816328,1099.5102040816328,1090.4489795918369
2020-11-28,1090.0204081632653,1090.0204081632653,1090.0204081632653,1090.0204081632653,1080.1836734693877
2020-11-29,1080.530612244898,1080.530612244898,1080.530612244898,1080.530612244898,1069.9183673469388
2020-11-30,1071.0408163265306,1071.0408163265306,1071.0408163265306,1071.0408163265306,1059.6530612244899
2020-12-01,1061.5510204081634,1061.5510204081634,1061.5510204081634,1061.5510204081634,1049.387755102041
2020-12-02,1052.061224489796,1052.061224489796,1052.061224489796,1052.061224489796,1039.1224489795918
2020-12-03,1042.5714285714287,1042.5714285714287,1042.5714285714287,1042.5714285714287,1028.857142857143
2020-12-04,1036.1224489795918,1036.1224489795918,1036.1224489795918,1036.1224489795918,1022.5714285714286
2020-12-05,1029.6734693877552,1029.6734693877552,1029.6734693877552,1029.6734693877552,1016.2857142857143
2020-12-06,1023.2244897959184,1023.2244897959184,1023.2244897959184,1023.2244897959184,1010
2020-12-07,1016.7755102040817,1016.7755102040817,1016.7755102040817,1016.7755102040817,1003.7142857142858
2020-12-08,1010.3265306122449,1010.3265306122449,1010.3265306122449,1010.3265306122449,997.4285714285714
2020-12-09,1003.8775510204082,1003.8775510204082,1003.8775510204082,1003.8775510204082,991.1428571428572
2020-12-10,997.4285714285714,997.4285714285714,997.4285714285714,997.4285714285714,984.8571428571429
