date,blue_full_60,blue_dashed_60,orange_full_60,orange_dashed_60,purple_full_60,purple_dashed_60,blue_full_40,blue_dashed_40,orange_full_40,orange_dashed_40,purple_full_40,purple_dashed_40,reality_report,reality
2021-01-01,988,988,988,988,988,988,988,988,988,988,988,988,1018,989
2021-01-02,987,987,987,987,987,987,987,987,987,987,987,987,1017,1001
2021-01-03,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004,1034,1014
2021-01-04,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1055,1028
2021-01-05,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1053,1041
2021-01-06,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1082,1055
2021-01-07,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1074,1104,1070
2021-01-08,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072,1102,1084
2021-01-09,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1111,1100
2021-01-10,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1136,1117
2021-01-11,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1156,1137
2021-01-12,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1165,1157
2021-01-13,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1188,1178
2021-01-14,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1210,1199
2021-01-15,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1209,1220
2021-01-16,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1230,1241
2021-01-17,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1256,1262
2021-01-18,1224,1224,1224,1224,1224,1224,1224,1224,1224,1224,1224,1224,1254,1280
2021-01-19,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1307,1295
2021-01-20,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,1332,1307
2021-01-21,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1331,1317
2021-01-22,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1309,1339,1323
2021-01-23,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1340,1328
2021-01-24,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1352,1331
2021-01-25,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1362,1333
2021-01-26,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1360,1334
2021-01-27,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1360,1335
2021-01-28,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1362,1335
2021-01-29,1326,1326,1326,1326,1326,1326,1326,1326,1326,1326,1326,1326,1356,1334
2021-01-30,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1340,1331
2021-01-31,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1341,1327
2021-02-01,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,1331,1320
2021-02-02,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1322,1311
2021-02-03,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1314,1300
2021-02-04,1266,1266,1266,1266,1266,1266,1266,1266,1266,1266,1266,1266,1296,1286
2021-02-05,1248,1248,1248,1248,1248,1248,1248,1248,1248,1248,1248,1248,1278,1270
2021-02-06,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1262,1251
2021-02-07,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1250,1230
2021-02-08,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1240,1209
2021-02-09,1203,1203,1203,1203,1203,1203,1203,1203,1203,1203,1203,1203,1233,1187
2021-02-10,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1216,1167
2021-02-11,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,1191,1149
2021-02-12,1155,1155,1155,1155,1155,1155,1155,1155,1155,1155,1155,1155,1185,1135
2021-02-13,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1182,1123
2021-02-14,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1150,1115
2021-02-15,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1132,1111
2021-02-16,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1144,1110
2021-02-17,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1152,1112
2021-02-18,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1161,1116
2021-02-19,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1161,1122
2021-02-20,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1160,1130
2021-02-21,1143,1143,1143,1143,1143,1143,1143,1143,1143,1143,1143,1143,1173,1139
2021-02-22,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1188,1148
2021-02-23,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1187,1158
2021-02-24,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1203,1166
2021-02-25,1159,1159,1159,1159,1159,1159,1159,1159,1159,1159,1159,1159,1189,1173
2021-02-26,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1188,1179
2021-02-27,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1195,1182
2021-02-28,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1195,1184
2021-03-01,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1211,1185
2021-03-02,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1205,1187
2021-03-03,1168,1168,1168,1168,1168,1168,1168,1168,1168,1168,1168,1168,1198,1188
2021-03-04,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1200,1190
2021-03-05,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1209,1194
2021-03-06,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1218,1198
2021-03-07,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1218,1205
2021-03-08,1205,1205,1205,1205,1205,1205,1205,1205,1205,1205,1205,1205,1235,1214
2021-03-09,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1245,1226
2021-03-10,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1253,1240
2021-03-11,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1270,1258
2021-03-12,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1281,1280
2021-03-13,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1294,1303
2021-03-14,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1318,1330
2021-03-15,1318,1318,1318,1318,1318,1318,1318,1318,1318,1318,1318,1318,1348,1357
2021-03-16,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1390,1386
2021-03-17,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1430,1416
2021-03-18,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1453,1447
2021-03-19,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1467,1476
2021-03-20,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1479,1504
2021-03-21,1486,1486,1486,1486,1486,1486,1486,1486,1486,1486,1486,1486,1516,1529
2021-03-22,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1542,1552
2021-03-23,1539,1539,1539,1539,1539,1539,1539,1539,1539,1539,1539,1539,1569,1575
