date,blue_full,blue_dashed,purple_full,purple_dashed,pink_full,pink_dashed,reality_report,reality
2021-07-01,44,44,44,44,44,44,44,69
2021-07-02,44,44,44,44,44,44,44,79
2021-07-03,44,44,44,44,44,44,44,73
2021-07-04,44,44,44,44,44,44,44,75
2021-07-05,44,44,44,44,44,44,44,78
2021-07-06,44,44,44,44,44,44,44,82
2021-07-07,44,44,44,44,44,44,44,80
2021-07-08,44,44,44,44,44,44,44,81
2021-07-09,44,44,44,44,44,44,44,93
2021-07-10,44,44,44,44,44,44,44,95
2021-07-11,58,58,58,58,58,58,58,97
2021-07-12,76,76,76,76,76,76,76,108
2021-07-13,71,71,71,71,71,71,71,117
2021-07-14,87,87,87,87,87,87,87,117
2021-07-15,98,98,98,98,98,98,98,124
2021-07-16,82,82,82,82,82,82,82,139
2021-07-17,107,107,107,107,107,107,107,155
2021-07-18,131,131,131,131,131,131,131,159
2021-07-19,147,147,147,147,147,147,147,192
2021-07-20,175,175,175,175,175,175,175,200
2021-07-21,196,196,196,196,196,196,196,227
2021-07-22,185,185,185,185,185,185,185,242
2021-07-23,240,240,240,240,240,240,240,261
2021-07-24,242,242,242,242,242,242,242,273
2021-07-25,294,294,294,294,294,294,294,303
2021-07-26,310,310,310,310,310,310,NA,327
2021-07-27,327,327,327,327,327,327,NA,358
2021-07-28,365,365,365,365,365,365,NA,381
2021-07-29,403,403,403,403,403,403,NA,420
2021-07-30,446,446,446,446,446,446,NA,439
2021-07-31,495,501,501,501,501,501,NA,458
2021-08-01,550,566,566,566,566,566,NA,482
2021-08-02,604,615,615,615,615,615,NA,506
2021-08-03,675,675,675,675,675,675,NA,529
2021-08-04,735,746,746,702,746,746,NA,549
2021-08-05,806,806,757,762,740,740,NA,574
2021-08-06,871,871,817,817,806,806,NA,588
2021-08-07,953,969,876,887,855,855,NA,604
2021-08-08,1051,1051,974,957,920,920,NA,616
2021-08-09,1116,1116,1034,1002,974,969,NA,618
2021-08-10,1225,1219,1111,1088,1015,1002,NA,621
2021-08-11,1320,1312,1212,1182,1040,1013,NA,628
2021-08-12,1432,1426,1301,1292,1083,1051,NA,627
2021-08-13,1535,1493,1377,1356,1149,1064,NA,628
2021-08-14,1673,1579,1444,1388,1152,1072,NA,628
2021-08-15,1781,1689,1534,1463,1219,1089,NA,624
2021-08-16,1920,1733,1633,1485,1263,1145,NA,624
2021-08-17,2080,1830,1720,1514,1285,1138,NA,620
2021-08-18,2216,1945,1797,1601,1312,1170,NA,617
2021-08-19,2352,2063,1905,1650,1339,1181,NA,612
2021-08-20,2485,2112,1973,1699,1361,1176,NA,604
2021-08-21,2607,2219,2058,1727,1388,1178,NA,600
2021-08-22,2771,2314,2140,1790,1405,1182,NA,597
2021-08-23,2907,2374,2221,1847,1437,1188,NA,580
2021-08-24,3019,2428,2303,1862,1454,1192,NA,571
2021-08-25,3179,2485,2363,1895,1459,1192,NA,558
2021-08-26,3277,2576,2428,1911,1475,1181,NA,551
2021-08-27,3397,2602,2488,1916,1486,1170,NA,534
2021-08-28,3526,2629,2553,1921,1492,1165,NA,517
2021-08-29,3637,2684,2608,1928,1503,1145,NA,505
2021-08-30,3729,2675,2657,1937,1503,1119,NA,494
2021-08-31,3816,2706,2711,1944,1497,1093,NA,468
2021-09-01,3903,2722,2755,1938,1497,1078,NA,464
2021-09-02,3974,2755,2782,1927,1492,1062,NA,454
2021-09-03,4023,2722,2809,1905,1486,1034,NA,435
2021-09-04,4072,2711,2825,1901,1475,1018,NA,427
2021-09-05,4105,2698,2827,1872,1464,1009,NA,416
2021-09-06,4127,2673,2836,1838,1454,970,NA,400
2021-09-07,4127,2646,2836,1807,1443,929,NA,377
2021-09-08,4116,2589,2815,1797,1426,920,NA,361
2021-09-09,4088,2542,2798,1764,1399,898,NA,348
2021-09-10,4050,2526,2766,1731,1372,876,NA,341
2021-09-11,4001,2477,2733,1731,1350,855,NA,319
2021-09-12,3947,2444,2689,1684,1317,846,NA,304
2021-09-13,3865,2384,2646,1623,1285,818,NA,298
2021-09-14,3779,2291,2602,1595,1263,790,NA,287
2021-09-15,3713,2276,2537,1562,1230,768,NA,269
2021-09-16,3609,2221,2477,1524,1192,740,NA,254
2021-09-17,3511,2183,2406,1503,1160,724,NA,238
2021-09-18,3392,2102,2341,1449,1116,708,NA,226
2021-09-19,3272,2003,2259,1383,1083,686,NA,218
2021-09-20,3158,1971,2167,1345,1029,630,NA,213
2021-09-21,3040,1905,2090,1317,991,622,NA,202
2021-09-22,2902,1745,2003,1268,953,616,NA,194
2021-09-23,2760,1829,1916,1258,915,588,NA,189
2021-09-24,2635,1658,1840,1139,876,577,NA,188
2021-09-25,2504,1644,1753,1111,833,555,NA,180
2021-09-26,2384,1601,1666,1105,800,546,NA,165
2021-09-27,2265,1493,1601,1049,762,525,NA,162
2021-09-28,2145,1499,1513,1029,729,500,NA,159
2021-09-29,2031,1385,1454,1013,697,476,NA,171
2021-09-30,1922,1356,1383,893,670,468,NA,165
