date,reality,fig3A_R_1,fig3A_R_1_1,fig3A_R_1_2,fig3A_R_1_3,fig3C_R_1,fig3C_R_1_1,fig3C_R_1_2,fig3C_R_1_3,fig3E_R_1,med,min,max,error_min,error_med,error_max
2021-03-16,4189,4077,4077,4077,4077,4077,4077,4077,4077,4077,4077,4077,4077,-1.6,-1.6,-1.6
2021-03-17,4241,4126,4126,4126,4126,4126,4126,4126,4126,4126,4126,4126,4126,-1.7,-1.7,-1.7
2021-03-18,4295,4176,4176,4176,4176,4176,4176,4176,4176,4176,4176,4176,4176,-1.7,-1.7,-1.7
2021-03-19,4351,4271,4271,4271,4271,4271,4271,4271,4271,4271,4271,4271,4271,-1.2,-1.2,-1.2
2021-03-20,4410,4297,4297,4297,4297,4297,4297,4297,4297,4297,4297,4297,4297,-1.6,-1.6,-1.6
2021-03-21,4470,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,-1.4,-1.4,-1.4
2021-03-22,4531,4456,4456,4456,4456,4456,4456,4456,4456,4456,4456,4456,4456,-1.1,-1.1,-1.1
2021-03-23,4594,4504,4504,4504,4504,4504,4504,4504,4504,4504,4504,4504,4504,-1.3,-1.3,-1.3
2021-03-24,4658,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,-1.4,-1.4,-1.4
2021-03-25,4723,4615,4615,4615,4615,4615,4615,4615,4615,4615,4615,4615,4615,-1.6,-1.6,-1.6
2021-03-26,4789,4689,4689,4689,4689,4689,4689,4689,4689,4689,4689,4689,4689,-1.4,-1.4,-1.4
2021-03-27,4856,4775,4775,4775,4775,4775,4775,4775,4775,4775,4775,4775,4775,-1.2,-1.2,-1.2
2021-03-28,4923,4835,4835,4835,4835,4835,4835,4835,4835,4835,4835,4835,4835,-1.3,-1.3,-1.3
2021-03-29,4993,4905,4905,4905,4905,4905,4905,4905,4905,4905,4905,4905,4905,-1.3,-1.3,-1.3
2021-03-30,5063,4984,4984,4984,4984,4984,4984,4984,4984,4984,4984,4984,4984,-1.1,-1.1,-1.1
2021-03-31,5134,5053,5053,5053,5053,5053,5053,5053,5053,5053,5053,5053,5053,-1.2,-1.2,-1.2
2021-04-01,5206,5104,5104,5104,5104,5253,5253,5253,5253,5152,5152,5104,5253,-1.5,-0.8,0.7
2021-04-02,5279,5243,5243,5243,5243,5313,5313,5313,5313,5208,5243,5208,5313,-1,-0.5,0.5
2021-04-03,5351,5277,5277,5277,5277,5396,5396,5396,5396,5271,5277,5271,5396,-1.2,-1.1,0.6
2021-04-04,5422,5324,5324,5324,5324,5433,5433,5433,5433,5375,5375,5324,5433,-1.4,-0.7,0.2
2021-04-05,5491,5437,5437,5437,5437,5506,5506,5506,5506,5447,5447,5437,5506,-0.8,-0.6,0.2
2021-04-06,5555,5516,5516,5516,5516,5565,5565,5565,5565,5518,5518,5516,5565,-0.6,-0.5,0.1
2021-04-07,5614,5568,5568,5568,5568,5617,5617,5617,5617,5573,5573,5568,5617,-0.7,-0.6,0
2021-04-08,5667,5633,5633,5633,5633,5681,5681,5681,5681,5611,5633,5611,5681,-0.8,-0.5,0.2
2021-04-09,5712,5689,5689,5689,5689,5724,5724,5724,5724,5687,5689,5687,5724,-0.4,-0.3,0.2
2021-04-10,5749,5713,5713,5713,5713,5742,5742,5742,5742,5696,5713,5696,5742,-0.8,-0.5,-0.1
2021-04-11,5778,5769,5769,5769,5769,5799,5799,5799,5799,5758,5769,5758,5799,-0.3,-0.1,0.3
2021-04-12,5801,5820,5820,5820,5820,5828,5828,5828,5828,5784,5820,5784,5828,-0.2,0.3,0.4
2021-04-13,5818,5821,5821,5821,5821,5843,5843,5843,5843,5799,5821,5799,5843,-0.3,0,0.4
2021-04-14,5830,5855,5855,5855,5855,5866,5866,5866,5866,5810,5855,5810,5866,-0.3,0.4,0.5
2021-04-15,5839,5916,5916,5916,5916,5889,5889,5889,5889,5849,5889,5849,5916,0.1,0.7,1.1
2021-04-16,5845,5941,5941,5941,5941,5912,5912,5912,5912,5860,5912,5860,5941,0.2,1,1.4
2021-04-17,5849,5926,5926,5926,5926,5900,5900,5900,5900,5902,5902,5900,5926,0.7,0.8,1.1
2021-04-18,5850,5929,5929,5929,5929,5900,5900,5900,5900,5890,5900,5890,5929,0.6,0.7,1.1
2021-04-19,5851,5960,5960,5960,5960,5900,5900,5900,5900,5914,5914,5900,5960,0.7,0.9,1.6
2021-04-20,5849,5938,5938,5938,5938,5900,5900,5900,5900,5899,5900,5899,5938,0.7,0.7,1.3
2021-04-21,5844,5933,5933,5933,5933,5882,5882,5882,5882,5899,5899,5882,5933,0.5,0.8,1.3
2021-04-22,5835,5912,5912,5912,5912,5868,5868,5868,5868,5870,5870,5868,5912,0.5,0.5,1.1
2021-04-23,5822,5889,5889,5889,5889,5844,5844,5844,5844,5871,5871,5844,5889,0.3,0.7,1
2021-04-24,5802,5840,5840,5840,5840,5812,5812,5812,5812,5857,5840,5812,5857,0.1,0.5,0.8
2021-04-25,5774,5858,5858,5858,5858,5780,5780,5780,5780,5842,5842,5780,5858,0.1,1,1.2
2021-04-26,5737,5817,5817,5817,5817,5748,5748,5748,5748,5776,5776,5748,5817,0.2,0.6,1.2
2021-04-27,5692,5788,5788,5788,5788,5691,5691,5691,5691,5718,5718,5691,5788,-0,0.4,1.4
2021-04-28,5636,5759,5759,5759,5759,5623,5623,5623,5623,5665,5665,5623,5759,-0.2,0.4,1.8
2021-04-29,5571,5711,5711,5711,5711,5572,5572,5572,5572,5598,5598,5572,5711,0,0.4,2
2021-04-30,5496,5637,5637,5637,5637,5534,5534,5534,5534,5548,5548,5534,5637,0.5,0.7,2
2021-05-01,5411,5576,5576,5576,5576,5488,5488,5488,5488,5509,5509,5488,5576,1.1,1.4,2.4
2021-05-02,5318,5517,5517,5517,5517,5436,5436,5436,5436,5448,5448,5436,5517,1.7,1.9,2.9
2021-05-03,5217,5428,5428,5428,5428,5329,5329,5329,5329,5403,5403,5329,5428,1.6,2.7,3
2021-05-04,5111,5368,5368,5368,5368,5223,5223,5223,5223,5265,5265,5223,5368,1.6,2.2,3.7
2021-05-05,5001,5234,5234,5234,5234,5065,5065,5065,5065,5109,5109,5065,5234,0.9,1.6,3.4
2021-05-06,4888,5074,5074,5074,5074,4948,4948,4948,4948,4989,4989,4948,5074,0.9,1.5,2.7
2021-05-07,4775,4988,4988,4988,4988,4823,4823,4823,4823,4900,4900,4823,4988,0.7,1.8,3.1
