date,reality,RedFull,RedDashed,RedDots,BlueFull,BlueDashed,BlueDots,PurpleFull,PurpleDashed,PurpleDots,GreenFull,GreenDashed,GreenDots,med,min,max,error_min,error_med,error_max
2021-08-04,1299,NA,NA,NA,NA,NA,NA,1060,NA,NA,1144,1266,1437,1205,1060,1437,-3.4,-1.4,2
2021-08-05,1340,NA,NA,NA,1275,NA,NA,1129,1369,NA,1132,1287,1537,1281,1129,1537,-3,-0.9,2.8
2021-08-06,1380,NA,NA,NA,1256,NA,1690,1254,1553,NA,1221,1392,1642,1392,1221,1690,-2.3,0.2,4.5
2021-08-07,1485,NA,NA,NA,1365,NA,1774,1333,1612,1784,1299,1502,1698,1557,1299,1784,-2.7,1,4.3
2021-08-08,1527,1461,NA,NA,1430,NA,1811,1431,1745,1864,1388,1593,1802,1593,1388,1864,-2,1,4.9
2021-08-09,1563,1569,1851,NA,1504,NA,1952,1509,1782,1976,1473,1699,1903,1740.5,1473,1976,-1.3,2.6,6
2021-08-10,1614,1814,1966,NA,1567,2070,2138,1582,1860,2138,1505,1815,2072,1860,1505,2138,-1.6,3.5,7.6
2021-08-11,1644,1795,2112,2351,1666,2301,2300,1667,1959,2291,1564,1737,2076,2017.5,1564,2351,-1.2,5.4,10.2
2021-08-12,1659,2003,2267,2526,1750,2169,2439,1739,2085,2240,1627,1881,2182,2127,1627,2526,-0.5,6.7,12.5
2021-08-13,1673,1988,2416,2679,1893,2447,2565,1808,2100,2393,1682,2022,2328,2214,1682,2679,0.1,7.8,14.5
2021-08-14,1729,2157,2576,2844,2034,2467,2685,1908,2259,2539,1723,2064,2356,2307.5,1723,2844,-0.1,8.3,16.1
2021-08-15,1770,2276,2733,3020,2151,2528,2877,1937,2355,2585,1753,2153,2422,2388.5,1753,3020,-0.2,8.9,18
2021-08-16,1800,2514,2963,3184,2247,2705,3025,2009,2429,2671,1794,2214,2459,2486.5,1794,3184,-0.1,9.9,20
2021-08-17,1798,2617,3063,3390,2377,2818,3165,2075,2537,2889,1823,2222,2516,2577,1823,3390,0.4,11.2,22.9
2021-08-18,1834,2781,3313,3610,2526,2932,3312,2130,2622,2918,1850,2283,2581,2701.5,1850,3610,0.2,12.5,25.6
