date,reality,red_pessimiste_VE,green_pessimiste_VE,blue_pessimiste_VE,med,min,max,error_min,error_med,error_max
2021-12-02,1967,2010,2010,2010,2010,2010,2010,0.6,0.6,0.6
2021-12-03,1996,2120,2120,2120,2120,2120,2120,1.8,1.8,1.8
2021-12-04,2120,2230,2230,2230,2230,2230,2230,1.6,1.6,1.6
2021-12-05,2276,2290,2290,2290,2290,2290,2290,0.2,0.2,0.2
2021-12-06,2348,2380,2380,2380,2380,2380,2380,0.5,0.5,0.5
2021-12-07,2383,2400,2400,2400,2400,2400,2400,0.2,0.2,0.2
2021-12-08,2423,2450,2450,2450,2450,2450,2450,0.4,0.4,0.4
2021-12-09,2459,2430,2430,2430,2430,2430,2430,-0.4,-0.4,-0.4
2021-12-10,2523,2520,2520,2520,2520,2520,2520,-0,-0,-0
2021-12-11,2673,2580,2580,2580,2580,2580,2580,-1.3,-1.3,-1.3
2021-12-12,2726,2630,2630,2630,2630,2630,2630,-1.4,-1.4,-1.4
2021-12-13,2776,2730,2730,2730,2730,2730,2730,-0.7,-0.7,-0.7
2021-12-14,2762,2770,2770,2770,2770,2770,2770,0.1,0.1,0.1
2021-12-15,2832,2830,2830,2830,2830,2830,2830,-0,-0,-0
2021-12-16,2861,2870,2870,2870,2870,2870,2870,0.1,0.1,0.1
2021-12-17,2863,2950,2950,2950,2950,2950,2950,1.3,1.3,1.3
2021-12-18,2953,2990,2990,2990,2990,2990,2990,0.5,0.5,0.5
2021-12-19,3016,3020,3020,3020,3020,3020,3020,0.1,0.1,0.1
2021-12-20,3069,3070,3070,3070,3070,3070,3070,0,0,0
2021-12-21,3129,3050,3050,3050,3050,3050,3050,-1.1,-1.1,-1.1
2021-12-22,3167,3200,3200,3200,3200,3200,3200,0.5,0.5,0.5
2021-12-23,3195,3150,3150,3150,3150,3150,3150,-0.6,-0.6,-0.6
2021-12-24,3212,3330,3330,3330,3330,3330,3330,1.7,1.7,1.7
2021-12-25,3240,3250,3250,3250,3250,3250,3250,0.1,0.1,0.1
2021-12-26,3319,3320,3320,3320,3320,3320,3320,0,0,0
2021-12-27,3378,3370,3370,3370,3370,3370,3370,-0.1,-0.1,-0.1
2021-12-28,3408,3410,3410,3410,3410,3410,3410,0,0,0
2021-12-29,3446,3440,3440,3440,3440,3440,3440,-0.1,-0.1,-0.1
2021-12-30,3468,3460,3460,3460,3460,3460,3460,-0.1,-0.1,-0.1
2021-12-31,3482,3440,3440,3440,3440,3440,3440,-0.6,-0.6,-0.6
2022-01-01,3558,3470,3470,3470,3470,3470,3470,-1.3,-1.3,-1.3
2022-01-02,3566,3500,3500,3500,3500,3500,3500,-1,-1,-1
2022-01-03,3595,3550,3550,3550,3550,3550,3550,-0.6,-0.6,-0.6
2022-01-04,3652,3590,3590,3590,3590,3590,3590,-0.9,-0.9,-0.9
2022-01-05,3704,3610,3610,3610,3610,3610,3610,-1.4,-1.4,-1.4
2022-01-06,3707,3630,3630,3630,3630,3630,3630,-1.1,-1.1,-1.1
2022-01-07,3731,3730,3730,3680,3730,3680,3730,-0.7,-0,-0
2022-01-08,3782,3770,3760,3720,3760,3720,3770,-0.9,-0.3,-0.2
2022-01-09,3833,3820,3780,3730,3780,3730,3820,-1.5,-0.8,-0.2
2022-01-10,3855,3860,3820,3790,3820,3790,3860,-0.9,-0.5,0.1
2022-01-11,3810,3900,3860,3810,3860,3810,3900,0,0.7,1.3
2022-01-12,3752,3970,3910,3820,3910,3820,3970,1,2.3,3.1
2022-01-13,3707,4040,3930,3880,3930,3880,4040,2.5,3.2,4.8
2022-01-14,3708,4110,3990,3890,3990,3890,4110,2.6,4.1,5.8
2022-01-15,3763,4190,4050,3920,4050,3920,4190,2.3,4.1,6.2
2022-01-16,3723,4310,4100,3980,4100,3980,4310,3.7,5.4,8.5
2022-01-17,3683,4430,4190,3980,4190,3980,4430,4.3,7.3,10.8
2022-01-18,3678,4680,4250,3990,4250,3990,4680,4.5,8.2,14.4
