date,reality,cerfew_vaccine,cerfew_no_vaccine,R1,R09,VOC_40,VOC_70,med,min,max,error_min,error_med,error_max
2021-01-16,1241,1250,1250,1250,1250,1250,1250,1250,1250,1250,0.3,0.3,0.3
2021-01-17,1262,1272,1272,1272,1272,1272,1272,1272,1272,1272,0.3,0.3,0.3
2021-01-18,1280,1300,1300,1300,1300,1300,1300,1300,1300,1300,0.7,0.7,0.7
2021-01-19,1295,1313,1313,1313,1313,1313,1313,1313,1313,1313,0.6,0.6,0.6
2021-01-20,1307,1351,1351,1351,1351,1351,1351,1351,1351,1351,1.4,1.4,1.4
2021-01-21,1317,1387,1387,1387,1387,1387,1387,1387,1387,1387,2.3,2.3,2.3
2021-01-22,1323,1421,1421,1421,1421,1421,1421,1421,1421,1421,3.2,3.2,3.2
2021-01-23,1328,1447,1447,1447,1447,1447,1447,1447,1447,1447,3.9,3.9,3.9
2021-01-24,1331,1467,1467,1467,1467,1467,1467,1467,1467,1467,4.5,4.5,4.5
2021-01-25,1333,1493,1493,1493,1470,1474,1500,1493,1470,1500,4.5,5.3,5.5
2021-01-26,1334,1516,1516,1516,1472,1482,1534,1516,1472,1534,4.5,6,6.6
2021-01-27,1335,1542,1542,1542,1475,1489,1567,1542,1475,1567,4.6,6.8,7.6
2021-01-28,1335,1569,1569,1569,1478,1496,1600,1569,1478,1600,4.7,7.7,8.7
2021-01-29,1334,1587,1587,1587,1480,1503,1633,1587,1480,1633,4.8,8.3,9.8
2021-01-30,1331,1611,1611,1611,1483,1511,1667,1611,1483,1667,5,9.2,11.1
2021-01-31,1327,1631,1631,1631,1485,1518,1700,1631,1485,1700,5.2,10,12.3
2021-02-01,1320,1635,1635,1647,1488,1525,1733,1635,1488,1733,5.5,10.4,13.6
2021-02-02,1311,1640,1640,1665,1484,1549,1751,1640,1484,1751,5.7,10.8,14.5
2021-02-03,1300,1645,1645,1681,1514,1569,1776,1645,1514,1776,7,11.4,15.7
2021-02-04,1286,1645,1645,1707,1526,1562,1801,1645,1526,1801,7.9,11.8,17
2021-02-05,1270,1645,1645,1723,1527,1562,1818,1645,1527,1818,8.5,12.4,18.1
2021-02-06,1251,1660,1646,1737,1512,1560,1843,1653,1512,1843,8.6,13.2,19.5
2021-02-07,1230,1645,1645,1761,1508,1552,1880,1645,1508,1880,9.2,13.7,21.4
2021-02-08,1209,1672,1658,1782,1501,1552,1906,1665,1501,1906,9.6,15,23
2021-02-09,1187,1674,1675,1805,1495,1552,1932,1674.5,1495,1932,10.1,16.1,24.5
2021-02-10,1167,1675,1675,1846,1489,1553,1960,1675,1489,1960,10.6,16.7,26.1
2021-02-11,1149,1675,1675,1868,1476,1543,2000,1675,1476,2000,10.8,17.3,28
