date,reality,vaccination,trans_feb_blue,trans_feb_green,trans_feb_orange,trans_feb_red,trans_mar_blue,trans_mar_green,trans_mar_orange,trans_mar_red,VOC_blue,VOC_green,VOC_red,med,min,max,error_min,error_med,error_max
2021-01-17,1262,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,-0.4,-0.4,-0.4
2021-01-18,1280,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,-1,-1,-1
2021-01-19,1295,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,-0.4,-0.4,-0.4
2021-01-20,1307,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,-0.4,-0.4,-0.4
2021-01-21,1317,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,-0.8,-0.8,-0.8
2021-01-22,1323,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,-1,-1,-1
2021-01-23,1328,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,-1.2,-1.2,-1.2
2021-01-24,1331,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,-1.1,-1.1,-1.1
2021-01-25,1333,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,-0.6,-0.6,-0.6
2021-01-26,1334,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,0.1,0.1,0.1
2021-01-27,1335,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,0,0,0
2021-01-28,1335,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,0.1,0.1,0.1
2021-01-29,1334,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,0.1,0.1,0.1
2021-01-30,1331,1327,1327,1327,1327,1327,1327,1327,1327,1327,1327,1327,1327,1327,1327,1327,-0.1,-0.1,-0.1
2021-01-31,1327,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,-0.4,-0.4,-0.4
2021-02-01,1320,1285,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1285,1316,-1.2,-0.1,-0.1
2021-02-02,1311,1287,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1287,1303,-0.8,-0.3,-0.3
2021-02-03,1300,1263,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1263,1292,-1.2,-0.3,-0.3
2021-02-04,1286,1265,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289,1265,1289,-0.7,0.1,0.1
2021-02-05,1270,1242,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1242,1256,-0.9,-0.5,-0.5
2021-02-06,1251,1217,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1217,1249,-1.1,-0.1,-0.1
2021-02-07,1230,1214,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1214,1244,-0.5,0.5,0.5
2021-02-08,1209,1170,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1170,1212,-1.3,0.1,0.1
2021-02-09,1187,1172,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183,1172,1183,-0.5,-0.1,-0.1
2021-02-10,1167,1150,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1150,1177,-0.6,0.3,0.3
2021-02-11,1149,1129,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1129,1145,-0.7,-0.1,-0.1
2021-02-12,1135,1105,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1105,1117,-1,-0.6,-0.6
2021-02-13,1123,1083,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1083,1109,-1.3,-0.5,-0.5
2021-02-14,1115,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,-1.3,-1.3,-1.3
2021-02-15,1111,1062,1062,1062,1062,1093,1076,1076,1076,1076,1093,1055,1055,1069,1055,1093,-1.8,-1.4,-0.6
2021-02-16,1110,1037,1037,1037,1037,1094,1041,1041,1041,1041,1026,1082,1082,1041,1026,1094,-2.8,-2.3,-0.5
2021-02-17,1112,1016,1016,1016,1016,1077,1028,1028,1028,1028,1004,1050,1050,1028,1004,1077,-3.6,-2.8,-1.2
2021-02-18,1116,970,970,970,970,1046,1026,1026,1026,1026,1002,1019,1052,1022.5,970,1052,-4.8,-3.1,-2.1
2021-02-19,1122,969,969,969,969,1027,981,981,981,981,985,1012,1050,981,969,1050,-5,-4.6,-2.4
2021-02-20,1130,969,969,969,969,1010,990,990,990,990,972,961,1059,981,961,1059,-5.6,-4.9,-2.3
2021-02-21,1139,961,961,961,961,982,938,938,938,938,936,960,963,960.5,936,982,-6.7,-5.9,-5.2
2021-02-22,1148,927,927,927,927,986,945,945,945,945,946,942,1022,945,927,1022,-7.3,-6.7,-4.2
2021-02-23,1158,901,901,901,901,964,923,923,923,923,939,923,945,923,901,964,-8.5,-7.7,-6.4
2021-02-24,1166,901,901,901,901,940,900,900,900,900,897,897,937,900.5,897,940,-8.9,-8.7,-7.4
2021-02-25,1173,902,944,944,944,925,869,869,869,869,888,901,934,901.5,869,944,-10,-8.9,-7.5
2021-02-26,1179,865,909,909,909,918,855,855,855,855,855,876,943,870.5,855,943,-10.7,-10.2,-7.8
2021-02-27,1182,834,882,882,882,925,854,854,854,854,899,857,967,869.5,834,967,-11.5,-10.3,-7.1
2021-02-28,1184,830,871,885,885,942,856,856,856,856,863,821,962,859.5,821,962,-12,-10.7,-7.3
2021-03-01,1185,885,874,853,940,941,830,830,830,830,856,810,959,854.5,810,959,-12.4,-10.9,-7.4
2021-03-02,1187,857,873,879,938,965,809,809,809,809,845,789,863,851,789,965,-13.1,-11.1,-7.3
2021-03-03,1188,790,891,856,959,956,811,811,811,811,832,770,887,821.5,770,959,-13.8,-12.1,-7.5
2021-03-04,1190,789,921,857,964,1035,808,808,808,808,833,765,904,820.5,765,1035,-14,-12.2,-5.1
2021-03-05,1194,825,898,852,996,1060,786,786,786,786,833,743,918,829,743,1060,-14.9,-12,-4.4
2021-03-06,1198,872,957,831,1025,1090,790,790,790,790,833,745,919,832,745,1090,-14.9,-12.1,-3.6
2021-03-07,1205,882,925,806,1055,1123,765,765,765,765,833,735,927,819.5,735,1123,-15.5,-12.7,-2.7
2021-03-08,1214,767,964,809,1082,1190,767,767,767,765,832,699,938,788,699,1190,-17,-14,-0.8
2021-03-09,1226,765,1005,809,1136,1246,767,767,767,789,833,701,950,799,701,1246,-17.3,-14.1,0.7
2021-03-10,1240,867,1037,809,1165,1276,767,767,767,764,809,733,961,809,733,1276,-16.7,-14.2,1.2
2021-03-11,1258,854,1045,809,1193,1365,745,745,768,768,811,728,967,810,728,1365,-17.5,-14.8,3.5
2021-03-12,1280,756,1094,809,1248,1447,745,745,769,768,811,743,964,789,743,1447,-17.7,-16.2,5.5
2021-03-13,1303,789,1099,809,1281,1529,743,754,814,796,812,697,985,810.5,697,1529,-20,-16.2,7.4
2021-03-14,1330,785,1133,809,1363,1582,761,768,827,848,808,702,990,818,702,1582,-20.7,-16.9,8.3
2021-03-15,1357,942,1164,809,1426,1694,789,767,860,858,829,701,1008,859,701,1694,-21.6,-16.4,11.1
2021-03-16,1386,905,1215,809,1485,1781,801,765,915,913,792,713,1052,909,713,1781,-22.2,-15.7,13
2021-03-17,1416,854,1243,807,1547,1869,807,787,918,939,872,722,1095,895,722,1869,-22.9,-17.2,14.9
2021-03-18,1447,882,1277,832,1585,1986,880,788,971,969,882,747,1143,925.5,747,1986,-23.1,-17.2,17.8
2021-03-19,1476,1022,1324,831,1665,2111,904,789,1013,998,941,745,1160,1005.5,745,2111,-24.1,-15.5,20.9
2021-03-20,1504,1050,1375,830,1745,2181,893,789,1050,1049,920,745,1226,1049.5,745,2181,-25,-15,22.3
2021-03-21,1529,971,1404,855,1809,2347,875,789,1134,1133,974,776,1236,1053.5,776,2347,-24.8,-15.7,26.9
2021-03-22,1552,996,1448,852,1904,2476,974,790,1193,1193,1000,788,1301,1096.5,788,2476,-25.2,-15,30.4
