date,reality,new_hosp_3A_R_1,new_hosp_3A_R_1_1,new_hosp_3A_R_1_2,new_hosp_3A_R_1_3,new_hosp_3C_R_1,new_hosp_3C_R_1_1,new_hosp_3C_R_1_2,new_hosp_3C_R_1_3,new_hosp_3E,med,min,max,error_min,error_med,error_max
2021-04-01,1780,1752.964176,NA,NA,NA,1744.782663,NA,NA,NA,1770.613896,1752.964176,1744.782663,1770.613896,-1.2,-0.9,-0.3
2021-04-02,1798,1747.734588,NA,NA,NA,1761.266368,NA,NA,NA,1784.416344,1761.266368,1747.734588,1784.416344,-1.7,-1.2,-0.4
2021-04-03,1811,1755.588901,NA,NA,NA,1756.63497,NA,NA,NA,1770.749607,1756.63497,1755.588901,1770.749607,-1.8,-1.8,-1.3
2021-04-04,1819,1767.941046,NA,NA,NA,1766.115815,NA,NA,NA,1774.448611,1767.941046,1766.115815,1774.448611,-1.7,-1.7,-1.5
2021-04-05,1820,1756.130845,NA,NA,NA,1766.687303,NA,NA,NA,1756.37476,1756.37476,1756.130845,1766.687303,-2.1,-2.1,-1.8
2021-04-06,1816,1759.144059,NA,NA,NA,1756.491195,NA,NA,NA,1756.895417,1756.895417,1756.491195,1759.144059,-2,-1.9,-1.9
2021-04-07,1806,1765.758451,NA,NA,NA,1758.137192,NA,NA,NA,1751.159425,1758.137192,1751.159425,1765.758451,-1.8,-1.6,-1.3
2021-04-08,1794,1767.494595,NA,NA,NA,1766.265042,NA,NA,NA,1766.031161,1766.265042,1766.031161,1767.494595,-0.9,-0.9,-0.9
2021-04-09,1778,1756.49407,NA,NA,NA,1760.754093,NA,NA,NA,1757.939725,1757.939725,1756.49407,1760.754093,-0.7,-0.7,-0.6
2021-04-10,1758,1764.727156,NA,NA,NA,1747.201451,NA,NA,NA,1746.237874,1747.201451,1746.237874,1764.727156,-0.4,-0.4,0.2
2021-04-11,1736,1748.70345,NA,NA,NA,1732.744866,NA,NA,NA,1734.909944,1734.909944,1732.744866,1748.70345,-0.1,-0,0.4
2021-04-12,1713,1730.592833,NA,NA,NA,1718.375884,NA,NA,NA,1715.07339,1718.375884,1715.07339,1730.592833,0.1,0.2,0.6
2021-04-13,1690,1713.547509,NA,NA,NA,1712.380159,NA,NA,NA,1698.17108,1712.380159,1698.17108,1713.547509,0.3,0.7,0.8
2021-04-14,1668,1709.348793,NA,NA,NA,1698.905097,NA,NA,NA,1686.98617,1698.905097,1686.98617,1709.348793,0.6,1,1.4
2021-04-15,1648,1690.04636,NA,NA,NA,1681.933775,NA,NA,NA,1671.402716,1681.933775,1671.402716,1690.04636,0.8,1.1,1.4
2021-04-16,1630,1679.355947,NA,NA,NA,1658.287709,NA,NA,NA,1658.426696,1658.426696,1658.287709,1679.355947,0.9,0.9,1.6
