date,reality,blue_full,blue_dashed,purple_full,purple_dashed,pink_full,pink_dashed,med,min,max,error_min,error_med,error_max
2021-07-16,139,82,82,82,82,82,82,82,82,82,-1.9,-1.9,-1.9
2021-07-17,155,107,107,107,107,107,107,107,107,107,-1.6,-1.6,-1.6
2021-07-18,159,131,131,131,131,131,131,131,131,131,-0.9,-0.9,-0.9
2021-07-19,192,147,147,147,147,147,147,147,147,147,-1.5,-1.5,-1.5
2021-07-20,200,175,175,175,175,175,175,175,175,175,-0.8,-0.8,-0.8
2021-07-21,227,196,196,196,196,196,196,196,196,196,-1,-1,-1
2021-07-22,242,185,185,185,185,185,185,185,185,185,-1.9,-1.9,-1.9
2021-07-23,261,240,240,240,240,240,240,240,240,240,-0.7,-0.7,-0.7
2021-07-24,273,242,242,242,242,242,242,242,242,242,-1,-1,-1
2021-07-25,303,294,294,294,294,294,294,294,294,294,-0.3,-0.3,-0.3
2021-07-26,327,310,310,310,310,310,310,310,310,310,-0.6,-0.6,-0.6
2021-07-27,358,327,327,327,327,327,327,327,327,327,-1,-1,-1
2021-07-28,381,365,365,365,365,365,365,365,365,365,-0.5,-0.5,-0.5
2021-07-29,420,403,403,403,403,403,403,403,403,403,-0.6,-0.6,-0.6
2021-07-30,439,446,446,446,446,446,446,446,446,446,0.2,0.2,0.2
2021-07-31,458,495,501,501,501,501,501,501,495,501,1.2,1.4,1.4
2021-08-01,482,550,566,566,566,566,566,566,550,566,2.2,2.8,2.8
2021-08-02,506,604,615,615,615,615,615,615,604,615,3.2,3.6,3.6
2021-08-03,529,675,675,675,675,675,675,675,675,675,4.8,4.8,4.8
2021-08-04,549,735,746,746,702,746,746,746,702,746,5,6.5,6.5
2021-08-05,574,806,806,757,762,740,740,759.5,740,806,5.5,6.1,7.6
2021-08-06,588,871,871,817,817,806,806,817,806,871,7.2,7.5,9.3
2021-08-07,604,953,969,876,887,855,855,881.5,855,969,8.3,9.1,12
2021-08-08,616,1051,1051,974,957,920,920,965.5,920,1051,10,11.5,14.3
2021-08-09,618,1116,1116,1034,1002,974,969,1018,969,1116,11.6,13.2,16.4
2021-08-10,621,1225,1219,1111,1088,1015,1002,1099.5,1002,1225,12.5,15.8,19.9
2021-08-11,628,1320,1312,1212,1182,1040,1013,1197,1013,1320,12.7,18.7,22.8
