date,reality,RedVacc,RedR,OrangeR,LightBlueR,DarkBlueR,med,min,max,error_min,error_med,error_max
2021-07-16,139,125,125,125,125,125,125,125,125,-0.5,-0.5,-0.5
2021-07-17,155,148,148,148,148,148,148,148,148,-0.2,-0.2,-0.2
2021-07-18,159,143,143,143,143,143,143,143,143,-0.5,-0.5,-0.5
2021-07-19,192,203,203,203,203,203,203,203,203,0.4,0.4,0.4
2021-07-20,200,184,184,184,184,184,184,184,184,-0.5,-0.5,-0.5
2021-07-21,227,243,243,243,243,243,243,243,243,0.5,0.5,0.5
2021-07-22,242,242,242,242,242,242,242,242,242,0,0,0
2021-07-23,261,256,256,256,256,256,256,256,256,-0.2,-0.2,-0.2
2021-07-24,273,267,267,267,267,267,267,267,267,-0.2,-0.2,-0.2
2021-07-25,303,311,311,311,311,311,311,311,311,0.3,0.3,0.3
2021-07-26,327,371,371,371,371,371,371,371,371,1.4,1.4,1.4
2021-07-27,358,398,398,398,398,398,398,398,398,1.3,1.3,1.3
2021-07-28,381,410,410,410,410,410,410,410,410,1,1,1
2021-07-29,420,475,475,475,475,475,475,475,475,1.8,1.8,1.8
2021-07-30,439,480,480,480,480,480,480,480,480,1.4,1.4,1.4
2021-07-31,458,419,419,419,419,419,419,419,419,-1.3,-1.3,-1.3
2021-08-01,482,541,536,536,536,536,536,536,541,1.8,1.8,1.9
2021-08-02,506,583,579,579,579,579,579,579,583,2.4,2.4,2.5
2021-08-03,529,633,629,629,629,629,629,629,633,3.3,3.3,3.4
2021-08-04,549,683,666,666,666,666,666,666,683,3.9,3.9,4.4
2021-08-05,574,740,753,709,709,709,709,709,753,4.4,4.4,5.9
2021-08-06,588,790,802,790,765,734,790,734,802,4.8,6.7,7
2021-08-07,604,853,870,833,796,759,833,759,870,5.1,7.5,8.8
2021-08-08,616,910,914,883,821,771,883,771,914,5.1,8.8,9.8
2021-08-09,618,1003,988,932,858,784,932,784,1003,5.5,10.3,12.7
2021-08-10,621,1067,1050,982,883,784,982,784,1067,5.4,11.9,14.7
2021-08-11,628,1138,1130,1031,907,790,1031,790,1138,5.3,13.3,16.8
2021-08-12,627,1202,1192,1081,920,784,1081,784,1202,5.2,15,18.9
2021-08-13,628,1273,1273,1130,945,784,1130,784,1273,5.1,16.5,21.2
2021-08-14,628,1337,1341,1180,957,771,1180,771,1341,4.7,18.2,23.5
2021-08-15,624,1422,1421,1229,969,759,1229,759,1422,4.4,19.9,26.3
2021-08-16,624,1493,1489,1267,982,753,1267,753,1493,4.2,21.2,28.6
2021-08-17,620,1571,1570,1316,994,734,1316,734,1571,3.8,22.9,31.3
2021-08-18,617,1635,1632,1353,994,722,1353,722,1635,3.5,24.2,33.5
2021-08-19,612,1714,1706,1390,1006,709,1390,709,1714,3.2,25.6,36.3
2021-08-20,604,1770,1768,1427,1006,685,1427,685,1770,2.7,27.1,38.4
2021-08-21,600,1841,1842,1452,1006,672,1452,672,1842,2.4,28.1,40.9
2021-08-22,597,1898,1892,1477,994,647,1477,647,1898,1.6,29,42.9
2021-08-23,580,1955,1954,1508,994,623,1508,623,1955,1.4,30.6,45.3
2021-08-24,571,2012,2003,1527,982,610,1527,610,2012,1.3,31.5,47.5
2021-08-25,558,2048,2053,1545,969,585,1545,585,2053,0.9,32.5,49.2
2021-08-26,551,2090,2090,1551,957,561,1551,561,2090,0.3,32.9,50.7
2021-08-27,534,2126,2127,1564,945,536,1564,536,2127,0.1,33.9,52.5
2021-08-28,517,2154,2152,1576,932,524,1576,524,2154,0.2,34.9,53.9
2021-08-29,505,2183,2177,1576,920,499,1576,499,2183,-0.2,35.3,55.3
2021-08-30,494,2197,2195,1576,901,474,1576,474,2197,-0.7,35.6,56.1
2021-08-31,468,2211,2214,1570,883,455,1570,455,2214,-0.4,36.3,57.5
2021-09-01,464,2218,2220,1564,864,437,1564,437,2220,-0.9,36.2,57.8
2021-09-02,454,2225,2220,1551,846,412,1551,412,2225,-1.4,36.1,58.3
2021-09-03,435,2218,2220,1539,821,400,1539,400,2220,-1.2,36.4,58.8
2021-09-04,427,2211,2208,1520,802,375,1520,375,2211,-1.7,36,58.8
2021-09-05,416,2197,2189,1502,784,363,1502,363,2197,-1.7,35.8,58.7
2021-09-06,400,2168,2164,1477,759,344,1477,344,2168,-1.8,35.5,58.2
2021-09-07,377,2140,2139,1452,734,325,1452,325,2140,-1.7,35.4,58.1
