date,reality,low,median,high
2020/03/19,267,,,
2020/03/20,,,,
2020/03/21,,,,
2020/03/22,,,,
2020/03/23,,,,
2020/03/24,1039,,,
2020/03/25,1288,1517,1517,1517
2020/03/26,1407,1674,1674,1674
2020/03/27,1582,1850,1850,1850
2020/03/28,1693,1984,1984,1984
2020/03/29,1821,2107,2107,2107
2020/03/30,2001,2175,2175,2175
2020/03/31,2217,2296,2296,2296
2020/04/01,2336,2358,2358,2358
2020/04/02,2392,2423,2423,2423
2020/04/03,2447,2505,2505,2505
2020/04/04,2520,2526,2526,2526
2020/04/05,2571,2598,2598,2598
2020/04/06,2612,2608,2608,2608
2020/04/07,2686,2633,2633,2633
2020/04/08,2690,2662,2662,2662
2020/04/09,2676,2648,2648,2648
2020/04/10,2630,2649,2649,2649
2020/04/11,2630,2609,2609,2609
2020/04/12,2630,2588,2588,2588
2020/04/13,2612,2522,2522,2522
2020/04/14,2501,2475,2475,2475
2020/04/15,2427,2430,2430,2430
2020/04/16,2340,2374,2374,2374
2020/04/17,2298,2324,2324,2324
2020/04/18,2271,2262,2262,2262
2020/04/19,2225,2203,2203,2203
2020/04/20,2146,2150,2150,2150
2020/04/21,2063,2093,2093,2093
2020/04/22,2013,2018,2018,2018
2020/04/23,1948,1944,1944,1944
2020/04/24,1925,1897,1897,1897
2020/04/25,1902,1836,1836,1836
2020/04/26,1856,1765,1765,1765
2020/04/27,1755,1703,1703,1703
2020/04/28,,1656,1656,1656
2020/04/29,,1553,1553,1553
2020/04/30,,1491,1491,1491
2020/05/01,,1429,1429,1429
2020/05/02,,1367,1367,1367
2020/05/03,,1311,1311,1311
2020/05/04,,1259,1259,1259
2020/05/05,,1205,1205,1205
2020/05/06,,1151,1151,1151
2020/05/07,,1094,1094,1094
2020/05/08,,1042,1042,1042
2020/05/09,,1001,1001,1001
2020/05/10,,954,954,954
2020/05/11,,881,881,881
2020/05/12,,864,864,864
2020/05/13,,828,828,828
2020/05/14,,791,791,791
2020/05/15,,747,747,747
2020/05/16,,716,716,716
2020/05/17,,684,684,684
2020/05/18,,652,652,652
2020/05/19,,619,619,619
2020/05/20,,594,594,594
2020/05/21,,580,580,580
2020/05/22,,565,565,565
2020/05/23,,516,516,516
2020/05/24,,506,506,506
2020/05/25,,493,493,493
2020/05/26,,485,485,485
2020/05/27,,467,467,467
2020/05/28,,450,452,448
2020/05/29,,443,450,447
2020/05/30,,428,455,463
2020/05/31,,425,453,467
2020/06/01,,431,458,478
2020/06/02,,414,453,503
2020/06/03,,409,458,522
2020/06/04,,409,469,559
2020/06/05,,409,479,612
2020/06/06,,404,484,677
2020/06/07,,407,488,735
2020/06/08,,408,516,814
2020/06/09,,419,530,906
2020/06/10,,419,551,1078
2020/06/11,,424,565,1168
2020/06/12,,434,574,1256
2020/06/13,,434,605,1426
2020/06/14,,436,620,1551
2020/06/15,,429,638,1682
2020/06/16,,424,651,1803
2020/06/17,,432,669,1908
2020/06/18,,439,690,2107
2020/06/19,,438,716,2281
2020/06/20,,444,747,2407
2020/06/21,,446,778,2481
2020/06/22,,443,803,2532
2020/06/23,,453,826,2595
2020/06/24,,453,862,2640
2020/06/25,,463,902,2677
2020/06/26,,463,944,2750
2020/06/27,,463,978,2760
2020/06/28,,472,1015,2772
2020/06/29,,477,1062,2701
