date,reality,R_1_2,R_1_1,R_1,R_0_9,R_0_8,R_0_7
2020/10/01,1243,1016,1016,1016,1016,1016,1016
2020/10/02,1260,1034,1034,1034,1034,1034,1034
2020/10/03,1348,1081,1081,1081,1081,1081,1081
2020/10/04,1366,1138,1138,1138,1138,1138,1138
2020/10/05,1373,1168,1168,1168,1168,1168,1168
2020/10/06,1398,1228,1228,1228,1228,1228,1228
2020/10/07,1413,1248,1248,1248,1248,1248,1248
2020/10/08,1438,1323,1323,1323,1323,1323,1323
2020/10/09,1431,1381,1381,1381,1381,1381,1381
2020/10/10,1478,1421,1421,1421,1421,1421,1421
2020/10/11,1539,1505,1505,1505,1505,1505,1505
2020/10/12,1640,1534,1534,1534,1534,1534,1534
2020/10/13,1695,1609,1609,1609,1609,1609,1609
2020/10/14,1749,1613,1613,1613,1613,1613,1613
2020/10/15,1822,1721,1721,1721,1721,1721,1721
2020/10/16,1889,1773,1773,1773,1773,1773,1773
2020/10/17,1971,1870,1870,1870,1870,1870,1870
2020/10/18,2107,1956,1956,1956,1956,1956,1956
2020/10/19,2209,2038,2038,2038,2038,2038,2038
2020/10/20,2275,2147,2147,2147,2147,2147,2147
2020/10/21,2368,2256,2256,2256,2256,2256,2256
2020/10/22,2423,2363,2363,2363,2363,2363,2363
2020/10/23,2568,2492,2492,2492,2492,2492,2492
2020/10/24,2674,2651,2651,2651,2651,2651,2651
2020/10/25,2823,2769,2769,2769,2769,2769,2769
2020/10/26,2941,2944,2944,2944,2944,2944,2944
2020/10/27,3052,3097,3097,3097,3097,3097,3097
2020/10/28,,3340,3340,3340,3340,3340,3340
2020/10/29,,3529,3529,3529,3529,3529,3529
2020/10/30,,3707,3707,3707,3707,3707,3707
2020/10/31,,3919,3919,3919,3919,3919,3919
2020/11/01,,4184,4184,4184,4184,4184,4184
2020/11/02,,4381,4381,4381,4381,4381,4381
2020/11/03,,4649,4649,4667,4646,4609,4396
2020/11/04,,4892,4887,4842,4921,4723,4609
2020/11/05,,5139,5106,5061,5122,4910,4858
2020/11/06,,5377,5328,5287,5370,5102,5088
2020/11/07,,5602,5591,5497,5411,5278,5262
2020/11/08,,5824,5801,5697,5564,5466,5435
2020/11/09,,6047,5998,5886,5685,5605,5514
2020/11/10,,6274,6179,6018,5847,5704,5589
2020/11/11,,6476,6308,6144,5915,5786,5633
2020/11/12,,6659,6419,6251,5990,5840,5632
2020/11/13,,6827,6572,6329,6060,5844,5625
2020/11/14,,6996,6691,6393,6089,5828,5611
2020/11/15,,7131,6783,6452,6080,5812,5511
2020/11/16,,7281,6859,6469,6056,5730,5500
2020/11/17,,7414,6928,6477,5992,5630,5344
2020/11/18,,7540,6994,6477,5989,5535,5155
2020/11/19,,7643,7027,6477,5960,5432,5057
2020/11/20,,7742,7062,6445,5885,5342,4949
2020/11/21,,7843,7078,6413,5802,5241,4762
2020/11/22,,7938,7110,6368,5708,5147,4599
2020/11/23,,8019,7110,6310,5563,5023,4423
2020/11/24,,8099,7110,6235,5492,4914,4259
2020/11/25,,8165,7110,6185,5381,4756,4091
2020/11/26,,8224,7094,6118,5264,4583,3926
2020/11/27,,8282,7069,6030,5112,4394,3751
2020/11/28,,8333,7045,5953,5021,4245,3630
2020/11/29,,8383,7013,5871,4924,4030,3427
2020/11/30,,8425,6980,5785,4779,3878,3261
2020/12/01,,8460,6946,5701,4590,3708,3114
2020/12/02,,8494,6907,5600,4528,3599,2966
2020/12/03,,8522,6868,5512,4404,3494,2821
2020/12/04,,8538,6818,5414,4286,3393,2630
2020/12/05,,8580,6768,5316,4161,3292,2538
2020/12/06,,8587,6716,5228,4043,3173,2430
2020/12/07,,8602,6659,5128,3886,3015,2273
2020/12/08,,8612,6617,5027,3783,2893,2186
2020/12/09,,8636,6550,4942,3709,2783,2052
2020/12/10,,8636,6499,4842,3580,2674,1937
2020/12/11,,8636,6444,4756,3479,2536,1843
2020/12/12,,8628,6376,4656,3365,2425,1740
2020/12/13,,8636,6315,4571,3264,2331,1641
2020/12/14,,8643,6249,4469,3163,2220,1550
2020/12/15,,,,,3100,2207,
