date,reality,R_09,R_1,R_11
2020-W40,3973,3973,3973,3973
2020-W41,4959,4959,4959,4959
2020-W42,7737,7737,7737,7737
2020-W43,11539,11539,11539,11539
2020-W44,15256,15256,15256,15256
2020-W45,16327,16327,16327,16327
2020-W46,14027,14027,14027,14027
2020-W47,10234,10234,10234,10234
2020-W48,7763,7763,7763,7763
2020-W49,7298,7298,7298,7298
2020-W50,6982,6982,6982,6982
2020-W51,6965,6965,6965,6965
2020-W52,6372,6372,6372,6372
2020-W53,6717,6717,6717,6717
2021-W01,7746,7746,7746,7746
2021-W02,8753,8526,8584,8313
2021-W03,9696,9338,9321,9318
2021-W04,9914,9500,9537,9402
2021-W05,,9495,9839,9779
2021-W06,,9343,10663,11894
2021-W07,,9443,12182,15013
2021-W08,,9919,14353,19933
2021-W09,,10941,17913,27595
2021-W10,,12570,23038,
2021-W11,,15099,29900,
2021-W12,,18236,,
2021-W13,,22484,,
2021-W14,,27737,,
