date,reality,cerfew_vaccine,cerfew_no_vaccine,R1,R09,VOC_40,VOC_70
2021/01/10,,,,,,,
2021/01/11,,,,,,,
2021/01/12,,,,,,,
2021/01/13,,,,,,,
2021/01/14,,,,,,,
2021/01/15,1442,,,,,,
2021/01/16,1100,1350,1350,1350,1350,1350,1350
2021/01/17,881,1372,1372,1372,1372,1372,1372
2021/01/18,1467,1400,1400,1400,1400,1400,1400
2021/01/19,1565,1413,1413,1413,1413,1413,1413
2021/01/20,1419,1451,1451,1451,1451,1451,1451
2021/01/21,,1487,1487,1487,1487,1487,1487
2021/01/22,1518,1521,1521,1521,1521,1521,1521
2021/01/23,1177,1547,1547,1547,1547,1547,1547
2021/01/24,1006,1567,1567,1567,1567,1567,1567
2021/01/25,1616,1593,1593,1593,1570,1574,1600
2021/01/26,,1616,1616,1616,1572,1582,1634
2021/01/27,1568,1642,1642,1642,1575,1589,1667
2021/01/28,1398,1669,1669,1669,1578,1596,1700
2021/01/29,1533,1687,1687,1687,1580,1603,1733
2021/01/30,1179,1711,1711,1711,1583,1611,1767
2021/01/31,1058,1731,1731,1731,1585,1618,1800
2021/02/01,1705,1735,1735,1747,1588,1625,1833
2021/02/02,1632,1740,1740,1765,1584,1649,1851
2021/02/03,,1745,1745,1781,1614,1669,1876
2021/02/04,,1745,1745,1807,1626,1662,1901
2021/02/05,,1745,1745,1823,1627,1662,1918
2021/02/06,,1760,1746,1837,1612,1660,1943
2021/02/07,,1745,1745,1861,1608,1652,1980
2021/02/08,,1772,1758,1882,1601,1652,2006
2021/02/09,,1774,1775,1905,1595,1652,2032
2021/02/10,,1775,1775,1946,1589,1653,2060
2021/02/11,,1775,1775,1968,1576,1643,2100
2021/02/12,,1775,1775,1984,1575,1642,2140
2021/02/13,,1775,1786,2003,1563,1631,2172
2021/02/14,,1775,1805,2029,1553,1621,2203
2021/02/15,,1775,1815,2045,1544,1622,2257
2021/02/16,,1773,1834,2065,1537,1617,2287
2021/02/17,,1790,1834,2086,1526,1602,2343
2021/02/18,,1789,1837,2106,1514,1602,2393
2021/02/19,,1789,1828,2128,1513,1604,2452
2021/02/20,,1790,1866,2147,1501,1583,2499
2021/02/21,,1800,1903,2168,1490,1583,2562
2021/02/22,,1804,1916,2189,1482,1562,2616
2021/02/23,,1804,1929,2210,1473,1563,2684
2021/02/24,,1804,1942,2236,1464,1542,2752
2021/02/25,,1814,1972,2257,1452,1542,2822
2021/02/26,,1817,2006,2284,1450,1522,2916
2021/02/27,,1835,2035,2304,1438,1523,2998
2021/02/28,,1833,2045,2329,1434,1503,3088
2021/03/01,,1833,2076,2357,1426,1505,3154
2021/03/02,,1833,2099,2385,1418,1484,3244
2021/03/03,,1832,2134,2399,1411,,
2021/03/04,,1863,2170,,,,
2021/03/05,,1869,2206,,,,
2021/03/06,,1893,2242,,,,
2021/03/07,,1898,2269,,,,
2021/03/08,,1928,2319,,,,
2021/03/09,,1951,2375,,,,
2021/03/10,,1972,2425,,,,
2021/03/11,,2001,2457,,,,
2021/03/12,,2029,2513,,,,
2021/03/13,,2069,2533,,,,
2021/03/14,,2106,2599,,,,
2021/03/15,,2138,2668,,,,
2021/03/16,,2175,2724,,,,
2021/03/17,,2228,2775,,,,
2021/03/18,,2251,2840,,,,
2021/03/19,,2314,2938,,,,
2021/03/20,,2338,2979,,,,
2021/03/21,,2399,3046,,,,
2021/03/22,,2450,3120,,,,
2021/03/23,,2487,3226,,,,
2021/03/24,,2545,3287,,,,
2021/03/25,,2584,3356,,,,
2021/03/26,,2632,3441,,,,
2021/03/27,,2688,3568,,,,
2021/03/28,,2718,3649,,,,
2021/03/29,,2776,3690,,,,
2021/03/30,,2807,3843,,,,
2021/03/31,,2879,3942,,,,
2021/04/01,,2938,4084,,,,
2021/04/02,,3026,4274,,,,
2021/04/03,,3113,4366,,,,
2021/04/04,,3204,4621,,,,
2021/04/05,,3290,4722,,,,
2021/04/06,,3406,5000,,,,
2021/04/07,,3523,5224,,,,
2021/04/08,,3654,5415,,,,
2021/04/09,,3770,5738,,,,
2021/04/10,,3887,6043,,,,
2021/04/11,,4003,6143,,,,
2021/04/12,,4149,6469,,,,
2021/04/13,,4294,6814,,,,
2021/04/14,,4425,7147,,,,
2021/04/15,,4585,7491,,,,
2021/04/16,,4730,7593,,,,
2021/04/17,,4875,7935,,,,
2021/04/18,,5052,8304,,,,
2021/04/19,,5184,8672,,,,
2021/04/20,,5328,9005,,,,
2021/04/21,,5474,9363,,,,
2021/04/22,,5609,9698,,,,
2021/04/23,,5708,,,,,
2021/04/24,,5813,,,,,
2021/04/25,,5917,,,,,
2021/04/26,,6005,,,,,
2021/04/27,,6076,,,,,
2021/04/28,,6138,,,,,
2021/04/29,,6197,,,,,
2021/04/30,,6227,,,,,
2021/05/01,,6273,,,,,
2021/05/02,,6290,,,,,
2021/05/03,,6324,,,,,
2021/05/04,,6322,,,,,
2021/05/05,,6321,,,,,
2021/05/06,,6314,,,,,
2021/05/07,,6295,,,,,
2021/05/08,,6263,,,,,
2021/05/09,,6233,,,,,
2021/05/10,,6186,,,,,
2021/05/11,,6153,,,,,
2021/05/12,,6100,,,,,
2021/05/13,,6042,,,,,
2021/05/14,,5984,,,,,
2021/05/15,,5924,,,,,
2021/05/16,,5829,,,,,
2021/05/17,,5769,,,,,
2021/05/18,,5665,,,,,
2021/05/19,,5633,,,,,
2021/05/20,,5518,,,,,
2021/05/21,,5418,,,,,
2021/05/22,,5318,,,,,
2021/05/23,,5200,,,,,
2021/05/24,,5082,,,,,
2021/05/25,,4983,,,,,
2021/05/26,,4860,,,,,
2021/05/27,,4733,,,,,
2021/05/28,,4634,,,,,
2021/05/29,,4499,,,,,
2021/05/30,,4384,,,,,
2021/05/31,,4269,,,,,
