date,reality,blue_full_60,blue_dashed_60,orange_full_60,orange_dashed_60,purple_full_60,purple_dashed_60,blue_full_40,blue_dashed_40,orange_full_40,orange_dashed_40,purple_full_40,purple_dashed_40
2021/01/01,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018
2021/01/02,1017,1017,1017,1017,1017,1017,1017,1017,1017,1017,1017,1017,1017
2021/01/03,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034
2021/01/04,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055
2021/01/05,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053
2021/01/06,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082
2021/01/07,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104
2021/01/08,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102
2021/01/09,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111
2021/01/10,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136
2021/01/11,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156
2021/01/12,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165
2021/01/13,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188
2021/01/14,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210
2021/01/15,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209
2021/01/16,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230
2021/01/17,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256
2021/01/18,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254
2021/01/19,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307
2021/01/20,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332,1332
2021/01/21,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331
