date,reality,blue_full_14,blue_dashed_14,purple_full_14,purple_dashed_14,pink_full_14,pink_dashed_14,blue_full_10,blue_dashed_10,purple_full_10,purple_dashed_10,pink_full_10,pink_dashed_10
2021/06/06,,,,,,,,,,,,,
2021/06/07,,,,,,,,,,,,,
2021/06/08,,,,,,,,,,,,,
2021/06/09,,,,,,,,,,,,,
2021/06/10,,,,,,,,,,,,,
2021/06/11,,,,,,,,,,,,,
2021/06/12,,,,,,,,,,,,,
2021/06/13,,,,,,,,,,,,,
2021/06/14,,,,,,,,,,,,,
2021/06/15,1666,,,,,,,,,,,,
2021/06/16,1563,,,,,,,,,,,,
2021/06/17,1503,,,,,,,1092,1092,1092,1092,1092,1092
2021/06/18,1459,,,,,,,1045,1045,1045,1045,1045,1045
2021/06/19,1420,,,,,,,956,956,956,956,956,956
2021/06/20,1366,,,,,,,892,892,892,892,892,892
2021/06/21,1370,,,,,,,830,830,830,830,830,830
2021/06/22,1291,,,,,,,768,768,768,768,768,768
2021/06/23,1250,,,,,,,727,727,727,727,727,727
2021/06/24,1222,,,,,,,721,721,721,721,721,721
2021/06/25,1169,,,,,,,659,659,659,659,659,659
2021/06/26,1122,,,,,,,602,602,602,602,602,602
2021/06/27,1098,,,,,,,549,549,549,549,549,549
2021/06/28,1075,,,,,,,535,535,535,535,535,535
2021/06/29,1048,,,,,,,463,463,463,463,463,463
2021/06/30,1032,,,,,,,470,470,470,470,470,470
2021/07/01,1002,,,,,,,452,452,452,452,452,452
2021/07/02,949,,,,,,,386,386,386,386,386,386
2021/07/03,844,,,,,,,365,365,365,365,365,365
2021/07/04,845,,,,,,,333,333,333,333,333,333
2021/07/05,847,,,,,,,324,324,324,324,324,324
2021/07/06,842,,,,,,,335,335,335,335,335,335
2021/07/07,843,,,,,,,320,320,320,320,320,320
2021/07/08,839,,,,,,,286,286,286,286,286,286
2021/07/09,804,,,,,,,258,258,258,258,258,258
2021/07/10,791,,,,,,,275,275,275,275,275,275
2021/07/11,750,,,,,,,213,213,213,213,213,213
2021/07/12,720,,,,,,,232,232,232,232,232,232
2021/07/13,788,,,,,,,218,218,218,218,218,218
2021/07/14,793,,,,,,,211,211,211,211,211,211
2021/07/15,731,,,,,,,200,200,200,200,200,200
2021/07/16,750,,,,,,,193,193,193,193,193,193
2021/07/17,723,,,,,,,207,207,207,207,207,207
2021/07/18,774,,,,,,,193,193,193,193,193,193
2021/07/19,739,,,,,,,216,216,216,216,216,216
2021/07/20,766,,,,,,,313,313,313,313,313,313
2021/07/21,737,,,,,,,317,317,317,317,317,317
2021/07/22,774,,,,,,,316,316,316,316,316,316
2021/07/23,776,,,,,,,378,378,378,378,378,378
2021/07/24,801,,,,,,,386,386,386,386,386,386
2021/07/25,807,482,482,482,482,482,482,385,385,385,385,385,385
2021/07/26,,568,568,568,568,568,568,375,375,375,375,375,375
2021/07/27,,570,570,570,570,570,570,425,425,425,425,425,425
2021/07/28,,626,626,626,626,626,626,489,489,489,489,489,489
2021/07/29,,660,660,660,660,660,660,512,512,512,512,512,512
2021/07/30,,686,686,686,686,686,686,549,549,549,549,549,549
2021/07/31,,728,728,728,728,728,728,613,613,613,613,613,613
2021/08/01,,800,800,800,800,800,800,674,674,674,674,674,674
2021/08/02,,882,882,882,882,882,882,751,751,751,751,751,751
2021/08/03,,974,974,974,974,974,974,813,813,813,813,813,813
2021/08/04,,1077,1077,1077,1077,1077,1077,873,873,873,873,873,873
2021/08/05,,1169,1169,1169,1169,1169,1169,949,949,949,949,949,949
2021/08/06,,1271,1271,1271,1271,1271,1271,1053,1053,1053,1053,1053,1053
2021/08/07,,1373,1373,1279,1279,1272,1272,1196,1150,1150,1150,1046,1062
2021/08/08,,1530,1530,1405,1405,1410,1410,1323,1250,1250,1250,1151,1151
2021/08/09,,1655,1655,1538,1538,1540,1540,1471,1396,1288,1288,1274,1274
2021/08/10,,1789,1789,1663,1663,1630,1630,1597,1558,1410,1410,1374,1374
2021/08/11,,1988,1988,1845,1845,1785,1785,1755,1685,1524,1550,1473,1473
2021/08/12,,2161,2161,1997,1997,1942,1942,1869,1788,1659,1707,1575,1574
2021/08/13,,2322,2322,2121,2121,2055,2053,1995,1891,1802,1892,1702,1702
2021/08/14,,2555,2555,2325,2366,2102,2122,2184,1983,1954,2027,1852,1794
2021/08/15,,2811,2811,2492,2504,2249,2278,2394,2188,2093,2093,1975,1880
2021/08/16,,3087,3060,2756,2744,2417,2369,2654,2407,2210,2257,2085,1968
2021/08/17,,3303,3282,2946,2844,2562,2471,2885,2597,2427,2400,2139,2002
2021/08/18,,3579,3480,3047,3045,2706,2651,3082,2801,2614,2555,2230,2088
2021/08/19,,3871,3630,3381,3257,2838,2728,3274,3087,2837,2781,2313,2172
2021/08/20,,4136,3788,3540,3395,2921,2761,3470,3346,2961,2766,2405,2204
2021/08/21,,4477,4229,3858,3613,3099,2788,3812,3576,3163,2876,2480,2266
2021/08/22,,4774,4366,4016,3837,3205,2968,4018,3664,3386,2972,2568,2352
2021/08/23,,5137,4493,4358,4031,3341,3000,4314,3802,3559,3048,2616,2435
2021/08/24,,5393,4915,4498,4059,3467,3101,4452,3896,3734,3251,2705,2481
2021/08/25,,5737,5082,4794,4242,3586,3226,4715,4119,3899,3404,2802,2527
2021/08/26,,6169,5296,5029,4342,3699,3335,5008,4324,4097,3502,2893,2561
