date,reality,green_full,blue_full,blue_dashed,red_dot,red_full,red_dashed,red_dot_90,red_full_90,red_dashed_90,vacc_red_dashed,vacc_red_line,vacc_red_dot,vacc_blue_dashed,vacc_blue_line,vacc_gree_line
2021/07/18,206,,,,,,,,,,,,,,,
2021/07/19,215,,,,,,,,,,,,,,,
2021/07/20,224,,,,,,,,,,,,,,,
2021/07/21,237,,,,,,,,,,,,,,,
2021/07/22,248,,,,,,,,,,,,,,,
2021/07/23,280,,,,,,,,,,,,,,,
2021/07/24,291,,,,,,,,,,,,,,,
2021/07/25,318,,,,,,,,,,,,,,,
2021/07/26,333,,,,,,,,,,,,,,,
2021/07/27,368,,,,,,,,,,,,,,,
2021/07/28,385,,,,,,,,,,,,,,,
2021/07/29,402,,,,,,,,,,,,,,,
2021/07/30,435,,,,,,,,,,,,,,,
2021/07/31,446,,,,,,,,,,,,,,,
2021/08/01,464,,,,,,,,,,,,,,,
2021/08/02,487,,,,,,,,,,,,,,,
2021/08/03,511,,,,,,,,,,,,,,,
2021/08/04,549,,,,,,,,,,,,,,,
2021/08/05,545,,,,,,,,,,,,,,,
2021/08/06,556,,,,,,,,,,,,,,,
2021/08/07,575,,,,,,,,,,,,,,,
2021/08/08,576,,,,,,,,,,,,,,,
2021/08/09,604,,,,,,,,,,,,,,,
2021/08/10,625,,,,,,,,,,,,,,,
2021/08/11,633,,,,,,,,,,,,,,,
2021/08/12,625,,,,,,,,,,,,,,,
2021/08/13,626,,,,,,,,,,,,,,,
2021/08/14,626,,,,,,,,,,,,,,,
2021/08/15,626,,,,,,,,,,,,,,,
2021/08/16,623,,,,,,,,,,,,,,,
2021/08/17,618,,,,,,,,,,,,,,,
2021/08/18,619,,,,,,,,,,,,,,,
2021/08/19,619,,,,,,,,,,,,,,,
2021/08/20,618,,,,,,,,,,,,,,,
2021/08/21,619,,,,,,,,,,,,,,,
2021/08/22,611,,,,,,,,,,,,,,,
2021/08/23,610,,,,,,,,,,,,,,,
2021/08/24,604,,,,,,,,,,,,,,,
2021/08/25,593,,,,,,,,,,,,,,,
2021/08/26,567,,,,,,,,,,,,,,,
2021/08/27,561,,,,,,,,,,,,,,,
2021/08/28,531,,,,,,,,,,,,,,,
2021/08/29,504,,,,,,,,,,,,,,,
2021/08/30,497,,,,,,,,,,,,,,,
2021/08/31,487,,,,,,,,,,,,,,,
2021/09/01,474,,,,,,,,,,,,,,,
2021/09/02,461,,,,,,,,,,,,,,,
2021/09/03,439,,,,,,,,,,,,,,,
2021/09/04,444,,,,,,,,,,,,,,,
2021/09/05,415,,,,,,,,,,,,,,,
2021/09/06,403,,,,,,,,,,,,,,,
2021/09/07,399,,,,,,,,,,,,,,,
2021/09/08,379,,,,,,,,,,,,,,,
2021/09/09,362,,,,,,,,,,,,,,,
2021/09/10,345,,,,,,,,,,,,,,,
2021/09/11,338,,,,,,,,,,,,,,,
2021/09/12,313,313,313,313,313,313,313,313,313,313,,,,,,
2021/09/13,303,303,303,303,303,303,303,303,303,303,,,,,,
2021/09/14,294,294,294,294,294,294,294,294,294,294,,,,,,
2021/09/15,281,281,281,281,281,281,281,281,281,281,,,,,,
2021/09/16,268,268,268,268,268,268,268,268,268,268,,,,,,
2021/09/17,252,252,252,252,252,252,252,252,252,252,,,,,,
2021/09/18,244,244,244,244,244,244,244,244,244,244,,,,,,
2021/09/19,245,245,245,245,245,245,245,245,245,245,,,,,,
2021/09/20,239,239,239,239,239,239,239,239,239,239,,,,,,
2021/09/21,230,230,230,230,230,230,230,230,230,230,,,,,,
2021/09/22,218,218,218,218,218,218,218,218,218,218,,,,,,
2021/09/23,204,204,204,204,204,204,204,204,204,204,,,,,,
2021/09/24,195,195,195,195,195,195,195,195,195,195,,,,,,
2021/09/25,194,194,194,194,194,194,194,194,194,194,,,,,,
2021/09/26,183,183,183,183,183,183,183,183,183,183,,,,,,
2021/09/27,185,185,185,185,185,185,185,185,185,185,,,,,,
2021/09/28,187,187,187,187,187,187,187,187,187,187,,,,,,
2021/09/29,,187,187,187,187,187,187,187,187,187,,,,,,
2021/09/30,,187,187,187,187,187,187,187,187,187,,,,,,
2021/10/01,,151,151,151,151,151,151,151,151,151,,,,,,136
2021/10/02,,143,143,143,143,143,143,143,143,143,,,,,,128
2021/10/03,,136,136,136,136,136,136,136,136,136,,,,,,127
2021/10/04,,131,131,131,131,131,131,131,131,131,,,,,,116
2021/10/05,,126,126,126,126,126,126,126,126,126,,,,,,113
2021/10/06,,121,121,121,121,121,121,121,121,121,,,,,,106
2021/10/07,,116,116,116,116,116,116,116,116,116,,,,,,104
2021/10/08,,115,115,115,115,115,115,115,115,115,,,,,,96
2021/10/09,,109,109,109,109,109,109,109,109,109,,,,,,88
2021/10/10,,103,103,103,103,103,103,103,103,103,,,,,,89
2021/10/11,,101,101,101,101,101,101,101,101,101,,,,,,85
