date,real_normal,red_normal,green_normal,blue_normal,real_pessimiste_VE,red_pessimiste_VE,green_pessimiste_VE,blue_pessimiste_VE
01/12/2021,1911,,,2060,1930,,,
02/12/2021,2004,,,2080,1980,,,
03/12/2021,2040,,,2142,2010,,,
04/12/2021,2156,,,2245,2120,,,
05/12/2021,2247,,,2285,2230,,,
06/12/2021,2325,,,2311,2290,,,
07/12/2021,2394,,,2354,2380,,,
08/12/2021,2417,,,2384,2400,,,
09/12/2021,2479,,,2449,2450,,,
10/12/2021,2557,,,2532,2540,,,2430
11/12/2021,2666,,,2563,2620,,,2520
12/12/2021,2765,,,2660,2740,,,2580
13/12/2021,2785,,,2693,2780,,,2630
14/12/2021,2808,,,2747,2820,,,2730
15/12/2021,2842,,,2795,2840,,,2770
16/12/2021,2906,,,2818,2900,,,2830
17/12/2021,2956,,,2896,2940,,,2870
18/12/2021,2992,,,2918,2960,,,2950
19/12/2021,3075,,,3011,3050,,,2990
20/12/2021,3091,,,3047,3100,,,3020
21/12/2021,3097,,,3046,3100,,,3070
22/12/2021,3133,,,3188,3120,,,3050
23/12/2021,3167,,,3211,3150,,,3200
24/12/2021,3213,,,3251,3200,,,3150
25/12/2021,3285,,,3224,3260,,,3330
26/12/2021,3347,,,3304,3320,,,3250
27/12/2021,3376,,,3384,3350,,,3320
28/12/2021,3392,,,3378,3380,,,3370
29/12/2021,3419,,,3394,3400,,,3410
30/12/2021,3452,,,3412,3450,,,3440
31/12/2021,3469,,,3471,3420,,,3460
01/01/2022,3531,,,3438,3490,,,3440
02/01/2022,3598,,,3494,3590,,,3470
03/01/2022,,,,3547,,,,3500
04/01/2022,,,,3548,,,,3550
05/01/2022,,,,3584,,,,3590
06/01/2022,,,,3608,,,,3610
07/01/2022,,,,3643,,,,3630
08/01/2022,,,,3661,,3730,,3680
09/01/2022,,3762,3753,3698,,3770,3760,3720
10/01/2022,,3792,3793,3718,,3820,3780,3730
11/01/2022,,3827,3798,3749,,3860,3820,3790
12/01/2022,,3893,3835,3760,,3900,3860,3810
13/01/2022,,3929,3853,3762,,3970,3910,3820
14/01/2022,,3979,3878,3753,,4040,3930,3880
15/01/2022,,4044,3939,3763,,4110,3990,3890
16/01/2022,,4113,3975,3768,,4190,4050,3920
17/01/2022,,4183,4000,3777,,4310,4100,3980
18/01/2022,,4285,4062,3777,,4430,4190,3980
19/01/2022,,4379,4106,3792,,4680,4250,3990
20/01/2022,,4471,4148,3809,,4790,4340,4010
21/01/2022,,4575,4183,3811,,4890,4420,4050
22/01/2022,,4680,4238,3819,,5050,4520,4090
23/01/2022,,4805,4283,3846,,5200,4600,4100
24/01/2022,,4921,4338,3846,,5390,4700,4140
25/01/2022,,5030,4386,3842,,5570,4800,4170
26/01/2022,,5137,4420,3822,,5810,4910,4190
27/01/2022,,5251,4470,3822,,5990,5010,4210
28/01/2022,,5351,4505,3808,,6150,5100,4240
29/01/2022,,5445,4542,3790,,6350,5210,4270
30/01/2022,,5539,4578,3777,,6530,5310,4290
31/01/2022,,5640,4599,3761,,6700,5410,4310
01/02/2022,,5764,4616,3746,,6830,5490,4310
02/02/2022,,5820,4649,3722,,7050,5570,4360
03/02/2022,,5883,4659,3687,,7170,5660,4360
04/02/2022,,5944,4658,3642,,7350,5720,4380
05/02/2022,,5984,4658,3602,,7450,5790,4390
06/02/2022,,6003,4658,3553,,7550,5860,4400
07/02/2022,,6032,4657,3498,,7630,5890,4400
08/02/2022,,6032,4628,3479,,7720,5920,4420
09/02/2022,,6032,4608,3442,,7760,5960,4390
10/02/2022,,6006,4566,3378,,7770,5990,4370
11/02/2022,,5986,4538,3329,,7780,5990,4360
12/02/2022,,5932,4497,3277,,7760,5990,4340
13/02/2022,,5898,4449,3227,,7720,5960,4330
14/02/2022,,5824,4390,3178,,7640,5940,4290
15/02/2022,,5748,4335,3097,,7560,5920,4290
16/02/2022,,5690,4271,3061,,7520,5850,4210
17/02/2022,,5590,4200,2995,,7420,5810,4180
18/02/2022,,5487,4118,2931,,7340,5730,4120
19/02/2022,,5404,4045,2881,,7100,5660,4080
20/02/2022,,5290,3973,2803,,7020,5580,4030
21/02/2022,,5171,3901,2741,,6890,5490,3950
22/02/2022,,5059,3802,2669,,6720,5410,3910
23/02/2022,,4975,3741,2600,,6530,5310,3840
24/02/2022,,4782,3660,2539,,6400,5210,3810
25/02/2022,,4674,3563,2472,,6240,5090,3730
26/02/2022,,4564,3483,2398,,6090,4990,3690
27/02/2022,,4448,3389,2358,,5870,4850,3620
28/02/2022,,4311,3287,2293,,5680,4740,3510
01/03/2022,,4142,3188,2213,,5430,4620,3380
02/03/2022,,4025,3104,2175,,5210,4480,3340
03/03/2022,,3898,3015,2114,,5080,4350,3260
04/03/2022,,3722,2914,2062,,4910,4210,3160
05/03/2022,,3605,2813,1973,,4700,4080,3100
06/03/2022,,3508,2723,1917,,4520,3950,3020
07/03/2022,,3372,2611,1836,,4350,3820,2940
08/03/2022,,3228,2540,1798,,4160,3680,2860
09/03/2022,,3113,2457,1722,,3990,3550,2790
10/03/2022,,2979,2365,1671,,3830,3430,2700
11/03/2022,,2895,2267,1611,,3640,3300,2600
12/03/2022,,2781,2181,1539,,3500,3160,2540
13/03/2022,,2661,2088,1496,,3280,3020,2470
14/03/2022,,2505,2007,1439,,3140,2900,2440
15/03/2022,,2423,1941,1341,,2980,2790,2360
16/03/2022,,2298,1851,1303,,2850,2680,2230
17/03/2022,,2201,1781,1276,,2720,2560,2120
18/03/2022,,2100,1715,1239,,2570,2460,2040
19/03/2022,,1998,1633,1188,,2480,2350,1960
20/03/2022,,1885,1540,1122,,2410,2230,1910
21/03/2022,,1787,1475,1071,,2320,2180,1880
22/03/2022,,1707,1408,1034,,2170,2060,1800
23/03/2022,,1612,1342,1000,,2050,1980,1790
24/03/2022,,1538,1275,967,,1990,1900,1750
25/03/2022,,1470,1226,947,,,1810,1670
26/03/2022,,1398,1157,886,,,1700,1540
27/03/2022,,1322,1111,861,,,1620,1470
28/03/2022,,1256,1047,823,,,1560,1410
29/03/2022,,1195,1012,770,,,1480,1350
30/03/2022,,1129,945,750,,,1390,1280
31/03/2022,,1075,895,698,,,1350,1230
01/04/2022,,,,,,,1300,1160
