date,reality,red_pessimiste_VE,green_pessimiste_VE,blue_pessimiste_VE
2021/12/01,1930,1930,1930,1930
2021/12/02,1980,1980,1980,1980
2021/12/03,2010,2010,2010,2010
2021/12/04,2120,2120,2120,2120
2021/12/05,2230,2230,2230,2230
2021/12/06,2290,2290,2290,2290
2021/12/07,2380,2380,2380,2380
2021/12/08,2400,2400,2400,2400
2021/12/09,2450,2450,2450,2450
2021/12/10,2540,2430,2430,2430
2021/12/11,2620,2520,2520,2520
2021/12/12,2740,2580,2580,2580
2021/12/13,2780,2630,2630,2630
2021/12/14,2820,2730,2730,2730
2021/12/15,2840,2770,2770,2770
2021/12/16,2900,2830,2830,2830
2021/12/17,2940,2870,2870,2870
2021/12/18,2960,2950,2950,2950
2021/12/19,3050,2990,2990,2990
2021/12/20,3100,3020,3020,3020
2021/12/21,3100,3070,3070,3070
2021/12/22,3120,3050,3050,3050
2021/12/23,3150,3200,3200,3200
2021/12/24,3200,3150,3150,3150
2021/12/25,3260,3330,3330,3330
2021/12/26,3320,3250,3250,3250
2021/12/27,3350,3320,3320,3320
2021/12/28,3380,3370,3370,3370
2021/12/29,3400,3410,3410,3410
2021/12/30,3450,3440,3440,3440
2021/12/31,3420,3460,3460,3460
2022/01/01,3490,3440,3440,3440
2022/01/02,3590,3470,3470,3470
2022/01/03,,3500,3500,3500
2022/01/04,,3550,3550,3550
2022/01/05,,3590,3590,3590
2022/01/06,,3610,3610,3610
2022/01/07,,3630,3630,3630
2022/01/08,,3730,3730,3680
2022/01/09,,3770,3760,3720
2022/01/10,,3820,3780,3730
2022/01/11,,3860,3820,3790
2022/01/12,,3900,3860,3810
2022/01/13,,3970,3910,3820
2022/01/14,,4040,3930,3880
2022/01/15,,4110,3990,3890
2022/01/16,,4190,4050,3920
2022/01/17,,4310,4100,3980
2022/01/18,,4430,4190,3980
2022/01/19,,4680,4250,3990
2022/01/20,,4790,4340,4010
2022/01/21,,4890,4420,4050
2022/01/22,,5050,4520,4090
2022/01/23,,5200,4600,4100
2022/01/24,,5390,4700,4140
2022/01/25,,5570,4800,4170
2022/01/26,,5810,4910,4190
2022/01/27,,5990,5010,4210
2022/01/28,,6150,5100,4240
2022/01/29,,6350,5210,4270
2022/01/30,,6530,5310,4290
2022/01/31,,6700,5410,4310
2022/02/01,,6830,5490,4310
2022/02/02,,7050,5570,4360
2022/02/03,,7170,5660,4360
2022/02/04,,7350,5720,4380
2022/02/05,,7450,5790,4390
2022/02/06,,7550,5860,4400
2022/02/07,,7630,5890,4400
2022/02/08,,7720,5920,4420
2022/02/09,,7760,5960,4390
2022/02/10,,7770,5990,4370
2022/02/11,,7780,5990,4360
2022/02/12,,7760,5990,4340
2022/02/13,,7720,5960,4330
2022/02/14,,7640,5940,4290
2022/02/15,,7560,5920,4290
2022/02/16,,7520,5850,4210
2022/02/17,,7420,5810,4180
2022/02/18,,7340,5730,4120
2022/02/19,,7100,5660,4080
2022/02/20,,7020,5580,4030
2022/02/21,,6890,5490,3950
2022/02/22,,6720,5410,3910
2022/02/23,,6530,5310,3840
2022/02/24,,6400,5210,3810
2022/02/25,,6240,5090,3730
2022/02/26,,6090,4990,3690
2022/02/27,,5870,4850,3620
2022/02/28,,5680,4740,3510
2022/03/01,,5430,4620,3380
2022/03/02,,5210,4480,3340
2022/03/03,,5080,4350,3260
2022/03/04,,4910,4210,3160
2022/03/05,,4700,4080,3100
2022/03/06,,4520,3950,3020
2022/03/07,,4350,3820,2940
2022/03/08,,4160,3680,2860
2022/03/09,,3990,3550,2790
2022/03/10,,3830,3430,2700
2022/03/11,,3640,3300,2600
2022/03/12,,3500,3160,2540
2022/03/13,,3280,3020,2470
2022/03/14,,3140,2900,2440
2022/03/15,,2980,2790,2360
2022/03/16,,2850,2680,2230
2022/03/17,,2720,2560,2120
2022/03/18,,2570,2460,2040
2022/03/19,,2480,2350,1960
2022/03/20,,2410,2230,1910
2022/03/21,,2320,2180,1880
2022/03/22,,2170,2060,1800
2022/03/23,,2050,1980,1790
2022/03/24,,1990,1900,1750
2022/03/25,,,1810,1670
2022/03/26,,,1700,1540
2022/03/27,,,1620,1470
2022/03/28,,,1560,1410
2022/03/29,,,1480,1350
2022/03/30,,,1390,1280
2022/03/31,,,1350,1230
2022/04/01,,,1300,1160
