date,new_hosp,new_hosp_smooth
2021/01/01,737,
2021/01/02,833,1013
2021/01/03,964,1017
2021/01/04,1209,1023
2021/01/05,1204,1031
2021/01/06,1141,1043
2021/01/07,1160,1056
2021/01/08,1030,1073
2021/01/09,874,1102
2021/01/10,883,1121
2021/01/11,1248,1147
2021/01/12,1349,1158
2021/01/13,1360,1192
2021/01/14,1364,1214
2021/01/15,1318,1245
2021/01/16,941,1261
2021/01/17,1074,1292
2021/01/18,1436,1324
2021/01/19,1504,1341
2021/01/20,1442,1352
2021/01/21,1480,1356
2021/01/22,1205,1355
2021/01/23,1102,1358
2021/01/24,1253,1367
2021/01/25,1504,1360
2021/01/26,1421,1353
2021/01/27,1388,1344
2021/01/28,1419,1332
2021/01/29,1307,1323
2021/01/30,1062,1317
2021/01/31,1206,1305
2021/02/01,1574,1294
2021/02/02,1501,1290
2021/02/03,1403,1279
2021/02/04,1364,1267
2021/02/05,1233,1265
2021/02/06,1033,1256
2021/02/07,1146,1249
2021/02/08,1395,1226
2021/02/09,1339,1221
2021/02/10,1212,1214
2021/02/11,1215,1218
2021/02/12,1054,1203
2021/02/13,916,1194
2021/02/14,849,1186
2021/02/15,1211,1178
2021/02/16,1267,1171
2021/02/17,1241,1168
2021/02/18,1176,1164
2021/02/19,1095,1160
2021/02/20,983,1148
2021/02/21,1034,1148
2021/02/22,1263,1147
2021/02/23,1279,1148
2021/02/24,1236,1148
2021/02/25,1247,1148
2021/02/26,1200,1150
2021/02/27,1005,1156
2021/02/28,1057,1158
2021/03/01,1318,1171
2021/03/02,1353,1185
2021/03/03,1304,1188
2021/03/04,1284,1195
2021/03/05,1163,1216
2021/03/06,976,1231
2021/03/07,1087,1241
2021/03/08,1286,1246
2021/03/09,1277,1254
2021/03/10,1324,1265
2021/03/11,1356,1287
2021/03/12,1241,1306
2021/03/13,1099,1326
2021/03/14,1223,1349
2021/03/15,1498,1380
2021/03/16,1486,1410
2021/03/17,1497,1427
2021/03/18,1586,1448
2021/03/19,1580,1478
2021/03/20,1307,1508
2021/03/21,1411,1525
2021/03/22,1707,1551
2021/03/23,1738,1578
2021/03/24,1723,1622
2021/03/25,1706,1642
2021/03/26,1556,1661
2021/03/27,1376,1678
2021/03/28,1435,1694
2021/03/29,1898,1705
2021/03/30,1835,1723
2021/03/31,1848,1733
2021/04/01,1912,1744
2021/04/02,1770,1762
2021/04/03,1568,1768
2021/04/04,1493,1778
2021/04/05,1638,1765
2021/04/06,1931,1758
2021/04/07,1779,1749
2021/04/08,1818,1749
2021/04/09,1830,1745
2021/04/10,1581,1749
2021/04/11,1574,1728
2021/04/12,1846,1718
2021/04/13,1752,1710
2021/04/14,1724,1692
2021/04/15,1696,1670
2021/04/16,1528,1647
2021/04/17,1365,1613
2021/04/18,1447,1595
2021/04/19,1734,1566
2021/04/20,1734,1545
2021/04/21,1594,1522
2021/04/22,1570,1502
2021/04/23,1443,1488
2021/04/24,1242,1453
2021/04/25,1269,1428
2021/04/26,1537,1394
2021/04/27,1424,1371
2021/04/28,1311,1325
2021/04/29,1323,1257
2021/04/30,1166,1224
2021/05/01,985,1211
2021/05/02,1015,1158
2021/05/03,1160,1104
2021/05/04,1042,1023
2021/05/05,990,991
2021/05/06,1045,939
2021/05/07,916,895
2021/05/08,827,832
2021/05/09,738,800
2021/05/10,868,759
2021/05/11,725,686
2021/05/12,624,655
2021/05/13,545,614
