date,new_hosp_smooth
2021/06/08,234
2021/06/09,215
2021/06/10,200
2021/06/11,194
2021/06/12,186
2021/06/13,177
2021/06/14,169
2021/06/15,161
2021/06/16,151
2021/06/17,140
2021/06/18,133
2021/06/19,117
2021/06/20,111
2021/06/21,116
2021/06/22,94
2021/06/23,86
2021/06/24,90
2021/06/25,85
2021/06/26,80
2021/06/27,75
2021/06/28,75
2021/06/29,75
2021/06/30,75
2021/07/01,75
2021/07/02,75
2021/07/03,75
2021/07/04,75
2021/07/05,75
2021/07/06,75
2021/07/07,76
2021/07/08,70
2021/07/09,86
2021/07/10,104
2021/07/11,106
2021/07/12,123
2021/07/13,127
2021/07/14,138
2021/07/15,136
2021/07/16,155
2021/07/17,175
2021/07/18,186
2021/07/19,199
2021/07/20,220
2021/07/21,241
2021/07/22,261
2021/07/23,284
2021/07/24,289
2021/07/25,308
2021/07/26,324
2021/07/27,337
2021/07/28,357
2021/07/29,375
2021/07/30,407
2021/07/31,435
2021/08/01,450
2021/08/02,480
2021/08/03,516
2021/08/04,547
2021/08/05,583
2021/08/06,605
2021/08/07,612
2021/08/08,627
2021/08/09,630
2021/08/10,629
2021/08/11,634
2021/08/12,630
2021/08/13,630
2021/08/14,625
2021/08/15,619
2021/08/16,614
2021/08/17,616
2021/08/18,614
2021/08/19,607
2021/08/20,599
2021/08/21,594
2021/08/22,589
2021/08/23,576
2021/08/24,565
2021/08/25,555
2021/08/26,535
2021/08/27,525
2021/08/28,506
2021/08/29,501
2021/08/30,493
2021/08/31,468
2021/09/01,465
2021/09/02,464
2021/09/03,445
2021/09/04,439
2021/09/05,421
2021/09/06,410
2021/09/07,385
2021/09/08,368
2021/09/09,358
2021/09/10,353
2021/09/11,328
2021/09/12,307
2021/09/13,302
2021/09/14,285
2021/09/15,270
2021/09/16,256
2021/09/17,235
2021/09/18,221
2021/09/19,211
2021/09/20,206
2021/09/21,191
2021/09/22,181
2021/09/23,180
2021/09/24,190
2021/09/25,179
2021/09/26,169
2021/09/27,161
2021/09/28,166
2021/09/29,171
2021/09/30,165
2021/10/01,159
2021/10/02,155
2021/10/03,160
2021/10/04,161
2021/10/05,161
2021/10/06,157
2021/10/07,156
2021/10/08,159
2021/10/09,163
2021/10/10,169
2021/10/11,165
2021/10/12,164
2021/10/13,164
2021/10/14,164
2021/10/15,165
2021/10/16,177
2021/10/17,175
2021/10/18,173
2021/10/19,185
2021/10/20,187
2021/10/21,188
2021/10/22,188
2021/10/23,187
2021/10/24,194
2021/10/25,202
2021/10/26,206
2021/10/27,199
2021/10/28,211
2021/10/29,210
2021/10/30,225
2021/10/31,239
2021/11/01,241
2021/11/02,245
2021/11/03,260
2021/11/04,277
2021/11/05,286
2021/11/06,291
2021/11/07,306
2021/11/08,317
2021/11/09,330
2021/11/10,328
2021/11/11,331
2021/11/12,347
2021/11/13,348
2021/11/14,363
2021/11/15,377
2021/11/16,376
2021/11/17,384
2021/11/18,407
2021/11/19,429
2021/11/20,438
2021/11/21,474
2021/11/22,497
2021/11/23,525
