date,med_fig7b_exit1,min_fig7b_exit1,max_fig7b_exit1,med_fig7d_exit1,min_fig7d_exit1,max_fig7d_exit1,reality_report,reality
2020-02-27,13,NA,NA,10,7,7,NA,NA
2020-02-28,13,NA,18,22,6,11,NA,NA
2020-02-29,13,9,27,19,9,17,NA,NA
2020-03-01,12,10,27,28,10,23,33,NA
2020-03-02,17,21,28,34,13,32,27,4
2020-03-03,23,27,35,38,17,40,27,6
2020-03-04,23,19,42,37,20,48,27,9
2020-03-05,29,26,48,44,27,57,33,12
2020-03-06,35,31,58,44,33,69,38,17
2020-03-07,44,33,64,55,43,80,49,23
2020-03-08,57,43,76,64,47,91,60,31
2020-03-09,70,54,92,81,56,103,71,41
2020-03-10,82,63,130,92,68,121,104,54
2020-03-11,93,91,151,111,74,142,104,71
2020-03-12,127,109,211,143,80,189,126,93
2020-03-13,155,124,249,181,100,234,143,122
2020-03-14,208,143,298,202,121,296,231,160
2020-03-15,262,182,341,239,157,344,319,207
2020-03-16,322,223,435,260,193,431,368,268
2020-03-17,372,272,522,376,262,520,456,342
2020-03-18,422,335,614,408,302,631,522,433
2020-03-19,619,388,744,478,347,744,605,539
2020-03-20,664,456,847,715,445,1006,676,662
2020-03-21,803,571,1003,751,503,1142,775,799
2020-03-22,1098,713,1077,999,691,1525,902,949
2020-03-23,1200,879,1310,1208,857,1658,1072,1109
2020-03-24,1549,969,1698,1404,982,2043,1248,1277
2020-03-25,1691,1252,1736,1562,1145,2231,1441,1448
2020-03-26,1876,1341,2336,1853,1207,2465,1617,1619
2020-03-27,2008,1475,2445,1966,1391,2635,1776,1788
2020-03-28,2036,1628,2653,2160,1423,2807,1925,1952
2020-03-29,2280,1684,2824,2264,1655,2924,2035,2110
2020-03-30,2305,1788,2951,2352,1693,2981,2184,2259
2020-03-31,2502,1842,2984,2484,1799,2984,2404,2394
2020-04-01,2548,1917,2988,2534,1837,2984,2563,2515
2020-04-02,2603,1957,2988,2637,1896,2984,2673,2618
2020-04-03,2639,2009,2988,2693,1932,2988,2767,2702
2020-04-04,2688,2051,2988,2753,1969,2988,2800,2768
2020-04-05,2724,2099,2988,2785,2015,2988,2855,2814
2020-04-06,2780,2140,2988,2808,2059,2988,2937,2842
2020-04-07,2815,2164,2991,2821,2100,2988,2899,2852
2020-04-08,2845,2175,2991,2833,2128,2990,NA,2848
2020-04-09,2867,2179,2992,2834,2126,2991,NA,2829
