date,low,median,high,reality_report,reality
2020-03-19,NA,NA,NA,267,539
2020-03-20,NA,NA,NA,NA,662
2020-03-21,NA,NA,NA,NA,799
2020-03-22,NA,NA,NA,NA,949
2020-03-23,NA,NA,NA,NA,1109
2020-03-24,NA,NA,NA,1039,1277
2020-03-25,1517,1517,1517,1288,1448
2020-03-26,1674,1674,1674,1407,1619
2020-03-27,1850,1850,1850,1582,1788
2020-03-28,1984,1984,1984,1693,1952
2020-03-29,2107,2107,2107,1821,2110
2020-03-30,2175,2175,2175,2001,2259
2020-03-31,2296,2296,2296,2217,2394
2020-04-01,2358,2358,2358,2336,2515
2020-04-02,2423,2423,2423,2392,2618
2020-04-03,2505,2505,2505,2447,2702
2020-04-04,2526,2526,2526,2520,2768
2020-04-05,2598,2598,2598,2571,2814
2020-04-06,2608,2608,2608,2612,2842
2020-04-07,2633,2633,2633,2686,2852
2020-04-08,2662,2662,2662,2690,2848
2020-04-09,2648,2648,2648,2676,2829
2020-04-10,2649,2649,2649,2630,2797
2020-04-11,2609,2609,2609,2630,2755
2020-04-12,2588,2588,2588,2630,2705
2020-04-13,2522,2522,2522,2612,2649
2020-04-14,2475,2475,2475,2501,2589
2020-04-15,2430,2430,2430,2427,2527
2020-04-16,2374,2374,2374,2340,2462
2020-04-17,2324,2324,2324,2298,2395
2020-04-18,2262,2262,2262,2271,2326
2020-04-19,2203,2203,2203,2225,2256
2020-04-20,2150,2150,2150,2146,2185
2020-04-21,2093,2093,2093,2063,2115
2020-04-22,2018,2018,2018,2013,2045
2020-04-23,1944,1944,1944,1948,1976
2020-04-24,1897,1897,1897,1925,1909
2020-04-25,1836,1836,1836,1902,1843
2020-04-26,1765,1765,1765,1856,1778
2020-04-27,1703,1703,1703,1755,1716
2020-04-28,1656,1656,1656,NA,1657
2020-04-29,1553,1553,1553,NA,1599
2020-04-30,1491,1491,1491,NA,1544
2020-05-01,1429,1429,1429,NA,1491
2020-05-02,1367,1367,1367,NA,1440
2020-05-03,1311,1311,1311,NA,1389
2020-05-04,1259,1259,1259,NA,1340
2020-05-05,1205,1205,1205,NA,1292
2020-05-06,1151,1151,1151,NA,1245
2020-05-07,1094,1094,1094,NA,1198
2020-05-08,1042,1042,1042,NA,1152
2020-05-09,1001,1001,1001,NA,1106
2020-05-10,954,954,954,NA,1061
2020-05-11,881,881,881,NA,1018
2020-05-12,864,864,864,NA,975
2020-05-13,828,828,828,NA,934
2020-05-14,791,791,791,NA,896
2020-05-15,747,747,747,NA,859
2020-05-16,716,716,716,NA,825
2020-05-17,684,684,684,NA,793
2020-05-18,652,652,652,NA,763
2020-05-19,619,619,619,NA,735
2020-05-20,594,594,594,NA,708
2020-05-21,580,580,580,NA,683
2020-05-22,565,565,565,NA,659
2020-05-23,516,516,516,NA,637
2020-05-24,506,506,506,NA,615
2020-05-25,493,493,493,NA,594
2020-05-26,485,485,485,NA,574
2020-05-27,467,467,467,NA,554
2020-05-28,450,452,448,NA,534
2020-05-29,443,450,447,NA,514
2020-05-30,428,455,463,NA,496
2020-05-31,425,453,467,NA,477
2020-06-01,431,458,478,NA,460
2020-06-02,414,453,503,NA,443
2020-06-03,409,458,522,NA,426
2020-06-04,409,469,559,NA,411
2020-06-05,409,479,612,NA,396
2020-06-06,404,484,677,NA,382
2020-06-07,407,488,735,NA,369
2020-06-08,408,516,814,NA,356
2020-06-09,419,530,906,NA,345
2020-06-10,419,551,1078,NA,334
2020-06-11,424,565,1168,NA,324
2020-06-12,434,574,1256,NA,315
2020-06-13,434,605,1426,NA,306
2020-06-14,436,620,1551,NA,298
2020-06-15,429,638,1682,NA,291
2020-06-16,424,651,1803,NA,284
2020-06-17,432,669,1908,NA,277
2020-06-18,439,690,2107,NA,270
2020-06-19,438,716,2281,NA,264
2020-06-20,444,747,2407,NA,258
2020-06-21,446,778,2481,NA,252
2020-06-22,443,803,2532,NA,246
2020-06-23,453,826,2595,NA,239
2020-06-24,453,862,2640,NA,233
2020-06-25,463,902,2677,NA,227
2020-06-26,463,944,2750,NA,220
2020-06-27,463,978,2760,NA,214
2020-06-28,472,1015,2772,NA,207
2020-06-29,477,1062,2701,NA,201
