date,med_5F,min_5F,max_5F,reality_report,reality
2020-03-01,NA,NA,NA,NA,NA
2020-03-02,13,NA,48,2,4
2020-03-03,19,13,54,7,6
2020-03-04,25,16,61,7,9
2020-03-05,39,16,71,12,12
2020-03-06,48,22,76,17,17
2020-03-07,61,26,91,22,23
2020-03-08,59,34,107,32,31
2020-03-09,81,45,128,47,41
2020-03-10,100,51,163,56,54
2020-03-11,134,60,191,66,71
2020-03-12,156,69,217,88,93
2020-03-13,183,93,262,96,122
2020-03-14,217,127,314,169,160
2020-03-15,271,154,387,232,207
2020-03-16,306,199,447,291,268
2020-03-17,346,246,535,381,342
2020-03-18,420,298,622,442,433
2020-03-19,543,353,771,571,539
2020-03-20,672,415,925,718,662
2020-03-21,796,487,1087,832,799
2020-03-22,908,609,1406,964,949
2020-03-23,1150,751,1599,1154,1109
2020-03-24,1267,931,1926,1301,1277
2020-03-25,1591,1102,2339,1452,1448
2020-03-26,1686,1304,2546,1647,1619
2020-03-27,2005,1480,2864,1823,1788
2020-03-28,2172,1628,2980,1964,1952
2020-03-29,2403,1777,2981,2099,2110
2020-03-30,2557,1894,2981,2267,2259
2020-03-31,2667,1972,2982,2433,2394
2020-04-01,2783,2047,2983,2589,2515
2020-04-02,2893,2167,2983,2687,2618
2020-04-03,2940,2207,2984,2770,2702
2020-04-04,2982,2241,2985,2833,2768
2020-04-05,2968,2256,2985,2867,2814
2020-04-06,2973,2267,2986,2911,2842
2020-04-07,2979,2277,2986,2945,2852
2020-04-08,2985,2277,2987,2897,2848
2020-04-09,2991,2284,2987,2848,2829
2020-04-10,2995,2284,2988,2819,2797
2020-04-11,2981,2279,2988,2784,2755
2020-04-12,2937,2248,2988,2767,2705
2020-04-13,2876,2193,2989,2765,2649
2020-04-14,2874,2148,2989,2682,2589
2020-04-15,2833,2117,2989,2599,2527
2020-04-16,2758,2076,2989,2531,2462
2020-04-17,2679,2031,2990,2438,2395
2020-04-18,2629,1971,2990,2419,2326
2020-04-19,2534,1936,2990,2387,2256
2020-04-20,2447,1893,2990,2302,2185
2020-04-21,2362,1841,2990,2214,2115
2020-04-22,2285,1776,2990,2161,2045
2020-04-23,2226,1722,2936,2095,1976
2020-04-24,2167,1670,2862,2039,1909
2020-04-25,2123,1610,2774,2012,1843
2020-04-26,2077,1551,2667,2000,1778
2020-04-27,2004,1497,2554,1907,1716
2020-04-28,1928,1441,2447,1824,1657
2020-04-29,1805,1379,2359,NA,1599
2020-04-30,1714,1318,2277,NA,1544
2020-05-01,1637,1261,2209,NA,1491
2020-05-02,1578,1206,2111,NA,1440
2020-05-03,1515,1158,2032,NA,1389
2020-05-04,1453,1108,1941,NA,1340
2020-05-05,1379,1051,1857,NA,1292
2020-05-06,1320,1003,1798,NA,1245
2020-05-07,1284,948,1701,NA,1198
2020-05-08,1234,903,1627,NA,1152
2020-05-09,1168,863,1565,NA,1106
2020-05-10,1151,832,1473,NA,1061
2020-05-11,1057,802,1407,NA,1018
2020-05-12,1009,754,1341,NA,975
2020-05-13,982,704,1270,NA,934
2020-05-14,925,671,1208,NA,896
2020-05-15,870,641,1164,NA,859
2020-05-16,816,611,1116,NA,825
2020-05-17,779,587,1056,NA,793
2020-05-18,763,559,1018,NA,763
2020-05-19,744,539,972,NA,735
2020-05-20,725,514,939,NA,708
2020-05-21,691,493,890,NA,683
2020-05-22,650,475,854,NA,659
2020-05-23,629,457,820,NA,637
2020-05-24,598,440,791,NA,615
2020-05-25,575,425,760,NA,594
2020-05-26,546,410,733,NA,574
2020-05-27,518,394,714,NA,554
2020-05-28,510,388,698,NA,534
2020-05-29,501,377,689,NA,514
2020-05-30,489,370,662,NA,496
2020-05-31,476,362,640,NA,477
2020-06-01,461,355,617,NA,460
2020-06-02,446,347,596,NA,443
2020-06-03,432,338,584,NA,426
2020-06-04,422,329,572,NA,411
2020-06-05,420,329,565,NA,396
2020-06-06,420,329,553,NA,382
2020-06-07,411,329,547,NA,369
2020-06-08,412,326,537,NA,356
2020-06-09,406,323,530,NA,345
2020-06-10,404,327,527,NA,334
2020-06-11,402,332,524,NA,324
2020-06-12,399,338,524,NA,315
2020-06-13,399,335,527,NA,306
2020-06-14,399,330,537,NA,298
2020-06-15,399,336,540,NA,291
2020-06-16,403,342,540,NA,284
2020-06-17,405,352,540,NA,277
2020-06-18,421,357,543,NA,270
2020-06-19,427,364,551,NA,264
2020-06-20,441,372,569,NA,258
2020-06-21,454,377,590,NA,252
2020-06-22,466,392,604,NA,246
2020-06-23,482,415,629,NA,239
2020-06-24,499,427,654,NA,233
2020-06-25,532,443,680,NA,227
2020-06-26,563,451,720,NA,220
2020-06-27,594,479,760,NA,214
2020-06-28,623,508,787,NA,207
2020-06-29,662,537,815,NA,201
2020-06-30,703,593,853,NA,195
2020-07-01,752,637,916,NA,189
2020-07-02,791,686,969,NA,183
2020-07-03,847,721,1043,NA,177
2020-07-04,913,768,1121,NA,172
2020-07-05,983,814,1201,NA,167
2020-07-06,1062,851,1279,NA,163
2020-07-07,1146,934,1366,NA,159
2020-07-08,1243,1012,1451,NA,156
2020-07-09,1344,1077,1594,NA,153
2020-07-10,1450,1141,1719,NA,151
2020-07-11,1549,1262,1833,NA,149
2020-07-12,1661,1357,1967,NA,148
2020-07-13,1776,1423,2092,NA,146
2020-07-14,1888,1518,2224,NA,144
2020-07-15,1994,1616,2352,NA,142
2020-07-16,2103,1717,2519,NA,140
2020-07-17,2206,1817,2595,NA,138
2020-07-18,2310,1933,2673,NA,135
2020-07-19,2420,2027,2758,NA,133
2020-07-20,2529,2123,2852,NA,130
2020-07-21,2629,2183,2927,NA,128
2020-07-22,2725,2264,NA,NA,125
2020-07-23,2814,2324,NA,NA,123
2020-07-24,2902,2416,NA,NA,121
2020-07-25,2977,2505,NA,NA,120
2020-07-26,NA,2565,NA,NA,119
2020-07-27,NA,2637,NA,NA,118
2020-07-28,NA,2688,NA,NA,118
2020-07-29,NA,2764,NA,NA,118
2020-07-30,NA,2823,NA,NA,118
2020-07-31,NA,2877,NA,NA,119
