date,fig3A_R_1,fig3A_R_1_1,fig3A_R_1_2,fig3A_R_1_3,fig3C_R_1,fig3C_R_1_1,fig3C_R_1_2,fig3C_R_1_3,fig3E_R_1,reality_report,reality
2021-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,2595,2555
2021-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,2618,2555
2021-01-03,2429,2429,2429,2429,2429,2429,2429,2429,2429,2647,2556
2021-01-04,2437,2437,2437,2437,2437,2437,2437,2437,2437,2635,2558
2021-01-05,2445,2445,2445,2445,2445,2445,2445,2445,2445,2575,2561
2021-01-06,2447,2447,2447,2447,2447,2447,2447,2447,2447,2554,2565
2021-01-07,2471,2471,2471,2471,2471,2471,2471,2471,2471,2546,2571
2021-01-08,2482,2482,2482,2482,2482,2482,2482,2482,2482,2538,2578
2021-01-09,2482,2482,2482,2482,2482,2482,2482,2482,2482,2603,2588
2021-01-10,2495,2495,2495,2495,2495,2495,2495,2495,2495,2637,2601
2021-01-11,2505,2505,2505,2505,2505,2505,2505,2505,2505,2644,2616
2021-01-12,2525,2525,2525,2525,2525,2525,2525,2525,2525,2646,2634
2021-01-13,2564,2564,2564,2564,2564,2564,2564,2564,2564,2653,2655
2021-01-14,2572,2572,2572,2572,2572,2572,2572,2572,2572,2665,2678
2021-01-15,2599,2599,2599,2599,2599,2599,2599,2599,2599,2694,2705
2021-01-16,2646,2646,2646,2646,2646,2646,2646,2646,2646,2750,2735
2021-01-17,2683,2683,2683,2683,2683,2683,2683,2683,2683,2806,2768
2021-01-18,2720,2720,2720,2720,2720,2720,2720,2720,2720,2796,2803
2021-01-19,2765,2765,2765,2765,2765,2765,2765,2765,2765,2794,2839
2021-01-20,2794,2794,2794,2794,2794,2794,2794,2794,2794,2887,2876
2021-01-21,2835,2835,2835,2835,2835,2835,2835,2835,2835,2920,2912
2021-01-22,2876,2876,2876,2876,2876,2876,2876,2876,2876,2912,2949
2021-01-23,2914,2914,2914,2914,2914,2914,2914,2914,2914,3023,2984
2021-01-24,2953,2953,2953,2953,2953,2953,2953,2953,2953,3089,3019
2021-01-25,2995,2995,2995,2995,2995,2995,2995,2995,2995,3126,3051
2021-01-26,3034,3034,3034,3034,3034,3034,3034,3034,3034,3131,3082
2021-01-27,3075,3075,3075,3075,3075,3075,3075,3075,3075,3136,3110
2021-01-28,3129,3129,3129,3129,3129,3129,3129,3129,3129,3141,3136
2021-01-29,3132,3132,3132,3132,3132,3132,3132,3132,3132,3114,3160
2021-01-30,3203,3203,3203,3203,3203,3203,3203,3203,3203,3149,3180
2021-01-31,3219,3219,3219,3219,3219,3219,3219,3219,3219,3221,3199
2021-02-01,3233,3233,3233,3233,3233,3233,3233,3233,3233,3239,3215
2021-02-02,3245,3245,3245,3245,3245,3245,3245,3245,3245,3244,3230
2021-02-03,3269,3269,3269,3269,3269,3269,3269,3269,3269,3219,3244
2021-02-04,3269,3269,3269,3269,3269,3269,3269,3269,3269,3219,3256
2021-02-05,3268,3268,3268,3268,3268,3268,3268,3268,3268,3226,3267
2021-02-06,3283,3283,3283,3283,3283,3283,3283,3283,3283,3289,3278
2021-02-07,3291,3291,3291,3291,3291,3291,3291,3291,3291,3338,3287
2021-02-08,3294,3294,3294,3294,3294,3294,3294,3294,3294,3359,3295
2021-02-09,3291,3291,3291,3291,3291,3291,3291,3291,3291,3319,3302
2021-02-10,3314,3314,3314,3314,3314,3314,3314,3314,3314,3336,3307
2021-02-11,3326,3326,3326,3326,3326,3326,3326,3326,3326,3288,3312
2021-02-12,3346,3346,3346,3346,3346,3346,3346,3346,3346,3325,3315
2021-02-13,3353,3353,3353,3353,3353,3353,3353,3353,3353,3320,3318
2021-02-14,3354,3354,3354,3354,3354,3354,3354,3354,3354,3372,3320
2021-02-15,3371,3371,3371,3371,3371,3371,3371,3371,3371,3350,3323
2021-02-16,3357,3357,3357,3357,3357,3357,3357,3357,3357,3369,3326
2021-02-17,3370,3370,3370,3370,3370,3370,3370,3370,3370,3343,3330
2021-02-18,3369,3369,3369,3369,3369,3369,3369,3369,3369,3315,3335
2021-02-19,3366,3366,3366,3366,3366,3366,3366,3366,3366,3307,3341
2021-02-20,3392,3392,3392,3392,3392,3392,3392,3392,3392,3318,3350
2021-02-21,3392,3392,3392,3392,3392,3392,3392,3392,3392,3363,3362
2021-02-22,3410,3410,3410,3410,3410,3410,3410,3410,3410,3405,3377
2021-02-23,3371,3371,3371,3371,3371,3371,3371,3371,3371,3422,3395
2021-02-24,3402,3402,3402,3402,3402,3402,3402,3402,3402,3382,3416
2021-02-25,3392,3392,3392,3392,3392,3392,3392,3392,3392,3407,3441
2021-02-26,3394,3394,3394,3394,3394,3394,3394,3394,3394,3458,3469
2021-02-27,3399,3399,3399,3399,3399,3399,3399,3399,3399,3515,3500
2021-02-28,3420,3420,3420,3420,3420,3420,3420,3420,3420,3580,3533
2021-03-01,3421,3421,3421,3421,3421,3421,3421,3421,3421,3604,3569
2021-03-02,3451,3451,3451,3451,3451,3451,3451,3451,3451,3627,3606
2021-03-03,3498,3498,3498,3498,3498,3498,3498,3498,3498,3649,3645
2021-03-04,3520,3520,3520,3520,3520,3520,3520,3520,3520,3695,3685
2021-03-05,3547,3547,3547,3547,3547,3547,3547,3547,3547,3719,3725
2021-03-06,3594,3594,3594,3594,3594,3594,3594,3594,3594,3795,3765
2021-03-07,3645,3645,3645,3645,3645,3645,3645,3645,3645,3843,3806
2021-03-08,3692,3692,3692,3692,3692,3692,3692,3692,3692,3877,3846
2021-03-09,3749,3749,3749,3749,3749,3749,3749,3749,3749,3892,3886
2021-03-10,3799,3799,3799,3799,3799,3799,3799,3799,3799,3889,3926
2021-03-11,3843,3843,3843,3843,3843,3843,3843,3843,3843,3937,3967
2021-03-12,3856,3856,3856,3856,3856,3856,3856,3856,3856,3939,4008
2021-03-13,3904,3904,3904,3904,3904,3904,3904,3904,3904,4055,4050
2021-03-14,3957,3957,3957,3957,3957,3957,3957,3957,3957,4156,4094
2021-03-15,4016,4016,4016,4016,4016,4016,4016,4016,4016,4215,4141
2021-03-16,4077,4077,4077,4077,4077,4077,4077,4077,4077,4197,4189
2021-03-17,4126,4126,4126,4126,4126,4126,4126,4126,4126,4197,4241
2021-03-18,4176,4176,4176,4176,4176,4176,4176,4176,4176,4217,4295
2021-03-19,4271,4271,4271,4271,4271,4271,4271,4271,4271,4278,4351
2021-03-20,4297,4297,4297,4297,4297,4297,4297,4297,4297,4433,4410
2021-03-21,4375,4375,4375,4375,4375,4375,4375,4375,4375,4537,4470
2021-03-22,4456,4456,4456,4456,4456,4456,4456,4456,4456,4592,4531
2021-03-23,4504,4504,4504,4504,4504,4504,4504,4504,4504,4604,4594
2021-03-24,4563,4563,4563,4563,4563,4563,4563,4563,4563,4628,4658
2021-03-25,4615,4615,4615,4615,4615,4615,4615,4615,4615,4659,4723
2021-03-26,4689,4689,4689,4689,4689,4689,4689,4689,4689,4758,4789
2021-03-27,4775,4775,4775,4775,4775,4775,4775,4775,4775,4829,4856
2021-03-28,4835,4835,4835,4835,4835,4835,4835,4835,4835,4990,4923
2021-03-29,4905,4905,4905,4905,4905,4905,4905,4905,4905,5009,4993
2021-03-30,4984,4984,4984,4984,4984,4984,4984,4984,4984,5057,5063
2021-03-31,5053,5053,5053,5053,5053,5053,5053,5053,5053,5094,5134
2021-04-01,5104,5104,5104,5104,5253,5253,5253,5253,5152,5142,5206
2021-04-02,5243,5243,5243,5243,5313,5313,5313,5313,5208,5183,5279
2021-04-03,5277,5277,5277,5277,5396,5396,5396,5396,5271,5274,5351
2021-04-04,5324,5324,5324,5324,5433,5433,5433,5433,5375,5379,5422
2021-04-05,5437,5437,5437,5437,5506,5506,5506,5506,5447,5550,5491
2021-04-06,5516,5516,5516,5516,5565,5565,5565,5565,5518,5650,5555
2021-04-07,5568,5568,5568,5568,5617,5617,5617,5617,5573,5615,5614
2021-04-08,5633,5633,5633,5633,5681,5681,5681,5681,5611,5640,5667
2021-04-09,5689,5689,5689,5689,5724,5724,5724,5724,5687,5675,5712
2021-04-10,5713,5713,5713,5713,5742,5742,5742,5742,5696,5764,5749
2021-04-11,5769,5769,5769,5769,5799,5799,5799,5799,5758,5856,5778
2021-04-12,5820,5820,5820,5820,5828,5828,5828,5828,5784,5927,5801
2021-04-13,5821,5821,5821,5821,5843,5843,5843,5843,5799,5884,5818
2021-04-14,5855,5855,5855,5855,5866,5866,5866,5866,5810,5824,5830
2021-04-15,5916,5916,5916,5916,5889,5889,5889,5889,5849,5798,5839
2021-04-16,5941,5941,5941,5941,5912,5912,5912,5912,5860,5818,5845
2021-04-17,5926,5926,5926,5926,5900,5900,5900,5900,5902,5817,5849
2021-04-18,5929,5929,5929,5929,5900,5900,5900,5900,5890,5842,5850
2021-04-19,5960,5960,5960,5960,5900,5900,5900,5900,5914,5906,5851
2021-04-20,5938,5938,5938,5938,5900,5900,5900,5900,5899,5899,5849
2021-04-21,5933,5933,5933,5933,5882,5882,5882,5882,5899,5875,5844
2021-04-22,5912,5912,5912,5912,5868,5868,5868,5868,5870,5853,5835
2021-04-23,5889,5889,5889,5889,5844,5844,5844,5844,5871,5839,5822
2021-04-24,5840,5840,5840,5840,5812,5812,5812,5812,5857,5850,5802
2021-04-25,5858,5858,5858,5858,5780,5780,5780,5780,5842,5913,5774
2021-04-26,5817,5817,5817,5817,5748,5748,5748,5748,5776,5866,5737
2021-04-27,5788,5788,5788,5788,5691,5691,5691,5691,5718,5826,5692
2021-04-28,5759,5759,5759,5759,5623,5623,5623,5623,5665,5717,5636
2021-04-29,5711,5711,5711,5711,5572,5572,5572,5572,5598,5637,5571
2021-04-30,5637,5637,5637,5637,5534,5534,5534,5534,5548,5506,5496
2021-05-01,5576,5576,5576,5576,5488,5488,5488,5488,5509,5494,5411
2021-05-02,5517,5517,5517,5517,5436,5436,5436,5436,5448,5495,5318
2021-05-03,5428,5428,5428,5428,5329,5329,5329,5329,5403,5381,5217
2021-05-04,5368,5368,5368,5368,5223,5223,5223,5223,5265,5258,5111
2021-05-05,5234,5234,5234,5234,5065,5065,5065,5065,5109,5138,5001
2021-05-06,5074,5074,5074,5074,4948,4948,4948,4948,4989,5009,4888
2021-05-07,4988,4988,4988,4988,4823,4823,4823,4823,4900,4825,4775
2021-05-08,4807,4807,4807,4807,4731,4731,4731,4731,4792,4771,4660
2021-05-09,4740,4740,4740,4740,4606,4606,4606,4606,4625,4718,4545
2021-05-10,4653,4653,4653,4653,4440,4440,4440,4440,4499,4715,4430
2021-05-11,4492,4492,4492,4492,4297,4297,4297,4297,4357,4546,4316
2021-05-12,4286,4286,4286,4286,4158,4158,4158,4158,4215,4409,4203
2021-05-13,4196,4196,4196,4196,4031,4031,4031,4031,4095,4279,4093
2021-05-14,4049,4049,4049,4049,3868,3868,3868,3868,3927,4187,3985
2021-05-15,3917,3917,3917,3917,3749,3749,3749,3749,3782,NA,3880
2021-05-16,3839,3839,3839,3839,3599,3599,3599,3599,3627,NA,3778
2021-05-17,3628,3628,3628,3628,3494,3494,3494,3494,3501,NA,3679
2021-05-18,3439,3439,3439,3439,3401,3401,3401,3401,3372,NA,3583
2021-05-19,3297,3297,3297,3297,3310,3310,3310,3310,3263,NA,3490
2021-05-20,3183,3183,3183,3183,3182,3182,3182,3182,3136,NA,3400
2021-05-21,3068,3068,3068,3068,3071,3071,3071,3071,2983,NA,3312
2021-05-22,2977,2977,2977,2977,2927,2927,2927,2927,2877,NA,3228
2021-05-23,2863,2863,2863,2863,2808,2808,2808,2808,2768,NA,3145
2021-05-24,2741,2741,2741,2741,2687,2687,2687,2687,2644,NA,3065
2021-05-25,2637,2637,2637,2637,2564,2564,2564,2564,2532,NA,2987
2021-05-26,2547,2547,2547,2547,2434,2434,2434,2434,2440,NA,2910
2021-05-27,2445,2445,2445,2445,2317,2317,2317,2317,2315,NA,2836
2021-05-28,2355,2355,2355,2355,2238,2238,2238,2238,2209,NA,2763
2021-05-29,2289,2289,2289,2289,2146,2146,2146,2146,2126,NA,2691
2021-05-30,2177,2177,2177,2177,2069,2069,2069,2069,2038,NA,2621
2021-05-31,2107,2107,2107,2107,1996,1996,1996,1996,1934,NA,2551
2021-06-01,1982,1982,1982,1982,1925,1925,1925,1925,1831,NA,2481
2021-06-02,1883,1822,1970,1985,1851,1851,1851,1851,1744,NA,2412
2021-06-03,1817,1863,1902,1899,1767,1767,1767,1826,1663,NA,2343
2021-06-04,1757,1796,1829,1829,1683,1683,1683,1757,1608,NA,2275
2021-06-05,1717,1720,1772,1784,1610,1610,1610,1698,1519,NA,2208
2021-06-06,1662,1638,1734,1733,1515,1515,1515,1636,1437,NA,2143
2021-06-07,1585,1596,1676,1685,1469,1523,1523,1574,1367,NA,2078
2021-06-08,1527,1546,1638,1659,1388,1508,1514,1528,1282,NA,2014
2021-06-09,1466,1499,1593,1620,1331,1395,1458,1465,1211,NA,1951
2021-06-10,1391,1419,1557,1602,1265,1324,1404,1425,1140,NA,1889
2021-06-11,1326,1381,1527,1579,1215,1274,1365,1386,1085,NA,1828
2021-06-12,1270,1338,1488,1564,1180,1235,1309,1362,1043,NA,1768
2021-06-13,1216,1294,1414,1521,1121,1172,1264,1311,987,NA,1709
2021-06-14,1188,1252,1376,1520,1089,1128,1237,1275,914,NA,1650
2021-06-15,1148,1222,1348,1492,1043,1089,1217,1255,856,NA,1594
