date,blue_full_10,blue_dashed_10,purple_full_10,purple_dashed_10,pink_full_10,pink_dashed_10,reality_report,reality
2021-06-06,NA,NA,NA,NA,NA,NA,NA,2143
2021-06-07,NA,NA,NA,NA,NA,NA,NA,2078
2021-06-08,NA,NA,NA,NA,NA,NA,NA,2014
2021-06-09,NA,NA,NA,NA,NA,NA,NA,1951
2021-06-10,NA,NA,NA,NA,NA,NA,NA,1889
2021-06-11,NA,NA,NA,NA,NA,NA,NA,1828
2021-06-12,NA,NA,NA,NA,NA,NA,NA,1768
2021-06-13,NA,NA,NA,NA,NA,NA,NA,1709
2021-06-14,NA,NA,NA,NA,NA,NA,NA,1650
2021-06-15,NA,NA,NA,NA,NA,NA,1666,1594
2021-06-16,NA,NA,NA,NA,NA,NA,1563,1538
2021-06-17,1092,1092,1092,1092,1092,1092,1503,1483
2021-06-18,1045,1045,1045,1045,1045,1045,1459,1431
2021-06-19,956,956,956,956,956,956,1420,1380
2021-06-20,892,892,892,892,892,892,1366,1330
2021-06-21,830,830,830,830,830,830,1370,1282
2021-06-22,768,768,768,768,768,768,1291,1236
2021-06-23,727,727,727,727,727,727,1250,1191
2021-06-24,721,721,721,721,721,721,1222,1149
2021-06-25,659,659,659,659,659,659,1169,1108
2021-06-26,602,602,602,602,602,602,1122,1070
2021-06-27,549,549,549,549,549,549,1098,1033
2021-06-28,535,535,535,535,535,535,1075,999
2021-06-29,463,463,463,463,463,463,1048,968
2021-06-30,470,470,470,470,470,470,1032,938
2021-07-01,452,452,452,452,452,452,1002,1006
2021-07-02,386,386,386,386,386,386,949,1007
2021-07-03,365,365,365,365,365,365,844,986
2021-07-04,333,333,333,333,333,333,845,941
2021-07-05,324,324,324,324,324,324,847,909
2021-07-06,335,335,335,335,335,335,842,881
2021-07-07,320,320,320,320,320,320,843,868
2021-07-08,286,286,286,286,286,286,839,862
2021-07-09,258,258,258,258,258,258,804,861
2021-07-10,275,275,275,275,275,275,791,867
2021-07-11,213,213,213,213,213,213,750,842
2021-07-12,232,232,232,232,232,232,720,838
2021-07-13,218,218,218,218,218,218,788,822
2021-07-14,211,211,211,211,211,211,793,811
2021-07-15,200,200,200,200,200,200,731,809
2021-07-16,193,193,193,193,193,193,750,808
2021-07-17,207,207,207,207,207,207,723,808
2021-07-18,193,193,193,193,193,193,774,780
2021-07-19,216,216,216,216,216,216,739,761
2021-07-20,313,313,313,313,313,313,766,767
2021-07-21,317,317,317,317,317,317,737,763
2021-07-22,316,316,316,316,316,316,774,763
2021-07-23,378,378,378,378,378,378,776,771
2021-07-24,386,386,386,386,386,386,801,831
2021-07-25,385,385,385,385,385,385,807,855
2021-07-26,375,375,375,375,375,375,NA,863
2021-07-27,425,425,425,425,425,425,NA,886
2021-07-28,489,489,489,489,489,489,NA,934
2021-07-29,512,512,512,512,512,512,NA,958
2021-07-30,549,549,549,549,549,549,NA,993
2021-07-31,613,613,613,613,613,613,NA,1086
2021-08-01,674,674,674,674,674,674,NA,1178
2021-08-02,751,751,751,751,751,751,NA,1211
2021-08-03,813,813,813,813,813,813,NA,1265
2021-08-04,873,873,873,873,873,873,NA,1299
