date,RedFull,BlueFull,PurpleFull,GreenFull,reality_report,reality
2021-07-01,NA,NA,NA,NA,884,1006
2021-07-02,NA,NA,NA,NA,840,1007
2021-07-03,NA,NA,NA,NA,859,986
2021-07-04,NA,NA,NA,NA,869,941
2021-07-05,NA,NA,NA,NA,872,909
2021-07-06,NA,NA,NA,NA,772,881
2021-07-07,NA,NA,NA,NA,744,868
2021-07-08,NA,NA,NA,NA,714,862
2021-07-09,NA,NA,NA,NA,744,861
2021-07-10,NA,NA,NA,NA,719,867
2021-07-11,NA,NA,NA,NA,715,842
2021-07-12,NA,NA,NA,NA,744,838
2021-07-13,NA,NA,NA,NA,744,822
2021-07-14,NA,NA,NA,NA,713,811
2021-07-15,NA,NA,NA,NA,667,809
2021-07-16,NA,NA,NA,NA,689,808
2021-07-17,NA,NA,NA,NA,696,808
2021-07-18,NA,NA,NA,NA,680,780
2021-07-19,NA,NA,NA,NA,713,761
2021-07-20,NA,NA,NA,NA,666,767
2021-07-21,NA,NA,NA,NA,690,763
2021-07-22,NA,NA,NA,NA,712,763
2021-07-23,NA,NA,NA,NA,715,771
2021-07-24,NA,NA,NA,NA,730,831
2021-07-25,NA,NA,NA,NA,760,855
2021-07-26,NA,NA,NA,NA,869,863
2021-07-27,NA,NA,NA,NA,891,886
2021-07-28,NA,NA,NA,NA,896,934
2021-07-29,NA,NA,NA,NA,947,958
2021-07-30,NA,NA,NA,NA,982,993
2021-07-31,NA,NA,NA,NA,NA,1086
2021-08-01,NA,NA,NA,NA,NA,1178
2021-08-02,NA,NA,NA,NA,NA,1211
2021-08-03,NA,NA,NA,NA,NA,1265
2021-08-04,NA,NA,980,1064,NA,1299
2021-08-05,NA,1195,1049,1052,NA,1340
2021-08-06,NA,1176,1174,1141,NA,1380
2021-08-07,NA,1285,1253,1219,NA,1485
2021-08-08,1381,1350,1351,1308,NA,1527
2021-08-09,1489,1424,1429,1393,NA,1563
2021-08-10,1734,1487,1502,1425,NA,1614
2021-08-11,1715,1586,1587,1484,NA,1644
2021-08-12,1923,1670,1659,1547,NA,1659
2021-08-13,1908,1813,1728,1602,NA,1673
2021-08-14,2077,1954,1828,1643,NA,1729
2021-08-15,2196,2071,1857,1673,NA,1770
2021-08-16,2434,2167,1929,1714,NA,1800
2021-08-17,2537,2297,1995,1743,NA,1798
2021-08-18,2701,2446,2050,1770,NA,1834
2021-08-19,2849,2540,2106,1781,NA,1849
2021-08-20,3013,2630,2166,1800,NA,1866
2021-08-21,3178,2731,2225,1812,NA,1936
2021-08-22,3340,2857,2267,1812,NA,1937
2021-08-23,3503,2975,2265,1796,NA,1962
2021-08-24,3666,3066,2337,1781,NA,1977
2021-08-25,3789,3137,2365,1781,NA,1972
2021-08-26,3970,3239,2385,1748,NA,1959
2021-08-27,4099,3329,2400,1734,NA,1977
2021-08-28,4306,3407,2416,1719,NA,1990
2021-08-29,4391,3480,2415,1690,NA,1991
2021-08-30,4541,3547,2432,1659,NA,1997
2021-08-31,4656,3615,2433,1628,NA,1967
2021-09-01,4775,3670,2416,1594,NA,1958
2021-09-02,4878,3716,2416,1550,NA,1933
2021-09-03,4978,3750,2408,1506,NA,1927
2021-09-04,5057,3790,2385,1472,NA,1959
2021-09-05,5131,3815,2355,1437,NA,1978
2021-09-06,5204,3825,2338,1393,NA,1949
2021-09-07,5250,3842,2307,1350,NA,1910
2021-09-08,5289,3857,2266,1316,NA,1878
2021-09-09,5316,3839,2246,1270,NA,1856
2021-09-10,5343,3825,2214,1223,NA,1852
2021-09-11,5343,3826,2184,1193,NA,1817
2021-09-12,5343,3794,2141,1147,NA,1753
2021-09-13,5337,3765,2099,1100,NA,1714
2021-09-14,5308,3729,2054,1065,NA,1701
2021-09-15,5266,3685,2014,1022,NA,1652
2021-09-16,5221,3643,1971,977,NA,1604
2021-09-17,5173,3593,1928,943,NA,1602
2021-09-18,5105,3540,1886,915,NA,1577
2021-09-19,5045,3482,1827,881,NA,1520
2021-09-20,4958,3424,1782,837,NA,1456
2021-09-21,4882,3348,1740,806,NA,1412
2021-09-22,4793,3291,1698,765,NA,1410
2021-09-23,4700,3222,1642,740,NA,1402
2021-09-24,4599,3159,1595,712,NA,1406
2021-09-25,4496,3084,1550,682,NA,1403
2021-09-26,4406,3010,1508,651,NA,1355
2021-09-27,4295,2936,1465,630,NA,1305
2021-09-28,4177,2862,1423,602,NA,1255
2021-09-29,4090,2790,1379,573,NA,1215
2021-09-30,3964,2713,1335,541,NA,1193
