date,red_pessimiste_VE,green_pessimiste_VE,blue_pessimiste_VE,reality_report,reality
2021-12-01,2012,2012,2012,1930,1988
2021-12-02,2026,2026,2026,1980,1967
2021-12-03,2091,2091,2091,2010,1996
2021-12-04,2078,2078,2078,2120,2120
2021-12-05,2146,2146,2146,2230,2276
2021-12-06,2209,2209,2209,2290,2348
2021-12-07,2280,2280,2280,2380,2383
2021-12-08,2323,2323,2323,2400,2423
2021-12-09,2420,2420,2420,2450,2459
2021-12-10,2451,2451,2451,2540,2523
2021-12-11,2522,2522,2522,2620,2673
2021-12-12,2612,2612,2612,2740,2726
2021-12-13,2679,2679,2679,2780,2776
2021-12-14,2732,2732,2732,2820,2762
2021-12-15,2848,2848,2848,2840,2832
2021-12-16,2869,2869,2869,2900,2861
2021-12-17,2964,2964,2964,2940,2863
2021-12-18,2939,2939,2939,2960,2953
2021-12-19,2998,2998,2998,3050,3016
2021-12-20,3124,3124,3124,3100,3069
2021-12-21,3157,3157,3157,3100,3129
2021-12-22,3175,3175,3175,3120,3167
2021-12-23,3210,3210,3210,3150,3195
2021-12-24,3257,3257,3257,3200,3212
2021-12-25,3272,3272,3272,3260,3240
2021-12-26,3334,3334,3334,3320,3319
2021-12-27,3360,3360,3360,3350,3378
2021-12-28,3366,3366,3366,3380,3408
2021-12-29,3404,3404,3404,3400,3446
2021-12-30,3419,3419,3419,3450,3468
2021-12-31,3418,3418,3418,3420,3482
2022-01-01,3380,3380,3380,3490,3558
2022-01-02,3482,3482,3482,3590,3566
2022-01-03,3516,3516,3516,NA,3595
2022-01-04,3548,3548,3548,NA,3652
2022-01-05,3586,3586,3586,NA,3704
2022-01-06,3637,3637,3637,NA,3707
2022-01-07,3683,3683,3683,NA,3731
2022-01-08,3725,3725,3725,NA,3782
2022-01-09,3765,3765,3765,NA,3833
2022-01-10,3902,3865,3817,NA,3855
2022-01-11,3965,3934,3853,NA,3810
2022-01-12,4041,3983,3896,NA,3752
2022-01-13,4128,4037,3941,NA,3707
2022-01-14,4219,4096,3988,NA,3708
2022-01-15,4308,4162,4036,NA,3763
2022-01-16,4405,4245,4095,NA,3723
2022-01-17,4538,4322,4135,NA,3683
2022-01-18,4671,4403,4167,NA,3678
2022-01-19,4802,4486,4197,NA,3617
2022-01-20,4949,4573,4232,NA,3583
2022-01-21,5081,4663,4266,NA,3599
2022-01-22,5219,4740,4303,NA,3604
2022-01-23,5353,4827,4332,NA,3564
2022-01-24,5481,4891,4355,NA,3533
2022-01-25,5599,4961,4373,NA,3514
2022-01-26,5707,5017,4384,NA,3475
2022-01-27,5795,5058,4384,NA,3466
2022-01-28,5874,5101,4384,NA,3475
2022-01-29,5934,5131,4385,NA,3522
2022-01-30,5976,5146,4363,NA,3587
2022-01-31,5996,5151,4338,NA,3544
2022-02-01,6001,5136,4358,NA,3492
2022-02-02,5989,5113,4260,NA,3472
2022-02-03,5961,5075,4219,NA,3452
2022-02-04,5908,5037,4165,NA,3427
2022-02-05,5837,4979,4106,NA,3460
2022-02-06,5758,4919,4037,NA,3396
2022-02-07,5666,4830,3974,NA,3352
2022-02-08,5558,4744,3899,NA,3259
2022-02-09,5438,4651,3815,NA,3218
2022-02-10,5307,4555,3735,NA,3174
2022-02-11,5161,4441,3648,NA,3160
2022-02-12,5025,4336,3551,NA,3151
2022-02-13,4896,4216,3465,NA,3089
2022-02-14,4713,4088,3383,NA,2987
2022-02-15,4552,3960,3259,NA,2919
2022-02-16,4400,3835,3168,NA,2840
2022-02-17,4230,3704,3065,NA,2796
2022-02-18,4066,3576,2961,NA,2800
2022-02-19,3902,3448,2865,NA,2781
2022-02-20,3737,3315,2763,NA,2719
2022-02-21,3579,3187,2657,NA,2634
2022-02-22,3424,3053,2559,NA,2541
2022-02-23,3264,2931,2467,NA,2434
2022-02-24,3111,2807,2400,NA,2375
2022-02-25,2968,2685,2269,NA,2381
2022-02-26,2823,2560,2185,NA,2344
2022-02-27,2679,2450,2088,NA,2302
2022-02-28,2538,2336,2001,NA,2228
2022-03-01,2424,2223,1946,NA,2131
2022-03-02,2281,2117,1830,NA,2061
2022-03-03,2173,2024,1766,NA,1993
2022-03-04,2065,1921,1697,NA,2001
2022-03-05,1968,1824,1592,NA,2010
2022-03-06,1865,1731,1525,NA,1953
2022-03-07,1769,1639,1455,NA,1883
2022-03-08,1677,1552,1404,NA,1852
2022-03-09,1585,1477,1320,NA,1801
2022-03-10,1498,1395,1261,NA,1786
2022-03-11,1415,1312,1182,NA,1789
2022-03-12,1344,1257,1128,NA,1760
2022-03-13,1268,1181,1063,NA,1715
2022-03-14,1196,1118,1004,NA,1662
2022-03-15,1132,1065,953,NA,1630
2022-03-16,1071,1011,902,NA,1608
2022-03-17,1007,961,859,NA,1581
2022-03-18,950,909,805,NA,1577
2022-03-19,860,860,772,NA,1567
2022-03-20,816,816,737,NA,1555
2022-03-21,773,773,703,NA,1518
2022-03-22,731,731,670,NA,1478
2022-03-23,690,690,635,NA,1445
2022-03-24,649,649,602,NA,1436
2022-03-25,617,617,560,NA,1442
2022-03-26,586,586,535,NA,1485
2022-03-27,557,557,511,NA,1495
2022-03-28,474,474,474,NA,1505
2022-03-29,446,446,446,NA,1512
2022-03-30,422,422,422,NA,1500
2022-03-31,392,392,392,NA,NA
NA,447,447,447,NA,NA
