date,med_fig7b_exit1,med_fig7d_exit1,reality_report,reality
2020-02-27,13,10,NA,NA
2020-02-28,13,22,NA,NA
2020-02-29,13,19,NA,NA
2020-03-01,12,28,33,NA
2020-03-02,17,34,27,4
2020-03-03,23,38,27,6
2020-03-04,23,37,27,9
2020-03-05,29,44,33,12
2020-03-06,35,44,38,17
2020-03-07,44,55,49,23
2020-03-08,57,64,60,31
2020-03-09,70,81,71,41
2020-03-10,82,92,104,54
2020-03-11,93,111,104,71
2020-03-12,127,143,126,93
2020-03-13,155,181,143,122
2020-03-14,208,202,231,160
2020-03-15,262,239,319,207
2020-03-16,322,260,368,268
2020-03-17,372,376,456,342
2020-03-18,422,408,522,433
2020-03-19,619,478,605,539
2020-03-20,664,715,676,662
2020-03-21,803,751,775,799
2020-03-22,1098,999,902,949
2020-03-23,1200,1208,1072,1109
2020-03-24,1549,1404,1248,1277
2020-03-25,1691,1562,1441,1448
2020-03-26,1876,1853,1617,1619
2020-03-27,2008,1966,1776,1788
2020-03-28,2036,2160,1925,1952
2020-03-29,2280,2264,2035,2110
2020-03-30,2305,2352,2184,2259
2020-03-31,2502,2484,2404,2394
2020-04-01,2548,2534,2563,2515
2020-04-02,2603,2637,2673,2618
2020-04-03,2639,2693,2767,2702
2020-04-04,2688,2753,2800,2768
2020-04-05,2724,2785,2855,2814
2020-04-06,2780,2808,2937,2842
2020-04-07,2815,2821,2899,2852
2020-04-08,2845,2833,NA,2848
2020-04-09,2867,2834,NA,2829
2020-04-10,2869,2835,NA,2797
2020-04-11,2874,2835,NA,2755
2020-04-12,2874,2832,NA,2705
2020-04-13,2871,2829,NA,2649
2020-04-14,2868,2817,NA,2589
2020-04-15,2843,2794,NA,2527
2020-04-16,2816,2781,NA,2462
2020-04-17,2787,2741,NA,2395
2020-04-18,2778,2713,NA,2326
2020-04-19,2696,2695,NA,2256
2020-04-20,2662,2668,NA,2185
2020-04-21,2625,2638,NA,2115
2020-04-22,2590,2573,NA,2045
2020-04-23,2555,2548,NA,1976
2020-04-24,2513,2522,NA,1909
2020-04-25,2488,2497,NA,1843
2020-04-26,2448,2474,NA,1778
2020-04-27,2411,2434,NA,1716
2020-04-28,2376,2369,NA,1657
2020-04-29,2341,2300,NA,1599
2020-04-30,2297,2272,NA,1544
2020-05-01,2239,2232,NA,1491
2020-05-02,2220,2205,NA,1440
2020-05-03,2174,2159,NA,1389
2020-05-04,2151,2130,NA,1340
2020-05-05,2127,2077,NA,1292
2020-05-06,2103,2052,NA,1245
2020-05-07,2077,2003,NA,1198
2020-05-08,2044,1977,NA,1152
2020-05-09,2026,1937,NA,1106
2020-05-10,1999,1875,NA,1061
2020-05-11,1976,1832,NA,1018
2020-05-12,1968,1803,NA,975
2020-05-13,1959,1767,NA,934
2020-05-14,1958,1704,NA,896
2020-05-15,1942,1673,NA,859
2020-05-16,1937,1602,NA,825
2020-05-17,1931,1568,NA,793
2020-05-18,1918,1524,NA,763
2020-05-19,1891,1490,NA,735
2020-05-20,1883,1468,NA,708
2020-05-21,1870,1445,NA,683
2020-05-22,1858,1396,NA,659
2020-05-23,1856,1364,NA,637
2020-05-24,1849,1335,NA,615
2020-05-25,1843,1300,NA,594
2020-05-26,1825,1269,NA,574
2020-05-27,1823,1235,NA,554
2020-05-28,1817,1215,NA,534
2020-05-29,1800,1166,NA,514
2020-05-30,1792,1135,NA,496
2020-05-31,1790,1105,NA,477
2020-06-01,1784,1062,NA,460
2020-06-02,1778,1041,NA,443
2020-06-03,1779,1019,NA,426
2020-06-04,1770,1007,NA,411
2020-06-05,1771,977,NA,396
2020-06-06,1771,966,NA,382
2020-06-07,1771,949,NA,369
