date,med_5F,reality_report,reality
2020-03-01,NA,NA,NA
2020-03-02,-87,2,4
2020-03-03,-81,7,6
2020-03-04,-75,7,9
2020-03-05,-61,12,12
2020-03-06,-52,17,17
2020-03-07,-39,22,23
2020-03-08,-41,32,31
2020-03-09,-19,47,41
2020-03-10,0,56,54
2020-03-11,34,66,71
2020-03-12,56,88,93
2020-03-13,83,96,122
2020-03-14,117,169,160
2020-03-15,171,232,207
2020-03-16,206,291,268
2020-03-17,246,381,342
2020-03-18,320,442,433
2020-03-19,443,571,539
2020-03-20,572,718,662
2020-03-21,696,832,799
2020-03-22,808,964,949
2020-03-23,1050,1154,1109
2020-03-24,1167,1301,1277
2020-03-25,1491,1452,1448
2020-03-26,1586,1647,1619
2020-03-27,1905,1823,1788
2020-03-28,2072,1964,1952
2020-03-29,2303,2099,2110
2020-03-30,2457,2267,2259
2020-03-31,2567,2433,2394
2020-04-01,2683,2589,2515
2020-04-02,2793,2687,2618
2020-04-03,2840,2770,2702
2020-04-04,2882,2833,2768
2020-04-05,2868,2867,2814
2020-04-06,2873,2911,2842
2020-04-07,2879,2945,2852
2020-04-08,2885,2897,2848
2020-04-09,2891,2848,2829
2020-04-10,2895,2819,2797
2020-04-11,2881,2784,2755
2020-04-12,2837,2767,2705
2020-04-13,2776,2765,2649
2020-04-14,2774,2682,2589
2020-04-15,2733,2599,2527
2020-04-16,2658,2531,2462
2020-04-17,2579,2438,2395
2020-04-18,2529,2419,2326
2020-04-19,2434,2387,2256
2020-04-20,2347,2302,2185
2020-04-21,2262,2214,2115
2020-04-22,2185,2161,2045
2020-04-23,2126,2095,1976
2020-04-24,2067,2039,1909
2020-04-25,2023,2012,1843
2020-04-26,1977,2000,1778
2020-04-27,1904,1907,1716
2020-04-28,1828,1824,1657
2020-04-29,1705,NA,1599
2020-04-30,1614,NA,1544
2020-05-01,1537,NA,1491
2020-05-02,1478,NA,1440
2020-05-03,1415,NA,1389
2020-05-04,1353,NA,1340
2020-05-05,1279,NA,1292
2020-05-06,1220,NA,1245
2020-05-07,1184,NA,1198
2020-05-08,1134,NA,1152
2020-05-09,1068,NA,1106
2020-05-10,1051,NA,1061
2020-05-11,957,NA,1018
2020-05-12,909,NA,975
2020-05-13,882,NA,934
2020-05-14,825,NA,896
2020-05-15,770,NA,859
2020-05-16,716,NA,825
2020-05-17,679,NA,793
2020-05-18,663,NA,763
2020-05-19,644,NA,735
2020-05-20,625,NA,708
2020-05-21,591,NA,683
2020-05-22,550,NA,659
2020-05-23,529,NA,637
2020-05-24,498,NA,615
2020-05-25,475,NA,594
2020-05-26,446,NA,574
2020-05-27,418,NA,554
2020-05-28,410,NA,534
2020-05-29,401,NA,514
2020-05-30,389,NA,496
2020-05-31,376,NA,477
2020-06-01,361,NA,460
2020-06-02,346,NA,443
2020-06-03,332,NA,426
2020-06-04,322,NA,411
2020-06-05,320,NA,396
2020-06-06,320,NA,382
2020-06-07,311,NA,369
2020-06-08,312,NA,356
2020-06-09,306,NA,345
2020-06-10,304,NA,334
2020-06-11,302,NA,324
2020-06-12,299,NA,315
2020-06-13,299,NA,306
2020-06-14,299,NA,298
2020-06-15,299,NA,291
2020-06-16,303,NA,284
2020-06-17,305,NA,277
2020-06-18,321,NA,270
2020-06-19,327,NA,264
2020-06-20,341,NA,258
2020-06-21,354,NA,252
2020-06-22,366,NA,246
2020-06-23,382,NA,239
2020-06-24,399,NA,233
2020-06-25,432,NA,227
2020-06-26,463,NA,220
2020-06-27,494,NA,214
2020-06-28,523,NA,207
2020-06-29,562,NA,201
2020-06-30,603,NA,195
2020-07-01,652,NA,189
2020-07-02,691,NA,183
2020-07-03,747,NA,177
2020-07-04,813,NA,172
2020-07-05,883,NA,167
2020-07-06,962,NA,163
2020-07-07,1046,NA,159
2020-07-08,1143,NA,156
2020-07-09,1244,NA,153
2020-07-10,1350,NA,151
2020-07-11,1449,NA,149
2020-07-12,1561,NA,148
2020-07-13,1676,NA,146
2020-07-14,1788,NA,144
2020-07-15,1894,NA,142
2020-07-16,2003,NA,140
2020-07-17,2106,NA,138
2020-07-18,2210,NA,135
2020-07-19,2320,NA,133
2020-07-20,2429,NA,130
2020-07-21,2529,NA,128
2020-07-22,2625,NA,125
2020-07-23,2714,NA,123
2020-07-24,2802,NA,121
2020-07-25,2877,NA,120
2020-07-26,NA,NA,119
2020-07-27,NA,NA,118
2020-07-28,NA,NA,118
2020-07-29,NA,NA,118
2020-07-30,NA,NA,118
2020-07-31,NA,NA,119
