date,med_fig2,reality_report,reality
2020-08-30,NA,37,50
2020-08-31,74,73,52
2020-09-01,74,56,54
2020-09-02,75,69,56
2020-09-03,78,NA,58
2020-09-04,79,NA,61
2020-09-05,81,NA,64
2020-09-06,85,51,67
2020-09-07,88,79,71
2020-09-08,88,NA,76
2020-09-09,88,69,81
2020-09-10,79,105,86
2020-09-11,84,NA,93
2020-09-12,91,83,99
2020-09-13,94,70,107
2020-09-14,100,125,114
2020-09-15,102,164,122
2020-09-16,101,143,130
2020-09-17,104,132,137
2020-09-18,106,208,143
2020-09-19,110,116,148
2020-09-20,118,145,152
2020-09-21,123,177,155
2020-09-22,128,189,156
2020-09-23,129,163,158
2020-09-24,133,154,159
2020-09-25,144,140,159
2020-09-26,160,NA,160
2020-09-27,159,98,161
2020-09-28,169,203,162
2020-09-29,166,190,164
2020-09-30,194,180,166
2020-10-01,200,171,169
2020-10-02,210,NA,173
2020-10-03,216,193,177
2020-10-04,225,135,182
2020-10-05,231,211,188
2020-10-06,240,215,193
2020-10-07,248,184,200
2020-10-08,257,218,207
2020-10-09,268,220,214
2020-10-10,276,190,223
2020-10-11,296,173,233
2020-10-12,303,279,243
2020-10-13,313,295,255
2020-10-14,318,289,267
2020-10-15,336,NA,281
2020-10-16,347,317,294
2020-10-17,362,265,308
2020-10-18,372,233,322
2020-10-19,388,369,335
2020-10-20,383,414,347
2020-10-21,402,NA,360
2020-10-22,418,NA,372
2020-10-23,428,419,384
2020-10-24,435,314,396
2020-10-25,452,301,407
2020-10-26,481,472,416
2020-10-27,477,NA,424
2020-10-28,490,NA,431
2020-10-29,502,452,436
2020-10-30,513,430,439
2020-10-31,526,394,440
2020-11-01,541,432,438
2020-11-02,552,NA,433
2020-11-03,561,NA,427
2020-11-04,579,NA,418
2020-11-05,589,NA,408
2020-11-06,594,NA,397
2020-11-07,589,NA,385
2020-11-08,578,NA,373
2020-11-09,564,NA,359
2020-11-10,534,NA,345
2020-11-11,511,NA,331
2020-11-12,491,NA,317
2020-11-13,469,NA,304
2020-11-14,453,NA,291
2020-11-15,436,NA,278
2020-11-16,422,NA,266
2020-11-17,407,NA,254
2020-11-18,393,NA,242
2020-11-19,385,NA,231
2020-11-20,372,NA,220
2020-11-21,363,NA,210
2020-11-22,354,NA,202
2020-11-23,341,NA,194
2020-11-24,331,NA,186
2020-11-25,325,NA,180
2020-11-26,316,NA,175
2020-11-27,306,NA,171
2020-11-28,297,NA,168
2020-11-29,290,NA,166
2020-11-30,283,NA,165
2020-12-01,278,NA,164
2020-12-02,271,NA,164
2020-12-03,262,NA,164
2020-12-04,256,NA,164
2020-12-05,246,NA,164
2020-12-06,240,NA,165
2020-12-07,234,NA,165
2020-12-08,227,NA,165
2020-12-09,218,NA,165
2020-12-10,211,NA,164
2020-12-11,206,NA,164
2020-12-12,199,NA,163
2020-12-13,193,NA,163
2020-12-14,189,NA,162
2020-12-15,183,NA,161
