date,RedVacc,RedR,OrangeR,LightBlueR,DarkBlueR,reality_report,reality
2021-07-01,71,71,71,71,71,71,69
2021-07-02,77,77,77,77,77,77,79
2021-07-03,64,64,64,64,64,64,73
2021-07-04,64,64,64,64,64,64,75
2021-07-05,77,77,77,77,77,77,78
2021-07-06,83,83,83,83,83,83,82
2021-07-07,83,83,83,83,83,83,80
2021-07-08,89,89,89,89,89,89,81
2021-07-09,106,106,106,106,106,106,93
2021-07-10,80,80,80,80,80,80,95
2021-07-11,71,71,71,71,71,71,97
2021-07-12,107,107,107,107,107,107,108
2021-07-13,125,125,125,125,125,125,117
2021-07-14,100,100,100,100,100,100,117
2021-07-15,119,119,119,119,119,119,124
2021-07-16,125,125,125,125,125,125,139
2021-07-17,148,148,148,148,148,148,155
2021-07-18,143,143,143,143,143,143,159
2021-07-19,203,203,203,203,203,203,192
2021-07-20,184,184,184,184,184,184,200
2021-07-21,243,243,243,243,243,243,227
2021-07-22,242,242,242,242,242,242,242
2021-07-23,256,256,256,256,256,256,261
2021-07-24,267,267,267,267,267,267,273
2021-07-25,311,311,311,311,311,311,303
2021-07-26,371,371,371,371,371,371,327
2021-07-27,398,398,398,398,398,398,358
2021-07-28,410,410,410,410,410,410,381
2021-07-29,475,475,475,475,475,475,420
2021-07-30,480,480,480,480,480,480,439
2021-07-31,419,419,419,419,419,419,458
2021-08-01,541,536,536,536,536,NA,482
2021-08-02,583,579,579,579,579,NA,506
2021-08-03,633,629,629,629,629,NA,529
2021-08-04,683,666,666,666,666,NA,549
2021-08-05,740,753,709,709,709,NA,574
2021-08-06,790,802,790,765,734,NA,588
2021-08-07,853,870,833,796,759,NA,604
2021-08-08,910,914,883,821,771,NA,616
2021-08-09,1003,988,932,858,784,NA,618
2021-08-10,1067,1050,982,883,784,NA,621
2021-08-11,1138,1130,1031,907,790,NA,628
2021-08-12,1202,1192,1081,920,784,NA,627
2021-08-13,1273,1273,1130,945,784,NA,628
2021-08-14,1337,1341,1180,957,771,NA,628
2021-08-15,1422,1421,1229,969,759,NA,624
2021-08-16,1493,1489,1267,982,753,NA,624
2021-08-17,1571,1570,1316,994,734,NA,620
2021-08-18,1635,1632,1353,994,722,NA,617
2021-08-19,1714,1706,1390,1006,709,NA,612
2021-08-20,1770,1768,1427,1006,685,NA,604
2021-08-21,1841,1842,1452,1006,672,NA,600
2021-08-22,1898,1892,1477,994,647,NA,597
2021-08-23,1955,1954,1508,994,623,NA,580
2021-08-24,2012,2003,1527,982,610,NA,571
2021-08-25,2048,2053,1545,969,585,NA,558
2021-08-26,2090,2090,1551,957,561,NA,551
2021-08-27,2126,2127,1564,945,536,NA,534
2021-08-28,2154,2152,1576,932,524,NA,517
2021-08-29,2183,2177,1576,920,499,NA,505
2021-08-30,2197,2195,1576,901,474,NA,494
2021-08-31,2211,2214,1570,883,455,NA,468
2021-09-01,2218,2220,1564,864,437,NA,464
2021-09-02,2225,2220,1551,846,412,NA,454
2021-09-03,2218,2220,1539,821,400,NA,435
2021-09-04,2211,2208,1520,802,375,NA,427
2021-09-05,2197,2189,1502,784,363,NA,416
2021-09-06,2168,2164,1477,759,344,NA,400
2021-09-07,2140,2139,1452,734,325,NA,377
2021-09-08,2112,2102,1421,709,313,NA,361
2021-09-09,2069,2065,1390,691,301,NA,348
2021-09-10,2026,2028,1359,666,276,NA,341
2021-09-11,1984,1978,1328,647,264,NA,319
2021-09-12,1941,1929,1291,623,251,NA,304
2021-09-13,1884,1886,1260,598,239,NA,298
2021-09-14,1841,1830,1217,579,226,NA,287
2021-09-15,1785,1780,1192,561,214,NA,269
2021-09-16,1735,1725,1155,536,202,NA,254
2021-09-17,1671,1675,1118,524,189,NA,238
2021-09-18,1628,1619,1081,499,183,NA,226
2021-09-19,1571,1570,1044,486,177,NA,218
2021-09-20,1514,1508,1006,462,165,NA,213
2021-09-21,1458,1458,982,449,158,NA,202
2021-09-22,1415,1409,945,437,152,NA,194
2021-09-23,1358,1347,907,418,140,NA,189
2021-09-24,1301,1304,883,400,140,NA,188
2021-09-25,1244,1248,846,387,127,NA,180
2021-09-26,1202,1198,821,375,127,NA,165
2021-09-27,1131,1149,784,363,115,NA,162
2021-09-28,1088,1099,759,350,115,NA,159
2021-09-29,1045,1050,722,338,103,NA,171
2021-09-30,1003,1013,697,325,103,NA,165
