date,blue,green,red,reality_report,reality
2021-12-01,818,818,818,881,751
2021-12-02,828,828,828,916,779
2021-12-03,849,849,849,913,807
2021-12-04,918,918,918,791,835
2021-12-05,915,915,915,810,864
2021-12-06,906,906,906,1109,892
2021-12-07,969,969,969,1157,920
2021-12-08,979,979,979,1059,948
2021-12-09,987,987,987,1055,968
2021-12-10,1020,1020,1020,1077,989
2021-12-11,1056,1056,1056,872,1001
2021-12-12,1070,1070,1070,864,1010
2021-12-13,1035,1035,1035,1111,1020
2021-12-14,1020,1020,1020,1146,1019
2021-12-15,1043,1043,1043,1133,1029
2021-12-16,1030,1030,1030,1091,1033
2021-12-17,1073,1073,1073,1069,1034
2021-12-18,1057,1057,1057,875,1034
2021-12-19,1056,1056,1056,869,1032
2021-12-20,1033,1033,1033,1187,1042
2021-12-21,1057,1057,1057,1222,1050
2021-12-22,1066,1066,1066,1213,1063
2021-12-23,1082,1082,1082,1195,1082
2021-12-24,1102,1102,1102,1131,1083
2021-12-25,1124,1124,1124,1049,1106
2021-12-26,1134,1134,1134,1113,1148
2021-12-27,1170,1170,1170,1368,1188
2021-12-28,1195,1195,1195,1535,1244
2021-12-29,1253,1253,1253,1561,1297
2021-12-30,1297,1297,1297,1549,1355
2021-12-31,1318,1318,1318,1438,1407
2022-01-01,1406,1406,1406,1283,1430
2022-01-02,1486,1486,1486,1285,1464
2022-01-03,1496,1496,1496,1693,1532
2022-01-04,1635,1635,1635,NA,1592
2022-01-05,1753,1753,1753,NA,1634
2022-01-06,1858,1858,1858,NA,1666
2022-01-07,1950,2064,2108.269872,NA,1724
2022-01-08,2057,2195,2258.0139090000002,NA,1777
2022-01-09,2199,2302,2452.9320460000004,NA,1800
2022-01-10,2293,2452,2599.9012900000002,NA,1821
2022-01-11,2421,2642,2816.51189,NA,1824
2022-01-12,2516,2792,3080.1826639999995,NA,1849
2022-01-13,2592,2958,3318.8850320000006,NA,1866
2022-01-14,2692,3130,3601.415302000001,NA,1873
2022-01-15,2795,3323,3827.0735330000007,NA,1882
2022-01-16,2885,3479,4063.874668,NA,1888
2022-01-17,2980,3612,4315.3323390000005,NA,1950
2022-01-18,3022,3766,4572.902662,NA,2008
2022-01-19,3108,3891,4787.552602000001,NA,2059
2022-01-20,3187,4039,4919.845993,NA,2119
2022-01-21,3248,4107,5087.228649000001,NA,2161
2022-01-22,3234,4166,5205.591419,NA,2181
2022-01-23,3248,4214,5272.915116,NA,2196
2022-01-24,3263,4255,5317.930503,NA,2206
2022-01-25,3250,4244,5338.507081,NA,2217
2022-01-26,3239,4207,5274.5149710000005,NA,2210
2022-01-27,3182,4164,5190.78561,NA,2215
2022-01-28,3123,4079,5049.269377,NA,2225
2022-01-29,3030,3996,4962.791042,NA,2230
2022-01-30,2978,3893,4811.185563000001,NA,2240
2022-01-31,2920,3814,4606.391351,NA,2235
2022-02-01,2856,3674,4447.705314,NA,2215
2022-02-02,2748,3509,4252.961724000001,NA,2220
2022-02-03,2654,3382,4001.6941330000004,NA,2196
2022-02-04,2540,3255,3765.7721420000003,NA,2155
2022-02-05,2448,3061,3545.765086,NA,2122
2022-02-06,2351,2894,3366.5202449999997,NA,2085
2022-02-07,2243,2754,3170.074405,NA,2015
2022-02-08,2124,2599,2912.0937150000004,NA,1951
2022-02-09,2032,2451,2735.8802809999997,NA,1870
2022-02-10,1929,2357,2548.1191980000003,NA,1793
2022-02-11,1818,2191,2373.0495100000003,NA,1718
2022-02-12,1755,2053,2211.2847679999995,NA,NA
2022-02-13,1624,1889,2040.38758,NA,NA
2022-02-14,1518,1778,1894.734817,NA,NA
2022-02-15,1431,1665,1772.539856,NA,NA
2022-02-16,1346,1547,1623.019747,NA,NA
2022-02-17,1260,1455,1510.9456710000004,NA,NA
2022-02-18,1137,1331,1137,NA,NA
2022-02-19,1070,1231,1070,NA,NA
2022-02-20,1011,1136,1011,NA,NA
2022-02-21,954,1045,954,NA,NA
2022-02-22,894,968,894,NA,NA
2022-02-23,848,908,848,NA,NA
2022-02-24,790,842,790,NA,NA
2022-02-25,742,742,742,NA,NA
2022-02-26,669,669,669,NA,NA
2022-02-27,630,630,630,NA,NA
2022-02-28,612,612,612,NA,NA
2022-03-01,567,567,567,NA,NA
2022-03-02,530,530,530,NA,NA
2022-03-03,489,489,489,NA,NA
2022-03-04,454,454,454,NA,NA
2022-03-05,417,417,417,NA,NA
2022-03-06,405,405,405,NA,NA
2022-03-07,362,362,362,NA,NA
2022-03-08,315,315,315,NA,NA
2022-03-09,293,293,293,NA,NA
2022-03-10,304,304,304,NA,NA
2022-03-11,264,264,264,NA,NA
2022-03-12,253,253,253,NA,NA
2022-03-13,201,201,201,NA,NA
2022-03-14,176,176,176,NA,NA
2022-03-15,176,176,176,NA,NA
2022-03-16,163,163,163,NA,NA
2022-03-17,151,151,151,NA,NA
2022-03-18,141,141,141,NA,NA
2022-03-19,126,126,126,NA,NA
2022-03-20,126,126,126,NA,NA
2022-03-21,127,127,127,NA,NA
2022-03-22,126,126,126,NA,NA
2022-03-23,124,124,124,NA,NA
2022-03-24,100,100,100,NA,NA
2022-03-25,76,76,76,NA,NA
2022-03-26,63,63,63,NA,NA
2022-03-27,63,63,63,NA,NA
2022-03-28,51,51,51,NA,NA
2022-03-29,51,51,51,NA,NA
2022-03-30,76,76,76,NA,NA
2022-03-31,67,67,67,NA,NA
