date,reality,med_fig7b_exit1,min_fig7b_exit1,max_fig7b_exit1,med_fig7d_exit1,min_fig7d_exit1,max_fig7d_exit1,med,min,max,error_min,error_med,error_max
2020-03-02,4,17,21,28,34,13,32,24.5,13,34,0.3,0.7,1.1
2020-03-03,6,23,27,35,38,17,40,31,17,40,0.4,0.9,1.2
2020-03-04,9,23,19,42,37,20,48,30,19,48,0.4,0.7,1.4
2020-03-05,12,29,26,48,44,27,57,36.5,26,57,0.5,0.9,1.6
2020-03-06,17,35,31,58,44,33,69,39.5,31,69,0.5,0.8,1.8
2020-03-07,23,44,33,64,55,43,80,49.5,33,80,0.4,0.9,2
2020-03-08,31,57,43,76,64,47,91,60.5,43,91,0.4,1,2.1
2020-03-09,41,70,54,92,81,56,103,75.5,54,103,0.5,1.2,2.2
2020-03-10,54,82,63,130,92,68,121,87,63,130,0.3,1.2,2.7
2020-03-11,71,93,91,151,111,74,142,102,74,151,0.1,1.1,2.8
2020-03-12,93,127,109,211,143,80,189,135,80,211,-0.5,1.5,4.1
2020-03-13,122,155,124,249,181,100,234,168,100,249,-0.8,1.6,4.5
2020-03-14,160,208,143,298,202,121,296,205,121,298,-1.4,1.6,4.8
2020-03-15,207,262,182,341,239,157,344,250.5,157,344,-1.8,1.5,4.8
2020-03-16,268,322,223,435,260,193,431,291,193,435,-2.6,0.8,5.9
2020-03-17,342,372,272,522,376,262,520,374,262,522,-2.8,1.1,6.3
2020-03-18,433,422,335,614,408,302,631,415,302,631,-4.6,-0.6,6.9
2020-03-19,539,619,388,744,478,347,744,548.5,347,744,-6.7,0.3,7.2
2020-03-20,662,664,456,847,715,445,1006,689.5,445,1006,-7.6,1,12.1
2020-03-21,799,803,571,1003,751,503,1142,777,503,1142,-10.4,-0.8,12
2020-03-22,949,1098,713,1077,999,691,1525,1038,691,1525,-9,3.1,20.2
2020-03-23,1109,1200,879,1310,1208,857,1658,1204,857,1658,-8.8,3.3,19.2
2020-03-24,1277,1549,969,1698,1404,982,2043,1476.5,969,2043,-10.8,7,26.9
2020-03-25,1448,1691,1252,1736,1562,1145,2231,1626.5,1145,2231,-10.6,6.3,27.5
2020-03-26,1619,1876,1341,2336,1853,1207,2465,1864.5,1207,2465,-14.4,8.6,29.7
2020-03-27,1788,2008,1475,2445,1966,1391,2635,1987,1391,2635,-13.9,7,29.7
2020-03-28,1952,2036,1628,2653,2160,1423,2807,2098,1423,2807,-18.5,5.1,30
2020-03-29,2110,2280,1684,2824,2264,1655,2924,2272,1655,2924,-16,5.7,28.5
2020-03-30,2259,2305,1788,2951,2352,1693,2981,2328.5,1693,2981,-19.8,2.4,25.3
2020-03-31,2394,2502,1842,2984,2484,1799,2984,2493,1799,2984,-20.9,3.5,20.7
2020-04-01,2515,2548,1917,2988,2534,1837,2984,2541,1837,2988,-23.8,0.9,16.6
2020-04-02,2618,2603,1957,2988,2637,1896,2984,2620,1896,2988,-25.3,0.1,13
2020-04-03,2702,2639,2009,2988,2693,1932,2988,2666,1932,2988,-27,-1.3,10
2020-04-04,2768,2688,2051,2988,2753,1969,2988,2720.5,1969,2988,-28,-1.7,7.7
2020-04-05,2814,2724,2099,2988,2785,2015,2988,2754.5,2015,2988,-28,-2.1,6.1
2020-04-06,2842,2780,2140,2988,2808,2059,2988,2794,2059,2988,-27.5,-1.7,5.1
2020-04-07,2852,2815,2164,2991,2821,2100,2988,2818,2100,2991,-26.4,-1.2,4.9
2020-04-08,2848,2845,2175,2991,2833,2128,2990,2839,2128,2991,-25.2,-0.3,5
2020-04-09,2829,2867,2179,2992,2834,2126,2991,2850.5,2126,2992,-24.6,0.8,5.7
2020-04-10,2797,2869,2177,2991,2835,2120,2991,2852,2120,2991,-23.7,1.9,6.8
2020-04-11,2755,2874,2164,2996,2835,2103,2991,2854.5,2103,2996,-22.9,3.5,8.5
