date,reality,low,median,high,med,min,max,error_min,error_med,error_max
2020-03-30,2259,2175,2175,2175,2175,2175,2175,-2.9,-2.9,-2.9
2020-03-31,2394,2296,2296,2296,2296,2296,2296,-3.4,-3.4,-3.4
2020-04-01,2515,2358,2358,2358,2358,2358,2358,-5.5,-5.5,-5.5
2020-04-02,2618,2423,2423,2423,2423,2423,2423,-6.8,-6.8,-6.8
2020-04-03,2702,2505,2505,2505,2505,2505,2505,-6.9,-6.9,-6.9
2020-04-04,2768,2526,2526,2526,2526,2526,2526,-8.5,-8.5,-8.5
2020-04-05,2814,2598,2598,2598,2598,2598,2598,-7.6,-7.6,-7.6
2020-04-06,2842,2608,2608,2608,2608,2608,2608,-8.2,-8.2,-8.2
2020-04-07,2852,2633,2633,2633,2633,2633,2633,-7.7,-7.7,-7.7
2020-04-08,2848,2662,2662,2662,2662,2662,2662,-6.5,-6.5,-6.5
2020-04-09,2829,2648,2648,2648,2648,2648,2648,-6.3,-6.3,-6.3
2020-04-10,2797,2649,2649,2649,2649,2649,2649,-5.2,-5.2,-5.2
2020-04-11,2755,2609,2609,2609,2609,2609,2609,-5.1,-5.1,-5.1
2020-04-12,2705,2588,2588,2588,2588,2588,2588,-4.1,-4.1,-4.1
2020-04-13,2649,2522,2522,2522,2522,2522,2522,-4.5,-4.5,-4.5
2020-04-14,2589,2475,2475,2475,2475,2475,2475,-4,-4,-4
2020-04-15,2527,2430,2430,2430,2430,2430,2430,-3.4,-3.4,-3.4
2020-04-16,2462,2374,2374,2374,2374,2374,2374,-3.1,-3.1,-3.1
2020-04-17,2395,2324,2324,2324,2324,2324,2324,-2.5,-2.5,-2.5
2020-04-18,2326,2262,2262,2262,2262,2262,2262,-2.2,-2.2,-2.2
2020-04-19,2256,2203,2203,2203,2203,2203,2203,-1.9,-1.9,-1.9
2020-04-20,2185,2150,2150,2150,2150,2150,2150,-1.2,-1.2,-1.2
2020-04-21,2115,2093,2093,2093,2093,2093,2093,-0.8,-0.8,-0.8
2020-04-22,2045,2018,2018,2018,2018,2018,2018,-0.9,-0.9,-0.9
2020-04-23,1976,1944,1944,1944,1944,1944,1944,-1.1,-1.1,-1.1
2020-04-24,1909,1897,1897,1897,1897,1897,1897,-0.4,-0.4,-0.4
2020-04-25,1843,1836,1836,1836,1836,1836,1836,-0.2,-0.2,-0.2
2020-04-26,1778,1765,1765,1765,1765,1765,1765,-0.5,-0.5,-0.5
