date,reality,med_5F,min_5F,max_5F,med,min,max,error_min,error_med,error_max
2020-03-02,4,13,NA,48,30.5,13,48,0.3,0.9,1.5
2020-03-03,6,19,13,54,19,13,54,0.2,0.5,1.7
2020-03-04,9,25,16,61,25,16,61,0.2,0.6,1.8
2020-03-05,12,39,16,71,39,16,71,0.1,0.9,2.1
2020-03-06,17,48,22,76,48,22,76,0.2,1.1,2.1
2020-03-07,23,61,26,91,61,26,91,0.1,1.3,2.4
2020-03-08,31,59,34,107,59,34,107,0.1,1,2.7
2020-03-09,41,81,45,128,81,45,128,0.1,1.4,3.1
2020-03-10,54,100,51,163,100,51,163,-0.1,1.6,3.8
2020-03-11,71,134,60,191,134,60,191,-0.4,2.2,4.2
2020-03-12,93,156,69,217,156,69,217,-0.8,2.2,4.3
2020-03-13,122,183,93,262,183,93,262,-1,2.1,4.9
2020-03-14,160,217,127,314,217,127,314,-1.2,2,5.4
2020-03-15,207,271,154,387,271,154,387,-1.9,2.2,6.3
2020-03-16,268,306,199,447,306,199,447,-2.4,1.3,6.3
2020-03-17,342,346,246,535,346,246,535,-3.4,0.1,6.8
2020-03-18,433,420,298,622,420,298,622,-4.7,-0.5,6.6
2020-03-19,539,543,353,771,543,353,771,-6.5,0.1,8.1
2020-03-20,662,672,415,925,672,415,925,-8.7,0.4,9.2
2020-03-21,799,796,487,1087,796,487,1087,-10.9,-0.1,10.1
2020-03-22,949,908,609,1406,908,609,1406,-11.9,-1.4,16
2020-03-23,1109,1150,751,1599,1150,751,1599,-12.6,1.4,17.2
2020-03-24,1277,1267,931,1926,1267,931,1926,-12.1,-0.4,22.8
2020-03-25,1448,1591,1102,2339,1591,1102,2339,-12.1,5,31.2
2020-03-26,1619,1686,1304,2546,1686,1304,2546,-11,2.3,32.5
2020-03-27,1788,2005,1480,2864,2005,1480,2864,-10.8,7.6,37.7
2020-03-28,1952,2172,1628,2980,2172,1628,2980,-11.4,7.7,36
2020-03-29,2110,2403,1777,2981,2403,1777,2981,-11.7,10.3,30.5
2020-03-30,2259,2557,1894,2981,2557,1894,2981,-12.8,10.4,25.3
2020-03-31,2394,2667,1972,2982,2667,1972,2982,-14.8,9.6,20.6
2020-04-01,2515,2783,2047,2983,2783,2047,2983,-16.4,9.4,16.4
2020-04-02,2618,2893,2167,2983,2893,2167,2983,-15.8,9.6,12.8
2020-04-03,2702,2940,2207,2984,2940,2207,2984,-17.4,8.3,9.9
2020-04-04,2768,2982,2241,2985,2982,2241,2985,-18.5,7.5,7.6
2020-04-05,2814,2968,2256,2985,2968,2256,2985,-19.6,5.4,6
2020-04-06,2842,2973,2267,2986,2973,2267,2986,-20.2,4.6,5
2020-04-07,2852,2979,2277,2986,2979,2277,2986,-20.2,4.5,4.7
2020-04-08,2848,2985,2277,2987,2985,2277,2987,-20,4.8,4.9
2020-04-09,2829,2991,2284,2987,2987,2284,2991,-19.1,5.5,5.7
2020-04-10,2797,2995,2284,2988,2988,2284,2995,-18,6.7,6.9
2020-04-11,2755,2981,2279,2988,2981,2279,2988,-16.7,7.9,8.2
2020-04-12,2705,2937,2248,2988,2937,2248,2988,-16,8.1,9.9
2020-04-13,2649,2876,2193,2989,2876,2193,2989,-16,8,11.9
2020-04-14,2589,2874,2148,2989,2874,2148,2989,-15.5,10,14
2020-04-15,2527,2833,2117,2989,2833,2117,2989,-14.4,10.7,16.2
2020-04-16,2462,2758,2076,2989,2758,2076,2989,-13.5,10.4,18.5
2020-04-17,2395,2679,2031,2990,2679,2031,2990,-12.8,10,20.9
2020-04-18,2326,2629,1971,2990,2629,1971,2990,-12.4,10.6,23.3
2020-04-19,2256,2534,1936,2990,2534,1936,2990,-11.2,9.7,25.7
2020-04-20,2185,2447,1893,2990,2447,1893,2990,-10.2,9.2,28.2
2020-04-21,2115,2362,1841,2990,2362,1841,2990,-9.6,8.7,30.7
2020-04-22,2045,2285,1776,2990,2285,1776,2990,-9.4,8.4,33.1
2020-04-23,1976,2226,1722,2936,2226,1722,2936,-8.9,8.8,33.7
