date,reality,R_1_2,R_1_1,R_1,R_0_9,R_0_8,R_0_7,med,min,max,error_min,error_med,error_max
2020-10-02,1304,1034,1034,1034,1034,1034,1034,1034,1034,1034,-3.9,-3.9,-3.9
2020-10-03,1328,1081,1081,1081,1081,1081,1081,1081,1081,1081,-3.6,-3.6,-3.6
2020-10-04,1353,1138,1138,1138,1138,1138,1138,1138,1138,1138,-3.1,-3.1,-3.1
2020-10-05,1379,1168,1168,1168,1168,1168,1168,1168,1168,1168,-3,-3,-3
2020-10-06,1407,1228,1228,1228,1228,1228,1228,1228,1228,1228,-2.6,-2.6,-2.6
2020-10-07,1439,1248,1248,1248,1248,1248,1248,1248,1248,1248,-2.8,-2.8,-2.8
2020-10-08,1474,1323,1323,1323,1323,1323,1323,1323,1323,1323,-2.2,-2.2,-2.2
2020-10-09,1513,1381,1381,1381,1381,1381,1381,1381,1381,1381,-1.9,-1.9,-1.9
2020-10-10,1557,1421,1421,1421,1421,1421,1421,1421,1421,1421,-2,-2,-2
2020-10-11,1606,1505,1505,1505,1505,1505,1505,1505,1505,1505,-1.5,-1.5,-1.5
2020-10-12,1661,1534,1534,1534,1534,1534,1534,1534,1534,1534,-1.8,-1.8,-1.8
2020-10-13,1722,1609,1609,1609,1609,1609,1609,1609,1609,1609,-1.6,-1.6,-1.6
2020-10-14,1789,1613,1613,1613,1613,1613,1613,1613,1613,1613,-2.5,-2.5,-2.5
2020-10-15,1862,1721,1721,1721,1721,1721,1721,1721,1721,1721,-2,-2,-2
2020-10-16,1941,1773,1773,1773,1773,1773,1773,1773,1773,1773,-2.4,-2.4,-2.4
2020-10-17,2026,1870,1870,1870,1870,1870,1870,1870,1870,1870,-2.2,-2.2,-2.2
2020-10-18,2116,1956,1956,1956,1956,1956,1956,1956,1956,1956,-2.3,-2.3,-2.3
2020-10-19,2211,2038,2038,2038,2038,2038,2038,2038,2038,2038,-2.5,-2.5,-2.5
2020-10-20,2310,2147,2147,2147,2147,2147,2147,2147,2147,2147,-2.3,-2.3,-2.3
2020-10-21,2414,2256,2256,2256,2256,2256,2256,2256,2256,2256,-2.3,-2.3,-2.3
2020-10-22,2521,2363,2363,2363,2363,2363,2363,2363,2363,2363,-2.3,-2.3,-2.3
2020-10-23,2633,2492,2492,2492,2492,2492,2492,2492,2492,2492,-2,-2,-2
2020-10-24,2749,2651,2651,2651,2651,2651,2651,2651,2651,2651,-1.4,-1.4,-1.4
2020-10-25,2870,2769,2769,2769,2769,2769,2769,2769,2769,2769,-1.5,-1.5,-1.5
2020-10-26,2996,2944,2944,2944,2944,2944,2944,2944,2944,2944,-0.7,-0.7,-0.7
2020-10-27,3127,3097,3097,3097,3097,3097,3097,3097,3097,3097,-0.4,-0.4,-0.4
2020-10-28,3262,3340,3340,3340,3340,3340,3340,3340,3340,3340,1.1,1.1,1.1
2020-10-29,3402,3529,3529,3529,3529,3529,3529,3529,3529,3529,1.8,1.8,1.8
2020-10-30,3544,3707,3707,3707,3707,3707,3707,3707,3707,3707,2.3,2.3,2.3
2020-10-31,3688,3919,3919,3919,3919,3919,3919,3919,3919,3919,3.3,3.3,3.3
2020-11-01,3833,4184,4184,4184,4184,4184,4184,4184,4184,4184,5.1,5.1,5.1
2020-11-02,3976,4381,4381,4381,4381,4381,4381,4381,4381,4381,5.8,5.8,5.8
2020-11-03,4115,4649,4649,4667,4646,4609,4396,4647.5,4396,4667,4.1,7.7,8
2020-11-04,4249,4892,4887,4842,4921,4723,4609,4864.5,4609,4921,5.2,8.9,9.7
2020-11-05,4374,5139,5106,5061,5122,4910,4858,5083.5,4858,5139,7,10.2,11
2020-11-06,4489,5377,5328,5287,5370,5102,5088,5307.5,5088,5377,8.6,11.8,12.8
2020-11-07,4591,5602,5591,5497,5411,5278,5262,5454,5262,5602,9.7,12.4,14.6
2020-11-08,4678,5824,5801,5697,5564,5466,5435,5630.5,5435,5824,10.9,13.7,16.5
2020-11-09,4750,6047,5998,5886,5685,5605,5514,5785.5,5514,6047,11,14.9,18.7
2020-11-10,4805,6274,6179,6018,5847,5704,5589,5932.5,5589,6274,11.3,16.3,21.2
2020-11-11,4843,6476,6308,6144,5915,5786,5633,6029.5,5633,6476,11.4,17.1,23.5
2020-11-12,4864,6659,6419,6251,5990,5840,5632,6120.5,5632,6659,11.1,18.1,25.9
2020-11-13,4866,6827,6572,6329,6060,5844,5625,6194.5,5625,6827,10.9,19.2,28.3
2020-11-14,4852,6996,6691,6393,6089,5828,5611,6241,5611,6996,10.9,20,30.9
2020-11-15,4821,7131,6783,6452,6080,5812,5511,6266,5511,7131,9.9,20.8,33.3
2020-11-16,4775,7281,6859,6469,6056,5730,5500,6262.5,5500,7281,10.5,21.4,36.1
2020-11-17,4716,7414,6928,6477,5992,5630,5344,6234.5,5344,7414,9.1,21.9,38.9
2020-11-18,4646,7540,6994,6477,5989,5535,5155,6233,5155,7540,7.3,22.9,41.7
2020-11-19,4566,7643,7027,6477,5960,5432,5057,6218.5,5057,7643,7.1,23.8,44.4
2020-11-20,4478,7742,7062,6445,5885,5342,4949,6165,4949,7742,6.8,24.3,47.1
2020-11-21,4384,7843,7078,6413,5802,5241,4762,6107.5,4762,7843,5.4,24.8,49.9
