date,reality,fig3A_R_1,fig3A_R_1_1,fig3A_R_1_2,fig3A_R_1_3,fig3C_R_1,fig3C_R_1_1,fig3C_R_1_2,fig3C_R_1_3,fig3E_R_1,med,min,max,error_min,error_med,error_max,constant_baseline,arima_baseline,trend_baseline,holts_linear_baseline,damped_trend_baseline
2021-03-16,4189,4077,4077,4077,4077,4077,4077,4077,4077,4077,4077,4077,4077,-1.6,-1.6,-1.6,4215.0,4247.7716474757535,4263.285714285714,4263.994917448491,
2021-03-17,4241,4126,4126,4126,4126,4126,4126,4126,4126,4126,4126,4126,4126,-1.7,-1.7,-1.7,4215.0,4273.0708328013325,4311.571428571428,4312.989835069654,
2021-03-18,4295,4176,4176,4176,4176,4176,4176,4176,4176,4176,4176,4176,4176,-1.7,-1.7,-1.7,4215.0,4296.241112373713,4359.857142857143,4361.984752690816,
2021-03-19,4351,4271,4271,4271,4271,4271,4271,4271,4271,4271,4271,4271,4271,-1.2,-1.2,-1.2,4215.0,4318.804866330451,4408.142857142857,4410.979670311979,
2021-03-20,4410,4297,4297,4297,4297,4297,4297,4297,4297,4297,4297,4297,4297,-1.6,-1.6,-1.6,4215.0,4341.19582103486,4456.428571428571,4459.974587933141,
2021-03-21,4470,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,4375,-1.4,-1.4,-1.4,4215.0,4363.537545202528,4504.714285714285,4508.969505554304,
2021-03-22,4531,4456,4456,4456,4456,4456,4456,4456,4456,4456,4456,4456,4456,-1.1,-1.1,-1.1,4215.0,4385.865243581802,4553.0,4557.964423175466,
2021-03-23,4594,4504,4504,4504,4504,4504,4504,4504,4504,4504,4504,4504,4504,-1.3,-1.3,-1.3,4215.0,4408.188946011548,4601.285714285714,4606.9593407966295,
2021-03-24,4658,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,4563,-1.4,-1.4,-1.4,4215.0,4430.511509994585,4649.5714285714275,4655.954258417792,
2021-03-25,4723,4615,4615,4615,4615,4615,4615,4615,4615,4615,4615,4615,4615,-1.6,-1.6,-1.6,4215.0,4452.833749633959,4697.857142857142,4704.949176038954,
2021-03-26,4789,4689,4689,4689,4689,4689,4689,4689,4689,4689,4689,4689,4689,-1.4,-1.4,-1.4,4215.0,4475.155896867767,4746.142857142857,4753.944093660117,
2021-03-27,4856,4775,4775,4775,4775,4775,4775,4775,4775,4775,4775,4775,4775,-1.2,-1.2,-1.2,4215.0,4497.478017775214,4794.428571428571,4802.939011281279,
2021-03-28,4923,4835,4835,4835,4835,4835,4835,4835,4835,4835,4835,4835,4835,-1.3,-1.3,-1.3,4215.0,4519.800131182275,4842.714285714284,4851.933928902442,
