date,reality,blue_full_10,blue_dashed_10,purple_full_10,purple_dashed_10,pink_full_10,pink_dashed_10,med,min,max,error_min,error_med,error_max
2021-07-16,808,193,193,193,193,193,193,193,193,193,-8.9,-8.9,-8.9
2021-07-17,808,207,207,207,207,207,207,207,207,207,-8.7,-8.7,-8.7
2021-07-18,780,193,193,193,193,193,193,193,193,193,-8.5,-8.5,-8.5
2021-07-19,761,216,216,216,216,216,216,216,216,216,-7.9,-7.9,-7.9
2021-07-20,767,313,313,313,313,313,313,313,313,313,-6.5,-6.5,-6.5
2021-07-21,763,317,317,317,317,317,317,317,317,317,-6.4,-6.4,-6.4
2021-07-22,763,316,316,316,316,316,316,316,316,316,-6.4,-6.4,-6.4
2021-07-23,771,378,378,378,378,378,378,378,378,378,-5.7,-5.7,-5.7
2021-07-24,831,386,386,386,386,386,386,386,386,386,-6.4,-6.4,-6.4
2021-07-25,855,385,385,385,385,385,385,385,385,385,-6.8,-6.8,-6.8
2021-07-26,863,375,375,375,375,375,375,375,375,375,-7,-7,-7
2021-07-27,886,425,425,425,425,425,425,425,425,425,-6.6,-6.6,-6.6
2021-07-28,934,489,489,489,489,489,489,489,489,489,-6.4,-6.4,-6.4
2021-07-29,958,512,512,512,512,512,512,512,512,512,-6.4,-6.4,-6.4
2021-07-30,993,549,549,549,549,549,549,549,549,549,-6.4,-6.4,-6.4
2021-07-31,1086,613,613,613,613,613,613,613,613,613,-6.8,-6.8,-6.8
2021-08-01,1178,674,674,674,674,674,674,674,674,674,-7.3,-7.3,-7.3
2021-08-02,1211,751,751,751,751,751,751,751,751,751,-6.6,-6.6,-6.6
2021-08-03,1265,813,813,813,813,813,813,813,813,813,-6.5,-6.5,-6.5
2021-08-04,1299,873,873,873,873,873,873,873,873,873,-6.1,-6.1,-6.1
2021-08-05,1340,949,949,949,949,949,949,949,949,949,-5.6,-5.6,-5.6
2021-08-06,1380,1053,1053,1053,1053,1053,1053,1053,1053,1053,-4.7,-4.7,-4.7
2021-08-07,1485,1196,1150,1150,1150,1046,1062,1150,1046,1196,-6.3,-4.8,-4.2
2021-08-08,1527,1323,1250,1250,1250,1151,1151,1250,1151,1323,-5.4,-4,-2.9
2021-08-09,1563,1471,1396,1288,1288,1274,1274,1288,1274,1471,-4.2,-4,-1.3
2021-08-10,1614,1597,1558,1410,1410,1374,1374,1410,1374,1597,-3.5,-2.9,-0.2
2021-08-11,1644,1755,1685,1524,1550,1473,1473,1537,1473,1755,-2.5,-1.5,1.6
2021-08-12,1659,1869,1788,1659,1707,1575,1574,1683,1574,1869,-1.2,0.3,3
2021-08-13,1673,1995,1891,1802,1892,1702,1702,1846.5,1702,1995,0.4,2.5,4.6
2021-08-14,1729,2184,1983,1954,2027,1852,1794,1968.5,1794,2184,0.9,3.5,6.6
2021-08-15,1770,2394,2188,2093,2093,1975,1880,2093,1880,2394,1.6,4.7,9
2021-08-16,1800,2654,2407,2210,2257,2085,1968,2233.5,1968,2654,2.4,6.2,12.3
2021-08-17,1798,2885,2597,2427,2400,2139,2002,2413.5,2002,2885,2.9,8.9,15.7
2021-08-18,1834,3082,2801,2614,2555,2230,2088,2584.5,2088,3082,3.7,10.8,18
2021-08-19,1849,3274,3087,2837,2781,2313,2172,2809,2172,3274,4.7,13.8,20.5
2021-08-20,1866,3470,3346,2961,2766,2405,2204,2863.5,2204,3470,4.9,14.4,23.1
2021-08-21,1936,3812,3576,3163,2876,2480,2266,3019.5,2266,3812,4.8,15.6,27
2021-08-22,1937,4018,3664,3386,2972,2568,2352,3179,2352,4018,6,17.9,30
2021-08-23,1962,4314,3802,3559,3048,2616,2435,3303.5,2435,4314,6.8,19.3,33.9
2021-08-24,1977,4452,3896,3734,3251,2705,2481,3492.5,2481,4452,7.3,21.8,35.7
2021-08-25,1972,4715,4119,3899,3404,2802,2527,3651.5,2527,4715,8,24.2,39.5
2021-08-26,1959,5008,4324,4097,3502,2893,2561,3799.5,2561,5008,8.7,26.5,44
2021-08-27,1977,5322,4503,4262,3562,2954,2558,3912,2558,5322,8.4,27.9,48.2
2021-08-28,1990,5672,4636,4423,3698,3002,2585,4060.5,2585,5672,8.6,29.8,53.1
2021-08-29,1991,6006,4964,4557,3833,3054,2615,4195,2615,6006,9,31.8,57.9
2021-08-30,1997,6237,5036,4704,3943,3093,2639,4323.5,2639,6237,9.3,33.5,61.1
2021-08-31,1967,6596,5163,4899,3981,3149,2659,4440,2659,6596,10,35.6,66.7
2021-09-01,1958,6807,5251,5060,4060,3231,2657,4560,2657,6807,10.1,37.5,69.9
2021-09-02,1933,7064,5335,5242,4120,3278,2658,4681,2658,7064,10.5,39.6,74
2021-09-03,1927,7314,5489,5404,4142,3306,2653,4773,2653,7314,10.5,41,77.7
2021-09-04,1959,7538,5672,5533,4205,3346,2629,4869,2629,7538,9.7,41.9,80.4
2021-09-05,1978,7822,5775,5656,4270,3370,2598,4963,2598,7822,8.9,43,84.2
2021-09-06,1949,8020,5835,5768,4321,3397,2568,5044.5,2568,8020,8.9,44.6,87.5
2021-09-07,1910,8246,5964,5887,4322,3422,2545,5104.5,2545,8246,9.2,46.1,91.3
2021-09-08,1878,8403,5973,5987,4335,3421,2530,5154,2530,8403,9.4,47.2,94.1
2021-09-09,1856,8550,6038,6095,4349,3432,2511,5193.5,2511,8550,9.4,48.1,96.5
2021-09-10,1852,8719,6059,6138,4358,3433,2471,5208.5,2471,8719,8.9,48.4,99
2021-09-11,1817,8815,6056,6184,4337,3448,2476,5196.5,2476,8815,9.5,48.7,100.9
2021-09-12,1753,8906,6079,6242,4310,3433,2432,5194.5,2432,8906,9.8,49.6,103.1
2021-09-13,1714,8960,6042,6286,4284,3421,2376,5163,2376,8960,9.5,49.7,104.5
2021-09-14,1701,8985,6030,6305,4262,3399,2326,5146,2326,8985,9,49.7,105
2021-09-15,1652,8999,5984,6304,4216,3369,2314,5100,2314,8999,9.5,49.7,105.9
2021-09-16,1604,8998,5938,6305,4178,3363,2258,5058,2258,8998,9.4,49.8,106.6
2021-09-17,1602,8988,5893,6286,4133,3306,2221,5013,2221,8988,8.9,49.2,106.5
