date,reality,RedFull,BlueFull,PurpleFull,GreenFull,med,min,max,error_min,error_med,error_max
2021-08-04,1299,NA,NA,980,1064,1022,980,1064,-4.6,-4,-3.4
2021-08-05,1340,NA,1195,1049,1052,1052,1049,1195,-4.2,-4.2,-2.1
2021-08-06,1380,NA,1176,1174,1141,1174,1141,1176,-3.4,-3,-2.9
2021-08-07,1485,NA,1285,1253,1219,1253,1219,1285,-3.8,-3.3,-2.9
2021-08-08,1527,1381,1350,1351,1308,1350.5,1308,1381,-3.2,-2.5,-2.1
2021-08-09,1563,1489,1424,1429,1393,1426.5,1393,1489,-2.5,-2,-1.1
2021-08-10,1614,1734,1487,1502,1425,1494.5,1425,1734,-2.7,-1.7,1.7
2021-08-11,1644,1715,1586,1587,1484,1586.5,1484,1715,-2.3,-0.8,1
2021-08-12,1659,1923,1670,1659,1547,1664.5,1547,1923,-1.6,0.1,3.8
2021-08-13,1673,1908,1813,1728,1602,1770.5,1602,1908,-1,1.4,3.4
2021-08-14,1729,2077,1954,1828,1643,1891,1643,2077,-1.2,2.3,5
2021-08-15,1770,2196,2071,1857,1673,1964,1673,2196,-1.4,2.8,6.1
2021-08-16,1800,2434,2167,1929,1714,2048,1714,2434,-1.2,3.6,9.1
2021-08-17,1798,2537,2297,1995,1743,2146,1743,2537,-0.8,5,10.7
2021-08-18,1834,2701,2446,2050,1770,2248,1770,2701,-0.9,6,12.5
2021-08-19,1849,2849,2540,2106,1781,2323,1781,2849,-1,6.8,14.4
2021-08-20,1866,3013,2630,2166,1800,2398,1800,3013,-1,7.7,16.5
2021-08-21,1936,3178,2731,2225,1812,2478,1812,3178,-1.8,7.8,17.9
2021-08-22,1937,3340,2857,2267,1812,2562,1812,3340,-1.8,9,20.2
2021-08-23,1962,3503,2975,2265,1796,2620,1796,3503,-2.4,9.5,22.2
2021-08-24,1977,3666,3066,2337,1781,2701.5,1781,3666,-2.8,10.4,24.3
2021-08-25,1972,3789,3137,2365,1781,2751,1781,3789,-2.8,11.2,26.2
2021-08-26,1959,3970,3239,2385,1748,2812,1748,3970,-3,12.3,29
2021-08-27,1977,4099,3329,2400,1734,2864.5,1734,4099,-3.5,12.8,30.6
2021-08-28,1990,4306,3407,2416,1719,2911.5,1719,4306,-3.9,13.3,33.4
2021-08-29,1991,4391,3480,2415,1690,2947.5,1690,4391,-4.3,13.8,34.6
2021-08-30,1997,4541,3547,2432,1659,2989.5,1659,4541,-4.9,14.3,36.7
2021-08-31,1967,4656,3615,2433,1628,3024,1628,4656,-4.9,15.2,38.8
2021-09-01,1958,4775,3670,2416,1594,3043,1594,4775,-5.2,15.6,40.6
2021-09-02,1933,4878,3716,2416,1550,3066,1550,4878,-5.5,16.3,42.5
2021-09-03,1927,4978,3750,2408,1506,3079,1506,4978,-6.1,16.6,44
2021-09-04,1959,5057,3790,2385,1472,3087.5,1472,5057,-7,16.3,44.7
2021-09-05,1978,5131,3815,2355,1437,3085,1437,5131,-7.8,16,45.5
2021-09-06,1949,5204,3825,2338,1393,3081.5,1393,5204,-8,16.3,46.9
2021-09-07,1910,5250,3842,2307,1350,3074.5,1350,5250,-8.1,16.8,48.1
2021-09-08,1878,5289,3857,2266,1316,3061.5,1316,5289,-8.1,17.1,49.2
2021-09-09,1856,5316,3839,2246,1270,3042.5,1270,5316,-8.4,17.1,49.9
2021-09-10,1852,5343,3825,2214,1223,3019.5,1223,5343,-9.1,16.8,50.3
2021-09-11,1817,5343,3826,2184,1193,3005,1193,5343,-9,17.1,50.8
2021-09-12,1753,5343,3794,2141,1147,2967.5,1147,5343,-8.7,17.5,51.8
2021-09-13,1714,5337,3765,2099,1100,2932,1100,5337,-8.9,17.6,52.2
2021-09-14,1701,5308,3729,2054,1065,2891.5,1065,5308,-9.2,17.2,52
2021-09-15,1652,5266,3685,2014,1022,2849.5,1022,5266,-9.1,17.3,52.1
2021-09-16,1604,5221,3643,1971,977,2807,977,5221,-9,17.3,52.1
2021-09-17,1602,5173,3593,1928,943,2760.5,943,5173,-9.5,16.7,51.5
2021-09-18,1577,5105,3540,1886,915,2713,915,5105,-9.5,16.4,50.9
2021-09-19,1520,5045,3482,1827,881,2654.5,881,5045,-9.2,16.4,50.8
2021-09-20,1456,4958,3424,1782,837,2603,837,4958,-8.9,16.5,50.5
2021-09-21,1412,4882,3348,1740,806,2544,806,4882,-8.7,16.3,50
2021-09-22,1410,4793,3291,1698,765,2494.5,765,4793,-9.3,15.6,48.8
2021-09-23,1402,4700,3222,1642,740,2432,740,4700,-9.5,14.8,47.5
2021-09-24,1406,4599,3159,1595,712,2377,712,4599,-10,14,46
2021-09-25,1403,4496,3084,1550,682,2317,682,4496,-10.4,13.2,44.6
2021-09-26,1355,4406,3010,1508,651,2259,651,4406,-10.1,13,44
2021-09-27,1305,4295,2936,1465,630,2200.5,630,4295,-9.7,12.9,43.1
2021-09-28,1255,4177,2862,1423,602,2142.5,602,4177,-9.4,12.8,42.1
2021-09-29,1215,4090,2790,1379,573,2084.5,573,4090,-9.3,12.5,41.4
2021-09-30,1193,3964,2713,1335,541,2024,541,3964,-9.4,12,39.9
