date,reality,red_pessimiste_VE,green_pessimiste_VE,blue_pessimiste_VE,med,min,max,error_min,error_med,error_max,constant_baseline,damped_trend_baseline
2021-12-02,1967.0,2026,2026,2026,2026,2026,2026,0.9,0.9,0.9,,
2021-12-03,1996.0,2091,2091,2091,2091,2091,2091,1.4,1.4,1.4,,
2021-12-04,2120.0,2078,2078,2078,2078,2078,2078,-0.6,-0.6,-0.6,,
2021-12-05,2276.0,2146,2146,2146,2146,2146,2146,-1.9,-1.9,-1.9,,
2021-12-06,2348.0,2209,2209,2209,2209,2209,2209,-2.0,-2.0,-2.0,,
2021-12-07,2383.0,2280,2280,2280,2280,2280,2280,-1.5,-1.5,-1.5,,
2021-12-08,2423.0,2323,2323,2323,2323,2323,2323,-1.4,-1.4,-1.4,,
2021-12-09,2459.0,2420,2420,2420,2420,2420,2420,-0.6,-0.6,-0.6,,
2021-12-10,2523.0,2451,2451,2451,2451,2451,2451,-1.0,-1.0,-1.0,,
2021-12-11,2673.0,2522,2522,2522,2522,2522,2522,-2.2,-2.2,-2.2,,
2021-12-12,2726.0,2612,2612,2612,2612,2612,2612,-1.6,-1.6,-1.6,,
2021-12-13,2776.0,2679,2679,2679,2679,2679,2679,-1.4,-1.4,-1.4,,
2021-12-14,2762.0,2732,2732,2732,2732,2732,2732,-0.4,-0.4,-0.4,,
2021-12-15,2832.0,2848,2848,2848,2848,2848,2848,0.2,0.2,0.2,,
2021-12-16,2861.0,2869,2869,2869,2869,2869,2869,0.1,0.1,0.1,,
2021-12-17,2863.0,2964,2964,2964,2964,2964,2964,1.5,1.5,1.5,,
2021-12-18,2953.0,2939,2939,2939,2939,2939,2939,-0.2,-0.2,-0.2,,
2021-12-19,3016.0,2998,2998,2998,2998,2998,2998,-0.3,-0.3,-0.3,,
2021-12-20,3069.0,3124,3124,3124,3124,3124,3124,0.8,0.8,0.8,,
2021-12-21,3129.0,3157,3157,3157,3157,3157,3157,0.4,0.4,0.4,,
2021-12-22,3167.0,3175,3175,3175,3175,3175,3175,0.1,0.1,0.1,,
2021-12-23,3195.0,3210,3210,3210,3210,3210,3210,0.2,0.2,0.2,,
2021-12-24,3212.0,3257,3257,3257,3257,3257,3257,0.6,0.6,0.6,,
2021-12-25,3240.0,3272,3272,3272,3272,3272,3272,0.5,0.5,0.5,,
2021-12-26,3319.0,3334,3334,3334,3334,3334,3334,0.2,0.2,0.2,,
2021-12-27,3378.0,3360,3360,3360,3360,3360,3360,-0.3,-0.3,-0.3,,
2021-12-28,3408.0,3366,3366,3366,3366,3366,3366,-0.6,-0.6,-0.6,,
2021-12-29,3446.0,3404,3404,3404,3404,3404,3404,-0.6,-0.6,-0.6,,
2021-12-30,3468.0,3419,3419,3419,3419,3419,3419,-0.7,-0.7,-0.7,,
2021-12-31,3482.0,3418,3418,3418,3418,3418,3418,-0.9,-0.9,-0.9,,
2022-01-01,3558.0,3380,3380,3380,3380,3380,3380,-2.6,-2.6,-2.6,,
2022-01-02,3566.0,3482,3482,3482,3482,3482,3482,-1.2,-1.2,-1.2,,
2022-01-03,3595.0,3516,3516,3516,3516,3516,3516,-1.1,-1.1,-1.1,,
2022-01-04,3652.0,3548,3548,3548,3548,3548,3548,-1.5,-1.5,-1.5,,
2022-01-05,3704.0,3586,3586,3586,3586,3586,3586,-1.7,-1.7,-1.7,,
2022-01-06,3707.0,3637,3637,3637,3637,3637,3637,-1.0,-1.0,-1.0,,
2022-01-07,3731.0,3683,3683,3683,3683,3683,3683,-0.7,-0.7,-0.7,3609.1428571428573,3733.884109975104
2022-01-08,3782.0,3725,3725,3725,3725,3725,3725,-0.8,-0.8,-0.8,3609.1428571428573,3759.9409202952756
2022-01-09,3833.0,3765,3765,3765,3765,3765,3765,-1.0,-1.0,-1.0,3609.1428571428573,3785.195889643327
2022-01-10,3855.0,3902,3865,3817,3865,3817,3902,-0.5,0.1,0.7,3609.1428571428573,3809.673692909879
2022-01-11,3810.0,3965,3934,3853,3934,3853,3965,0.6,1.8,2.2,3609.1428571428573,3833.398245670115
2022-01-12,3752.0,4041,3983,3896,3983,3896,4041,2.1,3.3,4.2,3609.1428571428573,3856.392727550047
2022-01-13,3707.0,4128,4037,3941,4037,3941,4128,3.4,4.8,6.1,3609.1428571428573,3878.679604873724
2022-01-14,3708.0,4219,4096,3988,4096,3988,4219,4.0,5.6,7.4,3609.1428571428573,3900.280652613536
2022-01-15,3763.0,4308,4162,4036,4162,4036,4308,3.9,5.8,7.9,3609.1428571428573,3921.2169756650346
2022-01-16,3723.0,4405,4245,4095,4245,4095,4405,5.4,7.5,9.8,3609.1428571428573,3941.5090294670754
2022-01-17,3683.0,4538,4322,4135,4322,4135,4538,6.5,9.2,12.3,3609.1428571428573,3961.1766399874173
2022-01-18,3678.0,4671,4403,4167,4403,4167,4671,7.0,10.5,14.3,3609.1428571428573,3980.239023093308
2022-01-19,3617.0,4802,4486,4197,4486,4197,4802,8.4,12.5,17.1,3609.1428571428573,3998.7148033259864
2022-01-20,3583.0,4949,4573,4232,4573,4232,4949,9.4,14.3,19.7,3609.1428571428573,4016.6220320974376
2022-01-21,3599.0,5081,4663,4266,4663,4266,5081,9.6,15.3,21.4,3609.1428571428573,4033.978205327184
2022-01-22,3604.0,5219,4740,4303,4740,4303,5219,10.1,16.4,23.3,3609.1428571428573,4050.800280536343
2022-01-23,3564.0,5353,4827,4332,4827,4332,5353,11.1,18.2,25.8,3609.1428571428573,4067.104693415652
2022-01-24,3533.0,5481,4891,4355,4891,4355,5481,11.8,19.6,28.1,3609.1428571428573,4082.9073738836505
2022-01-25,3514.0,5599,4961,4373,4961,4373,5599,12.4,20.9,30.1,3609.1428571428573,4098.223761650706
2022-01-26,3475.0,5707,5017,4384,5017,4384,5707,13.1,22.2,32.2,3609.1428571428573,4113.068821304089
2022-01-27,3466.0,5795,5058,4384,5058,4384,5795,13.2,22.9,33.6,3609.1428571428573,4127.457056928845
2022-01-28,3475.0,5874,5101,4384,5101,4384,5874,13.1,23.4,34.6,3609.1428571428573,4141.402526278731
2022-01-29,3522.0,5934,5131,4385,5131,4385,5934,12.4,23.2,34.8,3609.1428571428573,4154.918854511083
2022-01-30,3587.0,5976,5146,4363,5146,4363,5976,11.2,22.5,34.4,3609.1428571428573,4168.0192474990135
2022-01-31,3544.0,5996,5151,4338,5151,4338,5996,11.4,23.2,35.3,3609.1428571428573,4180.716504733968
2022-02-01,3492.0,6001,5136,4358,5136,4358,6001,12.5,23.7,36.2,3609.1428571428573,4193.023031831218
2022-02-02,3472.0,5989,5113,4260,5113,4260,5989,11.4,23.7,36.3,3609.1428571428573,4204.950852650538
2022-02-03,3452.0,5961,5075,4219,5075,4219,5961,11.1,23.4,36.2,3609.1428571428573,4216.511621043888
2022-02-04,3427.0,5908,5037,4165,5037,4165,5908,10.6,23.2,35.8,3609.1428571428573,4227.716632241592
2022-02-05,3460.0,5837,4979,4106,4979,4106,5837,9.3,21.9,34.3,3609.1428571428573,4238.576833888128
2022-02-06,3396.0,5758,4919,4037,4919,4037,5758,9.2,22.0,34.0,3609.1428571428573,4249.102836738315
2022-02-07,3352.0,5666,4830,3974,4830,3974,5666,9.0,21.3,33.4,3609.1428571428573,4259.304925024355
2022-02-08,3259.0,5558,4744,3899,4744,3899,5558,9.2,21.4,33.1,3609.1428571428573,4269.1930665038435
2022-02-09,3218.0,5438,4651,3815,4651,3815,5438,8.6,20.7,32.0,3609.1428571428573,4278.77692219858
2022-02-10,3174.0,5307,4555,3735,4555,3735,5307,8.1,19.9,30.7,3609.1428571428573,4288.065855833691
2022-02-11,3160.0,5161,4441,3648,4441,3648,5161,7.0,18.5,28.8,3609.1428571428573,4297.068942986273
2022-02-12,3151.0,5025,4336,3551,4336,3551,5025,5.8,17.1,27.0,3609.1428571428573,4305.7949799525195
2022-02-13,3089.0,4896,4216,3465,4216,3465,4896,5.4,16.2,26.0,3609.1428571428573,4314.252492341974
2022-02-14,2987.0,4713,4088,3383,4088,3383,4713,5.7,15.9,24.9,3609.1428571428573,4322.4497434073155
2022-02-15,2919.0,4552,3960,3259,3960,3259,4552,4.9,15.0,23.5,3609.1428571428573,4330.3947421178145
2022-02-16,2840.0,4400,3835,3168,3835,3168,4400,4.7,14.3,22.5,3609.1428571428573,4338.095250984345
2022-02-17,2796.0,4230,3704,3065,3704,3065,4230,3.9,13.1,20.7,3609.1428571428573,4345.558793643595
2022-02-18,2800.0,4066,3576,2961,3576,2961,4066,2.3,11.2,18.2,3609.1428571428573,4352.792662208903
2022-02-19,2781.0,3902,3448,2865,3448,2865,3902,1.2,9.6,16.2,3609.1428571428573,4359.803924394866
2022-02-20,2719.0,3737,3315,2763,3315,2763,3737,0.6,8.6,14.7,3609.1428571428573,4366.5994304227315
2022-02-21,2634.0,3579,3187,2657,3187,2657,3579,0.3,8.0,13.6,3609.1428571428573,4373.185819713265
2022-02-22,2541.0,3424,3053,2559,3053,2559,3424,0.3,7.4,12.7,3609.1428571428573,4379.569527373676
2022-02-23,2434.0,3264,2931,2467,2931,2467,3264,0.5,7.2,12.0,3609.1428571428573,4385.756790484917
2022-02-24,2375.0,3111,2807,2400,2807,2400,3111,0.4,6.2,10.6,3609.1428571428573,4391.753654195505
2022-02-25,2381.0,2968,2685,2269,2685,2269,2968,-1.6,4.4,8.5,3609.1428571428573,4397.565977627821
2022-02-26,2344.0,2823,2560,2185,2560,2185,2823,-2.3,3.1,6.9,3609.1428571428573,4403.199439602653
2022-02-27,2302.0,2679,2450,2088,2450,2088,2679,-3.1,2.1,5.4,3609.1428571428573,4408.659544187582
2022-02-28,2228.0,2538,2336,2001,2336,2001,2538,-3.3,1.6,4.5,3609.1428571428573,4413.951626074627
2022-03-01,2131.0,2424,2223,1946,2223,1946,2424,-2.7,1.3,4.2,3609.1428571428573,4419.080855792403
2022-03-02,2061.0,2281,2117,1830,2117,1830,2281,-3.3,0.8,3.2,3609.1428571428573,4424.052244757892
2022-03-03,1993.0,2173,2024,1766,2024,1766,2173,-3.3,0.4,2.6,3609.1428571428573,4428.870650172752
2022-03-04,2001.0,2065,1921,1697,1921,1697,2065,-4.4,-1.2,0.9,3609.1428571428573,4433.54077976895
2022-03-05,2010.0,1968,1824,1592,1824,1592,1968,-6.0,-2.7,-0.6,3609.1428571428573,4438.06719640837
2022-03-06,1953.0,1865,1731,1525,1731,1525,1865,-6.2,-3.2,-1.3,3609.1428571428573,4442.454322540863
2022-03-07,1883.0,1769,1639,1455,1639,1455,1769,-6.2,-3.5,-1.6,3609.1428571428573,4446.706444525125
2022-03-08,1852.0,1677,1552,1404,1552,1404,1677,-6.5,-4.3,-2.5,3609.1428571428573,4450.8277168166
2022-03-09,1801.0,1585,1477,1320,1477,1320,1585,-6.9,-4.7,-3.1,3609.1428571428573,4454.822166026508
2022-03-10,1786.0,1498,1395,1261,1395,1261,1498,-7.6,-5.6,-4.2,3609.1428571428573,4458.693694855979
2022-03-11,1789.0,1415,1312,1182,1312,1182,1415,-8.8,-6.9,-5.4,3609.1428571428573,4462.446085909103
2022-03-12,1760.0,1344,1257,1128,1257,1128,1344,-9.1,-7.3,-6.0,3609.1428571428573,4466.08300538866
2022-03-13,1715.0,1268,1181,1063,1181,1063,1268,-9.4,-7.7,-6.4,3609.1428571428573,4469.60800667811
2022-03-14,1662.0,1196,1118,1004,1118,1004,1196,-9.5,-7.8,-6.7,3609.1428571428573,4473.024533813358
2022-03-15,1630.0,1132,1065,953,1065,953,1132,-9.8,-8.1,-7.2,3609.1428571428573,4476.33592484769
2022-03-16,1608.0,1071,1011,902,1011,902,1071,-10.2,-8.6,-7.7,3609.1428571428573,4479.545415113147
2022-03-17,1581.0,1007,961,859,961,859,1007,-10.4,-8.9,-8.3,3609.1428571428573,4482.656140381551
2022-03-18,1577.0,950,909,805,909,805,950,-11.1,-9.6,-9.0,3609.1428571428573,4485.671139928251
2022-03-19,1567.0,860,860,772,860,772,860,-11.5,-10.2,-10.2,3609.1428571428573,4488.593359501587
2022-03-20,1555.0,816,816,737,816,737,816,-11.8,-10.7,-10.7,3609.1428571428573,4491.425654200979
2022-03-21,1518.0,773,773,703,773,703,773,-11.7,-10.7,-10.7,3609.1428571428573,4494.170791266447
2022-03-22,1478.0,731,731,670,731,670,731,-11.6,-10.8,-10.8,3609.1428571428573,4496.831452782293
2022-03-23,1445.0,690,690,635,690,635,690,-11.7,-10.9,-10.9,3609.1428571428573,4499.410238297581
2022-03-24,1436.0,649,649,602,649,602,649,-12.0,-11.3,-11.3,3609.1428571428573,4501.9096673659715
2022-03-25,1442.0,617,617,560,617,560,617,-12.7,-11.9,-11.9,3609.1428571428573,4504.332182007411
2022-03-26,1485.0,586,586,535,586,535,586,-13.7,-13.0,-13.0,3609.1428571428573,4506.680149094058
2022-03-27,1495.0,557,557,511,557,511,557,-14.2,-13.5,-13.5,3609.1428571428573,4508.95586266279
2022-03-28,1505.0,474,474,474,474,474,474,-14.9,-14.9,-14.9,3609.1428571428573,4511.1615461565525
2022-03-29,1512.0,446,446,446,446,446,446,-15.4,-15.4,-15.4,3609.1428571428573,4513.299354596726
2022-03-30,1500.0,422,422,422,422,422,422,-15.5,-15.5,-15.5,3609.1428571428573,4515.371376688654
2022-03-31,,392,392,392,392,392,392,,,,3609.1428571428573,4517.379636862372
