date,reality,med_fig7b_exit1,med_fig7d_exit1,med,min,max,error_min,error_med,error_max
2020-03-02,4,17,34,25.5,17,34,0.5,0.8,1.1
2020-03-03,6,23,38,30.5,23,38,0.6,0.9,1.1
2020-03-04,9,23,37,30,23,37,0.5,0.7,1
2020-03-05,12,29,44,36.5,29,44,0.6,0.9,1.1
2020-03-06,17,35,44,39.5,35,44,0.6,0.8,0.9
2020-03-07,23,44,55,49.5,44,55,0.7,0.9,1.1
2020-03-08,31,57,64,60.5,57,64,0.9,1,1.2
2020-03-09,41,70,81,75.5,70,81,1,1.2,1.4
2020-03-10,54,82,92,87,82,92,1,1.2,1.3
2020-03-11,71,93,111,102,93,111,0.8,1.1,1.4
2020-03-12,93,127,143,135,127,143,1.2,1.5,1.8
2020-03-13,122,155,181,168,155,181,1.2,1.6,2.1
2020-03-14,160,208,202,205,202,208,1.5,1.6,1.7
2020-03-15,207,262,239,250.5,239,262,1.1,1.5,1.9
2020-03-16,268,322,260,291,260,322,-0.3,0.8,1.9
2020-03-17,342,372,376,374,372,376,1.1,1.1,1.2
2020-03-18,433,422,408,415,408,422,-0.9,-0.6,-0.4
2020-03-19,539,619,478,548.5,478,619,-2.1,0.3,2.8
2020-03-20,662,664,715,689.5,664,715,0.1,1,1.9
2020-03-21,799,803,751,777,751,803,-1.7,-0.8,0.1
2020-03-22,949,1098,999,1048.5,999,1098,1.8,3.5,5.2
2020-03-23,1109,1200,1208,1204,1200,1208,3.2,3.3,3.5
2020-03-24,1277,1549,1404,1476.5,1404,1549,4.5,7,9.5
2020-03-25,1448,1691,1562,1626.5,1562,1691,4,6.3,8.5
2020-03-26,1619,1876,1853,1864.5,1853,1876,8.2,8.6,9
2020-03-27,1788,2008,1966,1987,1966,2008,6.2,7,7.7
2020-03-28,1952,2036,2160,2098,2036,2160,2.9,5.1,7.3
2020-03-29,2110,2280,2264,2272,2264,2280,5.4,5.7,6
2020-03-30,2259,2305,2352,2328.5,2305,2352,1.6,2.4,3.3
2020-03-31,2394,2502,2484,2493,2484,2502,3.2,3.5,3.8
2020-04-01,2515,2548,2534,2541,2534,2548,0.7,0.9,1.2
2020-04-02,2618,2603,2637,2620,2603,2637,-0.5,0.1,0.7
2020-04-03,2702,2639,2693,2666,2639,2693,-2.2,-1.3,-0.3
2020-04-04,2768,2688,2753,2720.5,2688,2753,-2.8,-1.7,-0.5
2020-04-05,2814,2724,2785,2754.5,2724,2785,-3.2,-2.1,-1
2020-04-06,2842,2780,2808,2794,2780,2808,-2.2,-1.7,-1.2
2020-04-07,2852,2815,2821,2818,2815,2821,-1.3,-1.2,-1.1
2020-04-08,2848,2845,2833,2839,2833,2845,-0.5,-0.3,-0.1
2020-04-09,2829,2867,2834,2850.5,2834,2867,0.2,0.8,1.3
2020-04-10,2797,2869,2835,2852,2835,2869,1.3,1.9,2.5
2020-04-11,2755,2874,2835,2854.5,2835,2874,2.8,3.5,4.2
2020-04-12,2705,2874,2832,2853,2832,2874,4.5,5.2,5.9
2020-04-13,2649,2871,2829,2850,2829,2871,6.3,7,7.8
2020-04-14,2589,2868,2817,2842.5,2817,2868,8,8.9,9.8
2020-04-15,2527,2843,2794,2818.5,2794,2843,9.4,10.2,11.1
2020-04-16,2462,2816,2781,2798.5,2781,2816,11.2,11.8,12.4
2020-04-17,2395,2787,2741,2764,2741,2787,12.1,12.9,13.7
2020-04-18,2326,2778,2713,2745.5,2713,2778,13.6,14.7,15.8
2020-04-19,2256,2696,2695,2695.5,2695,2696,15.4,15.4,15.4
2020-04-20,2185,2662,2668,2665,2662,2668,16.7,16.8,16.9
2020-04-21,2115,2625,2638,2631.5,2625,2638,17.9,18.1,18.3
2020-04-22,2045,2590,2573,2581.5,2573,2590,18.5,18.8,19.1
2020-04-23,1976,2555,2548,2551.5,2548,2555,20.1,20.2,20.3
2020-04-24,1909,2513,2522,2517.5,2513,2522,21.2,21.3,21.5
2020-04-25,1843,2488,2497,2492.5,2488,2497,22.6,22.8,22.9
2020-04-26,1778,2448,2474,2461,2448,2474,23.5,23.9,24.4
2020-04-27,1716,2411,2434,2422.5,2411,2434,24.4,24.8,25.2
2020-04-28,1657,2376,2369,2372.5,2369,2376,25,25.1,25.2
2020-04-29,1599,2341,2300,2320.5,2300,2341,24.6,25.3,26
2020-04-30,1544,2297,2272,2284.5,2272,2297,25.5,26,26.4
