date,reality,low,median,high,med,min,max,error_min,error_med,error_max
2020-03-30,2109,2175,2175,2175,2175,2175,2175,2.3,2.3,2.3
2020-03-31,2244,2296,2296,2296,2296,2296,2296,1.8,1.8,1.8
2020-04-01,2365,2358,2358,2358,2358,2358,2358,-0.2,-0.2,-0.2
2020-04-02,2468,2423,2423,2423,2423,2423,2423,-1.6,-1.6,-1.6
2020-04-03,2552,2505,2505,2505,2505,2505,2505,-1.6,-1.6,-1.6
2020-04-04,2618,2526,2526,2526,2526,2526,2526,-3.2,-3.2,-3.2
2020-04-05,2664,2598,2598,2598,2598,2598,2598,-2.3,-2.3,-2.3
2020-04-06,2692,2608,2608,2608,2608,2608,2608,-2.9,-2.9,-2.9
2020-04-07,2702,2633,2633,2633,2633,2633,2633,-2.4,-2.4,-2.4
2020-04-08,2698,2662,2662,2662,2662,2662,2662,-1.3,-1.3,-1.3
2020-04-09,2679,2648,2648,2648,2648,2648,2648,-1.1,-1.1,-1.1
2020-04-10,2647,2649,2649,2649,2649,2649,2649,0.1,0.1,0.1
2020-04-11,2605,2609,2609,2609,2609,2609,2609,0.1,0.1,0.1
2020-04-12,2555,2588,2588,2588,2588,2588,2588,1.2,1.2,1.2
2020-04-13,2499,2522,2522,2522,2522,2522,2522,0.8,0.8,0.8
2020-04-14,2439,2475,2475,2475,2475,2475,2475,1.3,1.3,1.3
2020-04-15,2377,2430,2430,2430,2430,2430,2430,1.9,1.9,1.9
2020-04-16,2312,2374,2374,2374,2374,2374,2374,2.2,2.2,2.2
2020-04-17,2245,2324,2324,2324,2324,2324,2324,2.8,2.8,2.8
2020-04-18,2176,2262,2262,2262,2262,2262,2262,3,3,3
2020-04-19,2106,2203,2203,2203,2203,2203,2203,3.4,3.4,3.4
2020-04-20,2035,2150,2150,2150,2150,2150,2150,4,4,4
2020-04-21,1965,2093,2093,2093,2093,2093,2093,4.5,4.5,4.5
2020-04-22,1895,2018,2018,2018,2018,2018,2018,4.3,4.3,4.3
2020-04-23,1826,1944,1944,1944,1944,1944,1944,4.1,4.1,4.1
2020-04-24,1759,1897,1897,1897,1897,1897,1897,4.8,4.8,4.8
2020-04-25,1693,1836,1836,1836,1836,1836,1836,5,5,5
2020-04-26,1628,1765,1765,1765,1765,1765,1765,4.8,4.8,4.8
2020-04-27,1566,1703,1703,1703,1703,1703,1703,4.8,4.8,4.8
2020-04-28,1507,1656,1656,1656,1656,1656,1656,5.2,5.2,5.2
2020-04-29,1449,1553,1553,1553,1553,1553,1553,3.6,3.6,3.6
2020-04-30,1394,1491,1491,1491,1491,1491,1491,3.4,3.4,3.4
2020-05-01,1341,1429,1429,1429,1429,1429,1429,3.1,3.1,3.1
2020-05-02,1290,1367,1367,1367,1367,1367,1367,2.7,2.7,2.7
2020-05-03,1239,1311,1311,1311,1311,1311,1311,2.5,2.5,2.5
2020-05-04,1190,1259,1259,1259,1259,1259,1259,2.4,2.4,2.4
2020-05-05,1142,1205,1205,1205,1205,1205,1205,2.2,2.2,2.2
2020-05-06,1095,1151,1151,1151,1151,1151,1151,2,2,2
2020-05-07,1048,1094,1094,1094,1094,1094,1094,1.6,1.6,1.6
2020-05-08,1002,1042,1042,1042,1042,1042,1042,1.4,1.4,1.4
2020-05-09,956,1001,1001,1001,1001,1001,1001,1.6,1.6,1.6
2020-05-10,911,954,954,954,954,954,954,1.5,1.5,1.5
2020-05-11,868,881,881,881,881,881,881,0.5,0.5,0.5
2020-05-12,825,864,864,864,864,864,864,1.4,1.4,1.4
2020-05-13,784,828,828,828,828,828,828,1.5,1.5,1.5
2020-05-14,746,791,791,791,791,791,791,1.6,1.6,1.6
2020-05-15,709,747,747,747,747,747,747,1.3,1.3,1.3
2020-05-16,675,716,716,716,716,716,716,1.4,1.4,1.4
2020-05-17,643,684,684,684,684,684,684,1.4,1.4,1.4
2020-05-18,613,652,652,652,652,652,652,1.4,1.4,1.4
2020-05-19,585,619,619,619,619,619,619,1.2,1.2,1.2
2020-05-20,558,594,594,594,594,594,594,1.3,1.3,1.3
2020-05-21,533,580,580,580,580,580,580,1.6,1.6,1.6
2020-05-22,509,565,565,565,565,565,565,2,2,2
2020-05-23,487,516,516,516,516,516,516,1,1,1
2020-05-24,465,506,506,506,506,506,506,1.4,1.4,1.4
2020-05-25,444,493,493,493,493,493,493,1.7,1.7,1.7
2020-05-26,424,485,485,485,485,485,485,2.1,2.1,2.1
2020-05-27,404,467,467,467,467,467,467,2.2,2.2,2.2
2020-05-28,384,450,452,448,450,448,452,2.2,2.3,2.4
2020-05-29,364,443,450,447,447,443,450,2.8,2.9,3
2020-05-30,346,428,455,463,455,428,463,2.9,3.8,4.1
2020-05-31,327,425,453,467,453,425,467,3.4,4.4,4.9
2020-06-01,310,431,458,478,458,431,478,4.2,5.2,5.9
2020-06-02,293,414,453,503,453,414,503,4.2,5.6,7.4
2020-06-03,276,409,458,522,458,409,522,4.7,6.4,8.6
2020-06-04,261,409,469,559,469,409,559,5.2,7.3,10.4
2020-06-05,246,409,479,612,479,409,612,5.7,8.2,12.8
2020-06-06,232,404,484,677,484,404,677,6,8.8,15.6
2020-06-07,219,407,488,735,488,407,735,6.6,9.4,18.1
2020-06-08,206,408,516,814,516,408,814,7.1,10.9,21.3
2020-06-09,195,419,530,906,530,419,906,7.9,11.7,24.9
2020-06-10,184,419,551,1078,551,419,1078,8.2,12.9,31.3
2020-06-11,174,424,565,1168,565,424,1168,8.8,13.7,34.9
2020-06-12,165,434,574,1256,574,434,1256,9.4,14.3,38.3
2020-06-13,156,434,605,1426,605,434,1426,9.7,15.7,44.5
2020-06-14,148,436,620,1551,620,436,1551,10.1,16.5,49.2
2020-06-15,141,429,638,1682,638,429,1682,10.1,17.4,54
2020-06-16,134,424,651,1803,651,424,1803,10.2,18.1,58.5
2020-06-17,127,432,669,1908,669,432,1908,10.7,19,62.4
2020-06-18,120,439,690,2107,690,439,2107,11.2,20,69.7
2020-06-19,114,438,716,2281,716,438,2281,11.4,21.1,76
2020-06-20,108,444,747,2407,747,444,2407,11.8,22.4,80.6
2020-06-21,102,446,778,2481,778,446,2481,12.1,23.7,83.4
2020-06-22,96,443,803,2532,803,443,2532,12.2,24.8,85.4
2020-06-23,89,453,826,2595,826,453,2595,12.8,25.8,87.9
2020-06-24,83,453,862,2640,862,453,2640,13,27.3,89.7
2020-06-25,77,463,902,2677,902,463,2677,13.5,28.9,91.2
2020-06-26,70,463,944,2750,944,463,2750,13.8,30.6,94
2020-06-27,64,463,978,2760,978,463,2760,14,32,94.5
