date,reality,med_5F,med,min,max,error_min,error_med,error_max
2020-03-02,4,-87,-87,-87,-87,-3.2,-3.2,-3.2
2020-03-03,6,-81,-81,-81,-81,-3.1,-3.1,-3.1
2020-03-04,9,-75,-75,-75,-75,-2.9,-2.9,-2.9
2020-03-05,12,-61,-61,-61,-61,-2.6,-2.6,-2.6
2020-03-06,17,-52,-52,-52,-52,-2.4,-2.4,-2.4
2020-03-07,23,-39,-39,-39,-39,-2.2,-2.2,-2.2
2020-03-08,31,-41,-41,-41,-41,-2.5,-2.5,-2.5
2020-03-09,41,-19,-19,-19,-19,-2.1,-2.1,-2.1
2020-03-10,54,0,0,0,0,-1.9,-1.9,-1.9
2020-03-11,71,34,34,34,34,-1.3,-1.3,-1.3
2020-03-12,93,56,56,56,56,-1.3,-1.3,-1.3
2020-03-13,122,83,83,83,83,-1.4,-1.4,-1.4
2020-03-14,160,117,117,117,117,-1.5,-1.5,-1.5
2020-03-15,207,171,171,171,171,-1.3,-1.3,-1.3
2020-03-16,268,206,206,206,206,-2.2,-2.2,-2.2
2020-03-17,342,246,246,246,246,-3.4,-3.4,-3.4
2020-03-18,433,320,320,320,320,-4,-4,-4
2020-03-19,539,443,443,443,443,-3.4,-3.4,-3.4
2020-03-20,662,572,572,572,572,-3.2,-3.2,-3.2
2020-03-21,799,696,696,696,696,-3.6,-3.6,-3.6
2020-03-22,949,808,808,808,808,-4.9,-4.9,-4.9
2020-03-23,1109,1050,1050,1050,1050,-2.1,-2.1,-2.1
2020-03-24,1277,1167,1167,1167,1167,-3.9,-3.9,-3.9
2020-03-25,1448,1491,1491,1491,1491,1.5,1.5,1.5
2020-03-26,1619,1586,1586,1586,1586,-1.2,-1.2,-1.2
2020-03-27,1788,1905,1905,1905,1905,4.1,4.1,4.1
2020-03-28,1952,2072,2072,2072,2072,4.2,4.2,4.2
2020-03-29,2110,2303,2303,2303,2303,6.8,6.8,6.8
2020-03-30,2259,2457,2457,2457,2457,6.9,6.9,6.9
2020-03-31,2394,2567,2567,2567,2567,6.1,6.1,6.1
2020-04-01,2515,2683,2683,2683,2683,5.9,5.9,5.9
2020-04-02,2618,2793,2793,2793,2793,6.1,6.1,6.1
2020-04-03,2702,2840,2840,2840,2840,4.8,4.8,4.8
2020-04-04,2768,2882,2882,2882,2882,4,4,4
2020-04-05,2814,2868,2868,2868,2868,1.9,1.9,1.9
2020-04-06,2842,2873,2873,2873,2873,1.1,1.1,1.1
2020-04-07,2852,2879,2879,2879,2879,0.9,0.9,0.9
2020-04-08,2848,2885,2885,2885,2885,1.3,1.3,1.3
2020-04-09,2829,2891,2891,2891,2891,2.2,2.2,2.2
2020-04-10,2797,2895,2895,2895,2895,3.4,3.4,3.4
2020-04-11,2755,2881,2881,2881,2881,4.4,4.4,4.4
2020-04-12,2705,2837,2837,2837,2837,4.6,4.6,4.6
2020-04-13,2649,2776,2776,2776,2776,4.5,4.5,4.5
2020-04-14,2589,2774,2774,2774,2774,6.5,6.5,6.5
2020-04-15,2527,2733,2733,2733,2733,7.2,7.2,7.2
2020-04-16,2462,2658,2658,2658,2658,6.9,6.9,6.9
2020-04-17,2395,2579,2579,2579,2579,6.5,6.5,6.5
2020-04-18,2326,2529,2529,2529,2529,7.1,7.1,7.1
2020-04-19,2256,2434,2434,2434,2434,6.2,6.2,6.2
2020-04-20,2185,2347,2347,2347,2347,5.7,5.7,5.7
2020-04-21,2115,2262,2262,2262,2262,5.2,5.2,5.2
2020-04-22,2045,2185,2185,2185,2185,4.9,4.9,4.9
2020-04-23,1976,2126,2126,2126,2126,5.3,5.3,5.3
2020-04-24,1909,2067,2067,2067,2067,5.5,5.5,5.5
2020-04-25,1843,2023,2023,2023,2023,6.3,6.3,6.3
2020-04-26,1778,1977,1977,1977,1977,7,7,7
2020-04-27,1716,1904,1904,1904,1904,6.6,6.6,6.6
2020-04-28,1657,1828,1828,1828,1828,6,6,6
2020-04-29,1599,1705,1705,1705,1705,3.7,3.7,3.7
2020-04-30,1544,1614,1614,1614,1614,2.5,2.5,2.5
2020-05-01,1491,1537,1537,1537,1537,1.6,1.6,1.6
2020-05-02,1440,1478,1478,1478,1478,1.3,1.3,1.3
2020-05-03,1389,1415,1415,1415,1415,0.9,0.9,0.9
2020-05-04,1340,1353,1353,1353,1353,0.5,0.5,0.5
2020-05-05,1292,1279,1279,1279,1279,-0.5,-0.5,-0.5
2020-05-06,1245,1220,1220,1220,1220,-0.9,-0.9,-0.9
2020-05-07,1198,1184,1184,1184,1184,-0.5,-0.5,-0.5
2020-05-08,1152,1134,1134,1134,1134,-0.6,-0.6,-0.6
2020-05-09,1106,1068,1068,1068,1068,-1.3,-1.3,-1.3
2020-05-10,1061,1051,1051,1051,1051,-0.4,-0.4,-0.4
2020-05-11,1018,957,957,957,957,-2.1,-2.1,-2.1
2020-05-12,975,909,909,909,909,-2.3,-2.3,-2.3
2020-05-13,934,882,882,882,882,-1.8,-1.8,-1.8
2020-05-14,896,825,825,825,825,-2.5,-2.5,-2.5
2020-05-15,859,770,770,770,770,-3.1,-3.1,-3.1
2020-05-16,825,716,716,716,716,-3.8,-3.8,-3.8
2020-05-17,793,679,679,679,679,-4,-4,-4
2020-05-18,763,663,663,663,663,-3.5,-3.5,-3.5
2020-05-19,735,644,644,644,644,-3.2,-3.2,-3.2
2020-05-20,708,625,625,625,625,-2.9,-2.9,-2.9
2020-05-21,683,591,591,591,591,-3.2,-3.2,-3.2
2020-05-22,659,550,550,550,550,-3.8,-3.8,-3.8
2020-05-23,637,529,529,529,529,-3.8,-3.8,-3.8
2020-05-24,615,498,498,498,498,-4.1,-4.1,-4.1
2020-05-25,594,475,475,475,475,-4.2,-4.2,-4.2
2020-05-26,574,446,446,446,446,-4.5,-4.5,-4.5
2020-05-27,554,418,418,418,418,-4.8,-4.8,-4.8
2020-05-28,534,410,410,410,410,-4.3,-4.3,-4.3
2020-05-29,514,401,401,401,401,-4,-4,-4
2020-05-30,496,389,389,389,389,-3.8,-3.8,-3.8
2020-05-31,477,376,376,376,376,-3.5,-3.5,-3.5
2020-06-01,460,361,361,361,361,-3.5,-3.5,-3.5
2020-06-02,443,346,346,346,346,-3.4,-3.4,-3.4
2020-06-03,426,332,332,332,332,-3.3,-3.3,-3.3
2020-06-04,411,322,322,322,322,-3.1,-3.1,-3.1
2020-06-05,396,320,320,320,320,-2.7,-2.7,-2.7
2020-06-06,382,320,320,320,320,-2.2,-2.2,-2.2
2020-06-07,369,311,311,311,311,-2,-2,-2
2020-06-08,356,312,312,312,312,-1.5,-1.5,-1.5
2020-06-09,345,306,306,306,306,-1.4,-1.4,-1.4
2020-06-10,334,304,304,304,304,-1.1,-1.1,-1.1
2020-06-11,324,302,302,302,302,-0.8,-0.8,-0.8
2020-06-12,315,299,299,299,299,-0.6,-0.6,-0.6
2020-06-13,306,299,299,299,299,-0.2,-0.2,-0.2
2020-06-14,298,299,299,299,299,0,0,0
2020-06-15,291,299,299,299,299,0.3,0.3,0.3
2020-06-16,284,303,303,303,303,0.7,0.7,0.7
2020-06-17,277,305,305,305,305,1,1,1
2020-06-18,270,321,321,321,321,1.8,1.8,1.8
2020-06-19,264,327,327,327,327,2.2,2.2,2.2
2020-06-20,258,341,341,341,341,2.9,2.9,2.9
2020-06-21,252,354,354,354,354,3.6,3.6,3.6
2020-06-22,246,366,366,366,366,4.2,4.2,4.2
2020-06-23,239,382,382,382,382,5,5,5
2020-06-24,233,399,399,399,399,5.8,5.8,5.8
2020-06-25,227,432,432,432,432,7.2,7.2,7.2
2020-06-26,220,463,463,463,463,8.5,8.5,8.5
2020-06-27,214,494,494,494,494,9.8,9.8,9.8
2020-06-28,207,523,523,523,523,11.1,11.1,11.1
2020-06-29,201,562,562,562,562,12.7,12.7,12.7
2020-06-30,195,603,603,603,603,14.3,14.3,14.3
2020-07-01,189,652,652,652,652,16.2,16.2,16.2
2020-07-02,183,691,691,691,691,17.8,17.8,17.8
2020-07-03,177,747,747,747,747,20,20,20
2020-07-04,172,813,813,813,813,22.5,22.5,22.5
2020-07-05,167,883,883,883,883,25.1,25.1,25.1
2020-07-06,163,962,962,962,962,28,28,28
2020-07-07,159,1046,1046,1046,1046,31.1,31.1,31.1
2020-07-08,156,1143,1143,1143,1143,34.6,34.6,34.6
2020-07-09,153,1244,1244,1244,1244,38.3,38.3,38.3
2020-07-10,151,1350,1350,1350,1350,42,42,42
2020-07-11,149,1449,1449,1449,1449,45.6,45.6,45.6
2020-07-12,148,1561,1561,1561,1561,49.5,49.5,49.5
2020-07-13,146,1676,1676,1676,1676,53.6,53.6,53.6
2020-07-14,144,1788,1788,1788,1788,57.6,57.6,57.6
2020-07-15,142,1894,1894,1894,1894,61.4,61.4,61.4
2020-07-16,140,2003,2003,2003,2003,65.3,65.3,65.3
2020-07-17,138,2106,2106,2106,2106,69,69,69
2020-07-18,135,2210,2210,2210,2210,72.8,72.8,72.8
2020-07-19,133,2320,2320,2320,2320,76.7,76.7,76.7
2020-07-20,130,2429,2429,2429,2429,80.6,80.6,80.6
2020-07-21,128,2529,2529,2529,2529,84.2,84.2,84.2
2020-07-22,125,2625,2625,2625,2625,87.7,87.7,87.7
2020-07-23,123,2714,2714,2714,2714,90.8,90.8,90.8
2020-07-24,121,2802,2802,2802,2802,94,94,94
2020-07-25,120,2877,2877,2877,2877,96.7,96.7,96.7
