date,reality,med_fig2,med,min,max,error_min,error_med,error_max
2020-08-31,52,74,74,74,74,1.8,1.8,1.8
2020-09-01,54,74,74,74,74,1.7,1.7,1.7
2020-09-02,56,75,75,75,75,1.6,1.6,1.6
2020-09-03,58,78,78,78,78,1.7,1.7,1.7
2020-09-04,61,79,79,79,79,1.5,1.5,1.5
2020-09-05,64,81,81,81,81,1.4,1.4,1.4
2020-09-06,67,85,85,85,85,1.5,1.5,1.5
2020-09-07,71,88,88,88,88,1.4,1.4,1.4
2020-09-08,76,88,88,88,88,1,1,1
2020-09-09,81,88,88,88,88,0.6,0.6,0.6
2020-09-10,86,79,79,79,79,-0.6,-0.6,-0.6
2020-09-11,93,84,84,84,84,-0.7,-0.7,-0.7
2020-09-12,99,91,91,91,91,-0.7,-0.7,-0.7
2020-09-13,107,94,94,94,94,-1.1,-1.1,-1.1
2020-09-14,114,100,100,100,100,-1.2,-1.2,-1.2
2020-09-15,122,102,102,102,102,-1.7,-1.7,-1.7
2020-09-16,130,101,101,101,101,-2.4,-2.4,-2.4
2020-09-17,137,104,104,104,104,-2.7,-2.7,-2.7
2020-09-18,143,106,106,106,106,-3.1,-3.1,-3.1
2020-09-19,148,110,110,110,110,-3.1,-3.1,-3.1
2020-09-20,152,118,118,118,118,-2.8,-2.8,-2.8
2020-09-21,155,123,123,123,123,-2.6,-2.6,-2.6
2020-09-22,156,128,128,128,128,-2.3,-2.3,-2.3
2020-09-23,158,129,129,129,129,-2.4,-2.4,-2.4
2020-09-24,159,133,133,133,133,-2.1,-2.1,-2.1
2020-09-25,159,144,144,144,144,-1.2,-1.2,-1.2
2020-09-26,160,160,160,160,160,0,0,0
2020-09-27,161,159,159,159,159,-0.2,-0.2,-0.2
2020-09-28,162,169,169,169,169,0.6,0.6,0.6
2020-09-29,164,166,166,166,166,0.2,0.2,0.2
2020-09-30,166,194,194,194,194,2.3,2.3,2.3
2020-10-01,169,200,200,200,200,2.6,2.6,2.6
2020-10-02,173,210,210,210,210,3.1,3.1,3.1
2020-10-03,177,216,216,216,216,3.2,3.2,3.2
2020-10-04,182,225,225,225,225,3.6,3.6,3.6
2020-10-05,188,231,231,231,231,3.6,3.6,3.6
2020-10-06,193,240,240,240,240,3.9,3.9,3.9
2020-10-07,200,248,248,248,248,4,4,4
2020-10-08,207,257,257,257,257,4.1,4.1,4.1
2020-10-09,214,268,268,268,268,4.5,4.5,4.5
2020-10-10,223,276,276,276,276,4.4,4.4,4.4
2020-10-11,233,296,296,296,296,5.2,5.2,5.2
2020-10-12,243,303,303,303,303,5,5,5
2020-10-13,255,313,313,313,313,4.8,4.8,4.8
2020-10-14,267,318,318,318,318,4.2,4.2,4.2
2020-10-15,281,336,336,336,336,4.5,4.5,4.5
2020-10-16,294,347,347,347,347,4.4,4.4,4.4
2020-10-17,308,362,362,362,362,4.5,4.5,4.5
2020-10-18,322,372,372,372,372,4.1,4.1,4.1
2020-10-19,335,388,388,388,388,4.4,4.4,4.4
2020-10-20,347,383,383,383,383,3,3,3
2020-10-21,360,402,402,402,402,3.5,3.5,3.5
2020-10-22,372,418,418,418,418,3.8,3.8,3.8
2020-10-23,384,428,428,428,428,3.6,3.6,3.6
2020-10-24,396,435,435,435,435,3.2,3.2,3.2
2020-10-25,407,452,452,452,452,3.7,3.7,3.7
2020-10-26,416,481,481,481,481,5.4,5.4,5.4
2020-10-27,424,477,477,477,477,4.4,4.4,4.4
2020-10-28,431,490,490,490,490,4.9,4.9,4.9
2020-10-29,436,502,502,502,502,5.5,5.5,5.5
2020-10-30,439,513,513,513,513,6.1,6.1,6.1
2020-10-31,440,526,526,526,526,7.1,7.1,7.1
2020-11-01,438,541,541,541,541,8.5,8.5,8.5
2020-11-02,433,552,552,552,552,9.8,9.8,9.8
2020-11-03,427,561,561,561,561,11.1,11.1,11.1
2020-11-04,418,579,579,579,579,13.3,13.3,13.3
2020-11-05,408,589,589,589,589,15,15,15
2020-11-06,397,594,594,594,594,16.3,16.3,16.3
2020-11-07,385,589,589,589,589,16.9,16.9,16.9
2020-11-08,373,578,578,578,578,16.9,16.9,16.9
2020-11-09,359,564,564,564,564,16.9,16.9,16.9
2020-11-10,345,534,534,534,534,15.6,15.6,15.6
2020-11-11,331,511,511,511,511,14.9,14.9,14.9
2020-11-12,317,491,491,491,491,14.4,14.4,14.4
2020-11-13,304,469,469,469,469,13.6,13.6,13.6
2020-11-14,291,453,453,453,453,13.4,13.4,13.4
2020-11-15,278,436,436,436,436,13.1,13.1,13.1
2020-11-16,266,422,422,422,422,12.9,12.9,12.9
