date,reality,green1,green2,green3,blue1,blue2,blue3,med,min,max,error_min,error_med,error_max
2020-10-02,585.1224489795918,499.0816326530612,499.0816326530612,499.0816326530612,499.0816326530612,499.0816326530612,499.0816326530612,499.0816326530612,499.0816326530612,499.0816326530612,-2.8,-2.8,-2.8
2020-10-03,606.2448979591837,512.8775510204082,512.8775510204082,512.8775510204082,512.8775510204082,512.8775510204082,512.8775510204082,512.8775510204082,512.8775510204082,512.8775510204082,-3.1,-3.1,-3.1
2020-10-04,627.3673469387755,526.6734693877551,526.6734693877551,526.6734693877551,526.6734693877551,526.6734693877551,526.6734693877551,526.6734693877551,526.6734693877551,526.6734693877551,-3.3,-3.3,-3.3
2020-10-05,648.4897959183673,540.469387755102,540.469387755102,540.469387755102,540.469387755102,540.469387755102,540.469387755102,540.469387755102,540.469387755102,540.469387755102,-3.6,-3.6,-3.6
2020-10-06,669.6122448979593,554.265306122449,554.265306122449,554.265306122449,554.265306122449,554.265306122449,554.265306122449,554.265306122449,554.265306122449,554.265306122449,-3.8,-3.8,-3.8
2020-10-07,690.7346938775511,568.0612244897959,568.0612244897959,568.0612244897959,568.0612244897959,568.0612244897959,568.0612244897959,568.0612244897959,568.0612244897959,568.0612244897959,-4,-4,-4
2020-10-08,711.8571428571429,581.8571428571429,581.8571428571429,581.8571428571429,581.8571428571429,581.8571428571429,581.8571428571429,581.8571428571429,581.8571428571429,581.8571428571429,-4.3,-4.3,-4.3
2020-10-09,766.3469387755102,634.5918367346939,634.5918367346939,634.5918367346939,634.5918367346939,634.5918367346939,634.5918367346939,634.5918367346939,634.5918367346939,634.5918367346939,-4.3,-4.3,-4.3
2020-10-10,820.8367346938776,687.3265306122449,687.3265306122449,687.3265306122449,687.3265306122449,687.3265306122449,687.3265306122449,687.3265306122449,687.3265306122449,687.3265306122449,-4.4,-4.4,-4.4
2020-10-11,875.3265306122448,740.0612244897959,740.0612244897959,740.0612244897959,740.0612244897959,740.0612244897959,740.0612244897959,740.0612244897959,740.0612244897959,740.0612244897959,-4.5,-4.5,-4.5
