date,reality,cerfew_vaccine,cerfew_no_vaccine,R1,R09,VOC_40,VOC_70,med,min,max,error_min,error_med,error_max,constant_baseline,damped_trend_baseline
2021-01-16,1241,1350,1350,1350.0,1350.0,1350.0,1350.0,1350.0,1350,1350,3.6,3.6,3.6,,
2021-01-17,1262,1372,1372,1372.0,1372.0,1372.0,1372.0,1372.0,1372,1372,3.6,3.6,3.6,,
2021-01-18,1280,1400,1400,1400.0,1400.0,1400.0,1400.0,1400.0,1400,1400,4.0,4.0,4.0,,
2021-01-19,1295,1413,1413,1413.0,1413.0,1413.0,1413.0,1413.0,1413,1413,3.9,3.9,3.9,,
2021-01-20,1307,1451,1451,1451.0,1451.0,1451.0,1451.0,1451.0,1451,1451,4.7,4.7,4.7,,
2021-01-21,1317,1487,1487,1487.0,1487.0,1487.0,1487.0,1487.0,1487,1487,5.6,5.6,5.6,,
2021-01-22,1323,1521,1521,1521.0,1521.0,1521.0,1521.0,1521.0,1521,1521,6.5,6.5,6.5,,
2021-01-23,1328,1547,1547,1547.0,1547.0,1547.0,1547.0,1547.0,1547,1547,7.2,7.2,7.2,,
2021-01-24,1331,1567,1567,1567.0,1567.0,1567.0,1567.0,1567.0,1567,1567,7.8,7.8,7.8,,
2021-01-25,1333,1593,1593,1593.0,1570.0,1574.0,1600.0,1593.0,1570,1600,7.8,8.6,8.8,,
2021-01-26,1334,1616,1616,1616.0,1572.0,1582.0,1634.0,1616.0,1572,1634,7.8,9.3,9.9,,
2021-01-27,1335,1642,1642,1642.0,1575.0,1589.0,1667.0,1642.0,1575,1667,7.9,10.1,10.9,,
2021-01-28,1335,1669,1669,1669.0,1578.0,1596.0,1700.0,1669.0,1578,1700,8.0,11.0,12.0,,
2021-01-29,1334,1687,1687,1687.0,1580.0,1603.0,1733.0,1687.0,1580,1733,8.1,11.6,13.1,,
2021-01-30,1331,1711,1711,1711.0,1583.0,1611.0,1767.0,1711.0,1583,1767,8.3,12.5,14.4,,
2021-01-31,1327,1731,1731,1731.0,1585.0,1618.0,1800.0,1731.0,1585,1800,8.5,13.3,15.6,,
2021-02-01,1320,1735,1735,1747.0,1588.0,1625.0,1833.0,1735.0,1588,1833,8.8,13.7,16.9,,
2021-02-02,1311,1740,1740,1765.0,1584.0,1649.0,1851.0,1740.0,1584,1851,9.0,14.1,17.8,,
2021-02-03,1300,1745,1745,1781.0,1614.0,1669.0,1876.0,1745.0,1614,1876,10.3,14.7,19.0,,
2021-02-04,1286,1745,1745,1807.0,1626.0,1662.0,1901.0,1745.0,1626,1901,11.2,15.1,20.3,,
2021-02-05,1270,1745,1745,1823.0,1627.0,1662.0,1918.0,1745.0,1627,1918,11.8,15.6,21.3,,
2021-02-06,1251,1760,1746,1837.0,1612.0,1660.0,1943.0,1753.0,1612,1943,11.9,16.5,22.8,,
2021-02-07,1230,1745,1745,1861.0,1608.0,1652.0,1980.0,1745.0,1608,1980,12.5,17.0,24.7,,
2021-02-08,1209,1772,1758,1882.0,1601.0,1652.0,2006.0,1765.0,1601,2006,12.9,18.3,26.3,1281.142857142857,1209.4550004700563
2021-02-09,1187,1774,1775,1905.0,1595.0,1652.0,2032.0,1774.5,1595,2032,13.4,19.4,27.8,1281.142857142857,1189.3551429650897
2021-02-10,1167,1775,1775,1946.0,1589.0,1653.0,2060.0,1775.0,1589,2060,13.9,20.0,29.4,1281.142857142857,1169.690782767638
2021-02-11,1149,1775,1775,1968.0,1576.0,1643.0,2100.0,1775.0,1576,2100,14.1,20.6,31.3,1281.142857142857,1150.4524840941483
2021-02-12,1135,1775,1775,1984.0,1575.0,1642.0,2140.0,1775.0,1575,2140,14.5,21.1,33.1,1281.142857142857,1131.6310156032307
2021-02-13,1123,1775,1786,2003.0,1563.0,1631.0,2172.0,1780.5,1563,2172,14.5,21.7,34.6,1281.142857142857,1113.2173459660735
2021-02-14,1115,1775,1805,2029.0,1553.0,1621.0,2203.0,1790.0,1553,2203,14.4,22.2,35.8,1281.142857142857,1095.2026395328326
2021-02-15,1111,1775,1815,2045.0,1544.0,1622.0,2257.0,1795.0,1544,2257,14.3,22.5,37.7,1281.142857142857,1077.5782520929183
2021-02-16,1110,1773,1834,2065.0,1537.0,1617.0,2287.0,1803.5,1537,2287,14.1,22.8,38.8,1281.142857142857,1060.3357267271394
2021-02-17,1112,1790,1834,2086.0,1526.0,1602.0,2343.0,1812.0,1526,2343,13.6,23.1,40.5,1281.142857142857,1043.466789749721
2021-02-18,1116,1789,1837,2106.0,1514.0,1602.0,2393.0,1813.0,1514,2393,13.1,23.0,42.1,1281.142857142857,1026.9633467382416
2021-02-19,1122,1789,1828,2128.0,1513.0,1604.0,2452.0,1808.5,1513,2452,12.9,22.6,43.8,1281.142857142857,1010.8174786495919
2021-02-20,1130,1790,1866,2147.0,1501.0,1583.0,2499.0,1828.0,1501,2499,12.2,23.0,45.1,1281.142857142857,995.0214380200848
2021-02-21,1139,1800,1903,2168.0,1490.0,1583.0,2562.0,1851.5,1490,2562,11.6,23.5,46.9,1281.142857142857,979.5676452478992
2021-02-22,1148,1804,1916,2189.0,1482.0,1562.0,2616.0,1860.0,1482,2616,11.0,23.5,48.4,1281.142857142857,964.4486849560691
2021-02-23,1158,1804,1929,2210.0,1473.0,1563.0,2684.0,1866.5,1473,2684,10.4,23.3,50.3,1281.142857142857,949.6573024342747
2021-02-24,1166,1804,1942,2236.0,1464.0,1542.0,2752.0,1873.0,1464,2752,9.8,23.3,52.2,1281.142857142857,935.1864001577293
2021-02-25,1173,1814,1972,2257.0,1452.0,1542.0,2822.0,1893.0,1452,2822,9.2,23.7,54.3,1281.142857142857,921.0290343814893
2021-02-26,1179,1817,2006,2284.0,1450.0,1522.0,2916.0,1911.5,1450,2916,8.9,24.1,57.2,1281.142857142857,907.1784118085545
2021-02-27,1182,1835,2035,2304.0,1438.0,1523.0,2998.0,1935.0,1438,2998,8.4,24.8,59.8,1281.142857142857,893.6278863301601
2021-02-28,1184,1833,2045,2329.0,1434.0,1503.0,3088.0,1939.0,1434,3088,8.2,24.9,62.7,1281.142857142857,880.370955836695
2021-03-01,1185,1833,2076,2357.0,1426.0,1505.0,3154.0,1954.5,1426,3154,7.9,25.3,64.9,1281.142857142857,867.4012590977172
2021-03-02,1187,1833,2099,2385.0,1418.0,1484.0,3244.0,1966.0,1418,3244,7.6,25.7,67.8,1281.142857142857,854.7125727095697
2021-03-03,1188,1832,2134,2399.0,1411.0,,,1983.0,1411,2399,7.3,26.2,39.9,1281.142857142857,842.2988081091299
2021-03-04,1190,1863,2170,,,,,2016.5,1863,2170,22.2,27.2,32.3,1281.142857142857,830.1540086522627
2021-03-05,1194,1869,2206,,,,,2037.5,1869,2206,22.2,27.8,33.3,1281.142857142857,818.2723467555732
2021-03-06,1198,1893,2242,,,,,2067.5,1893,2242,22.9,28.6,34.4,1281.142857142857,806.6481211000871
2021-03-07,1205,1898,2269,,,,,2083.5,1898,2269,22.8,28.9,35.0,1281.142857142857,795.2757538955209
2021-03-08,1214,1928,2319,,,,,2123.5,1928,2319,23.5,30.0,36.4,1281.142857142857,784.1497882038226
2021-03-09,1226,1951,2375,,,,,2163.0,1951,2375,23.9,30.9,37.8,1281.142857142857,773.264885320706
2021-03-10,1240,1972,2425,,,,,2198.5,1972,2425,24.1,31.6,39.0,1281.142857142857,762.6158222139153
2021-03-11,1258,2001,2457,,,,,2229.0,2001,2457,24.5,32.0,39.5,1281.142857142857,752.1974890169968
2021-03-12,1280,2029,2513,,,,,2271.0,2029,2513,24.7,32.6,40.6,1281.142857142857,742.0048865773697
2021-03-13,1303,2069,2533,,,,,2301.0,2069,2533,25.2,32.9,40.5,1281.142857142857,732.0331240575246
2021-03-14,1330,2106,2599,,,,,2352.5,2106,2599,25.6,33.7,41.8,1281.142857142857,722.277416588194
2021-03-15,1357,2138,2668,,,,,2403.0,2138,2668,25.7,34.5,43.2,1281.142857142857,712.7330829723717
2021-03-16,1386,2175,2724,,,,,2449.5,2175,2724,26.0,35.0,44.1,1281.142857142857,703.395543439079
2021-03-17,1416,2228,2775,,,,,2501.5,2228,2775,26.7,35.8,44.8,1281.142857142857,694.260317445798
2021-03-18,1447,2251,2840,,,,,2545.5,2251,2840,26.5,36.2,45.9,1281.142857142857,685.3230215285203
2021-03-19,1476,2314,2938,,,,,2626.0,2314,2938,27.6,37.9,48.2,1281.142857142857,676.5793671983768
