date,reality,blue_full_60,blue_dashed_60,orange_full_60,orange_dashed_60,purple_full_60,purple_dashed_60,blue_full_40,blue_dashed_40,orange_full_40,orange_dashed_40,purple_full_40,purple_dashed_40,med,min,max,error_min,error_med,error_max,constant_baseline,arima_baseline,trend_baseline,holts_linear_baseline,damped_trend_baseline
2021-03-16,1386,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390.0,1390,1390,0.1,0.1,0.1,1348.0,1366.339043993912,1364.142857142857,1366.0213010629138,
2021-03-17,1416,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430.0,1430,1430,0.5,0.5,0.5,1348.0,1383.8901456878446,1380.2857142857142,1386.5940757686394,
2021-03-18,1447,1453,1453,1453,1453,1453,1453,1453,1453,1453,1453,1453,1453,1453.0,1453,1453,0.2,0.2,0.2,1348.0,1407.9567754017314,1396.428571428571,1407.1668504743652,
2021-03-19,1476,1467,1467,1467,1467,1467,1467,1467,1467,1467,1467,1467,1467,1467.0,1467,1467,-0.3,-0.3,-0.3,1348.0,1432.0234051156183,1412.5714285714284,1427.7396251800908,
2021-03-20,1504,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479.0,1479,1479,-0.8,-0.8,-0.8,1348.0,1456.0900348295052,1428.7142857142856,1448.3123998858164,
2021-03-21,1529,1516,1516,1516,1516,1516,1516,1516,1516,1516,1516,1516,1516,1516.0,1516,1516,-0.4,-0.4,-0.4,1348.0,1480.156664543392,1444.857142857143,1468.8851745915422,
2021-03-22,1552,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542.0,1542,1542,-0.3,-0.3,-0.3,1348.0,1504.223294257279,1460.9999999999998,1489.4579492972678,
2021-03-23,1575,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569.0,1569,1569,-0.2,-0.2,-0.2,1348.0,1528.2899239711658,1477.1428571428569,1510.030724002993,
2021-03-24,1598,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595.0,1595,1595,-0.1,-0.1,-0.1,1348.0,1552.3565536850526,1493.285714285714,1530.603498708719,
2021-03-25,1622,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641.0,1641,1641,0.6,0.6,0.6,1348.0,1576.4231833989395,1509.428571428571,1551.1762734144445,
2021-03-26,1646,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656.0,1656,1656,0.3,0.3,0.3,1348.0,1600.4898131128264,1525.5714285714282,1571.7490481201703,
2021-03-27,1670,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669.0,1669,1669,-0.0,-0.0,-0.0,1348.0,1624.5564428267132,1541.714285714285,1592.321822825896,
2021-03-28,1693,1692,1692,1692,1692,1692,1692,1692,1692,1692,1692,1692,1692,1692.0,1692,1692,-0.0,-0.0,-0.0,1348.0,1648.6230725406,1557.8571428571424,1612.8945975316217,
2021-03-29,1717,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729.0,1729,1729,0.4,0.4,0.4,1348.0,1672.689702254487,1573.9999999999995,1633.4673722373473,
2021-03-30,1739,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746.0,1746,1746,0.2,0.2,0.2,1348.0,1696.7563319683738,1590.1428571428569,1654.0401469430728,
2021-03-31,1760,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765.0,1765,1765,0.2,0.2,0.2,1348.0,1720.8229616822607,1606.2857142857138,1674.6129216487984,
2021-04-01,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780.0,1780,1780,0.0,0.0,0.0,1348.0,1744.8895913961476,1622.4285714285709,1695.185696354524,
2021-04-02,1798,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788.0,1788,1788,-0.3,-0.3,-0.3,1348.0,1768.9562211100344,1638.571428571428,1715.7584710602496,
2021-04-03,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811.0,1811,1811,0.0,0.0,0.0,1348.0,1793.022850823921,1654.714285714285,1736.3312457659754,
2021-04-04,1819,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808.0,1808,1808,-0.4,-0.4,-0.4,1348.0,1817.089480537808,1670.8571428571422,1756.904020471701,
2021-04-05,1820,1821,1821,1821,1821,1821,1821,1821,1821,1821,1821,1821,1821,1821.0,1821,1821,0.0,0.0,0.0,1348.0,1841.156110251695,1686.999999999999,1777.4767951774263,
2021-04-06,1816,1837,1837,1837,1837,1837,1837,1837,1837,1837,1837,1837,1837,1837.0,1837,1837,0.7,0.7,0.7,1348.0,1865.222739965582,1703.1428571428564,1798.0495698831523,
2021-04-07,1806,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836.0,1836,1836,1.0,1.0,1.0,1348.0,1889.2893696794688,1719.2857142857135,1818.622344588878,
2021-04-08,1794,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836,1836.0,1836,1836,1.4,1.4,1.4,1348.0,1913.3559993933557,1735.4285714285706,1839.1951192946035,
2021-04-09,1778,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810.0,1810,1810,1.1,1.1,1.1,1348.0,1937.4226291072423,1751.5714285714278,1859.767894000329,
2021-04-10,1758,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790.0,1790,1790,1.1,1.1,1.1,1348.0,1961.4892588211296,1767.7142857142849,1880.3406687060549,
2021-04-11,1736,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774.0,1774,1774,1.3,1.3,1.3,1348.0,1985.5558885350165,1783.857142857142,1900.9134434117805,
2021-04-12,1713,1729,1704,1729,1704,1729,1704,1729,1704,1729,1704,1729,1704,1716.5,1704,1729,-0.3,0.1,0.5,1348.0,2009.6225182489031,1799.999999999999,1921.486218117506,
2021-04-13,1690,1728,1699,1728,1699,1728,1699,1728,1699,1728,1699,1728,1699,1713.5,1699,1728,0.3,0.8,1.3,1348.0,2033.68914796279,1816.142857142856,1942.0589928232316,
2021-04-14,1668,1717,1694,1717,1694,1717,1694,1717,1694,1717,1694,1717,1694,1705.5,1694,1717,0.9,1.2,1.6,1348.0,2057.7557776766766,1832.2857142857133,1962.6317675289577,
2021-04-15,1648,1687,1681,1687,1681,1687,1681,1687,1681,1687,1681,1687,1681,1684.0,1681,1687,1.1,1.2,1.3,1348.0,2081.8224073905635,1848.4285714285704,1983.204542234683,
