date,reality,blue_full,blue_dashed,purple_full,purple_dashed,pink_full,pink_dashed,med,min,max,error_min,error_med,error_max,constant_baseline,arima_baseline,trend_baseline,holts_linear_baseline,damped_trend_baseline
2021-07-16,139,82,82,82,82,82,82,82.0,82,82,-1.9,-1.9,-1.9,98.0,100.15360786355994,105.71428571428572,107.70802731501756,
2021-07-17,155,107,107,107,107,107,107,107.0,107,107,-1.6,-1.6,-1.6,98.0,112.23546156513171,113.42857142857144,118.46729121270756,
2021-07-18,159,131,131,131,131,131,131,131.0,131,131,-0.9,-0.9,-0.9,98.0,121.94808320580148,121.14285714285715,129.22655511039756,
2021-07-19,192,147,147,147,147,147,147,147.0,147,147,-1.5,-1.5,-1.5,98.0,127.48254438053996,128.8571428571429,139.98581900808756,
2021-07-20,200,175,175,175,175,175,175,175.0,175,175,-0.8,-0.8,-0.8,98.0,137.7108153276409,136.5714285714286,150.74508290577756,
2021-07-21,227,196,196,196,196,196,196,196.0,196,196,-1.0,-1.0,-1.0,98.0,146.81644146909835,144.2857142857143,161.50434680346757,
2021-07-22,242,185,185,185,185,185,185,185.0,185,185,-1.9,-1.9,-1.9,98.0,153.94872046033362,152.00000000000006,172.26361070115755,
2021-07-23,261,240,240,240,240,240,240,240.0,240,240,-0.7,-0.7,-0.7,98.0,163.3001061384412,159.71428571428578,183.0228745988476,
2021-07-24,273,242,242,242,242,242,242,242.0,242,242,-1.0,-1.0,-1.0,98.0,172.11953751026184,167.4285714285715,193.7821384965376,
2021-07-25,303,294,294,294,294,294,294,294.0,294,294,-0.3,-0.3,-0.3,98.0,180.00695728173582,175.14285714285722,204.5414023942276,
2021-07-26,327,310,310,310,310,310,310,310.0,310,310,-0.6,-0.6,-0.6,242.57142857142858,188.9435102139162,182.85714285714295,215.3006662919176,313.7111933381188
2021-07-27,358,327,327,327,327,327,327,327.0,327,327,-1.0,-1.0,-1.0,242.57142857142858,197.62800340396367,190.57142857142867,226.05993018960757,331.28326745691464
2021-07-28,381,365,365,365,365,365,365,365.0,365,365,-0.5,-0.5,-0.5,242.57142857142858,205.8723081981644,198.2857142857144,236.81919408729755,348.7674812051165
2021-07-29,420,403,403,403,403,403,403,403.0,403,403,-0.6,-0.6,-0.6,242.57142857142858,214.61261425443308,206.0000000000001,247.5784579849876,366.1642738845773
2021-07-30,439,446,446,446,446,446,446,446.0,446,446,0.2,0.2,0.2,242.57142857142858,223.23348579282091,213.71428571428584,258.33772188267756,383.4740826006409
2021-07-31,458,495,501,501,501,501,501,501.0,495,501,1.2,1.4,1.4,242.57142857142858,231.64645693974123,221.42857142857156,269.0969857803676,400.6973422731241
2021-08-01,482,550,566,566,566,566,566,566.0,550,566,2.2,2.8,2.8,242.57142857142858,240.2939236789648,229.14285714285728,279.85624967805757,417.8344856472449
2021-08-02,506,604,615,615,615,615,615,615.0,604,615,3.2,3.6,3.6,242.57142857142858,248.88479862415576,236.857142857143,290.6155135757476,434.8859433044951
2021-08-03,529,675,675,675,675,675,675,675.0,675,675,4.8,4.8,4.8,242.57142857142858,257.3774826176322,244.57142857142873,301.3747774734376,451.85214367345907
2021-08-04,549,735,746,746,702,746,746,746.0,702,746,5.0,6.5,6.5,242.57142857142858,265.98102953321865,252.28571428571445,312.13404137112764,468.73351304057815
2021-08-05,574,806,806,757,762,740,740,759.5,740,806,5.5,6.1,7.6,242.57142857142858,274.55776166473413,260.00000000000017,322.8933052688176,485.5304755608617
2021-08-06,588,871,871,817,817,806,806,817.0,806,871,7.2,7.5,9.3,242.57142857142858,283.0881184595537,267.7142857142859,333.65256916650765,502.2434532685438
2021-08-07,604,953,969,876,887,855,855,881.5,855,969,8.3,9.1,12.0,242.57142857142858,291.67088809457607,275.4285714285716,344.4118330641976,518.8728660876875
2021-08-08,616,1051,1051,974,957,920,920,965.5,920,1051,10.0,11.5,14.3,242.57142857142858,300.24095221086765,283.14285714285734,355.1710969618876,535.4191318427355
2021-08-09,618,1116,1116,1034,1002,974,969,1018.0,969,1116,11.6,13.2,16.4,242.57142857142858,308.78911340170896,290.85714285714306,365.9303608595776,551.8826662690083
2021-08-10,621,1225,1219,1111,1088,1015,1002,1099.5,1002,1225,12.5,15.8,19.9,242.57142857142858,317.3620538793672,298.5714285714288,376.6896247572676,568.2638830231497
2021-08-11,628,1320,1312,1212,1182,1040,1013,1197.0,1013,1320,12.7,18.7,22.8,242.57142857142858,325.92897420075224,306.2857142857145,387.4488886549576,584.5631936935204
2021-08-12,627,1432,1426,1301,1292,1083,1051,1296.5,1051,1432,14.0,22.1,26.5,242.57142857142858,334.485549852726,314.0000000000002,398.2081525526476,600.7810078105391
2021-08-13,628,1535,1493,1377,1356,1149,1064,1366.5,1064,1535,14.4,24.3,29.9,242.57142857142858,343.05384043330866,321.71428571428595,408.9674164503376,616.9177328569729
2021-08-14,628,1673,1579,1444,1388,1152,1072,1416.0,1072,1673,14.6,26.0,34.4,242.57142857142858,351.61927854833056,329.4285714285717,419.7266803480276,632.9737742781745
2021-08-15,624,1781,1689,1534,1463,1219,1089,1498.5,1089,1781,15.3,28.8,38.1,242.57142857142858,360.17983092113684,337.1428571428574,430.4859442457176,648.94953549227
