date,reality,RedVacc,RedR,OrangeR,LightBlueR,DarkBlueR,med,min,max,error_min,error_med,error_max,constant_baseline,arima_baseline,trend_baseline,holts_linear_baseline,damped_trend_baseline
2021-07-16,139,125,125,125,125,125,125,125,125,-0.5,-0.5,-0.5,119.0,138.00000000000065,123.28571428571428,114.87619595029608,
2021-07-17,155,148,148,148,148,148,148,148,148,-0.2,-0.2,-0.2,119.0,157.00000000000125,127.57142857142856,118.26905372579232,
2021-07-18,159,143,143,143,143,143,143,143,143,-0.5,-0.5,-0.5,119.0,176.00000000000188,131.85714285714283,121.66191150128854,
2021-07-19,192,203,203,203,203,203,203,203,203,0.4,0.4,0.4,119.0,195.0000000000025,136.1428571428571,125.05476927678475,
2021-07-20,200,184,184,184,184,184,184,184,184,-0.5,-0.5,-0.5,119.0,214.00000000000313,140.4285714285714,128.447627052281,
2021-07-21,227,243,243,243,243,243,243,243,243,0.5,0.5,0.5,119.0,233.00000000000375,144.7142857142857,131.84048482777723,
2021-07-22,242,242,242,242,242,242,242,242,242,0.0,0.0,0.0,119.0,252.0000000000044,148.99999999999994,135.23334260327346,
2021-07-23,261,256,256,256,256,256,256,256,256,-0.2,-0.2,-0.2,119.0,271.000000000005,153.28571428571422,138.62620037876968,
2021-07-24,273,267,267,267,267,267,267,267,267,-0.2,-0.2,-0.2,119.0,290.0000000000056,157.5714285714285,142.0190581542659,
2021-07-25,303,311,311,311,311,311,311,311,311,0.3,0.3,0.3,119.0,309.00000000000625,161.85714285714278,145.41191592976213,
2021-07-26,327,371,371,371,371,371,371,371,371,1.4,1.4,1.4,119.0,328.0000000000069,166.14285714285705,148.80477370525838,
2021-07-27,358,398,398,398,398,398,398,398,398,1.3,1.3,1.3,119.0,347.0000000000075,170.42857142857133,152.1976314807546,
2021-07-28,381,410,410,410,410,410,410,410,410,1.0,1.0,1.0,119.0,366.0000000000082,174.7142857142856,155.59048925625083,
2021-07-29,420,475,475,475,475,475,475,475,475,1.8,1.8,1.8,119.0,385.0000000000087,178.9999999999999,158.98334703174706,
2021-07-30,439,480,480,480,480,480,480,480,480,1.4,1.4,1.4,119.0,404.0000000000094,183.28571428571416,162.37620480724328,
2021-07-31,458,419,419,419,419,419,419,419,419,-1.3,-1.3,-1.3,119.0,423.00000000001,187.57142857142844,165.76906258273954,
2021-08-01,482,541,536,536,536,536,536,536,541,1.8,1.8,1.9,119.0,442.00000000001063,191.85714285714272,169.16192035823576,
2021-08-02,506,583,579,579,579,579,579,579,583,2.4,2.4,2.5,119.0,461.00000000001125,196.142857142857,172.554778133732,
2021-08-03,529,633,629,629,629,629,629,629,633,3.3,3.3,3.4,119.0,480.0000000000119,200.42857142857127,175.9476359092282,
2021-08-04,549,683,666,666,666,666,666,666,683,3.9,3.9,4.4,119.0,499.0000000000125,204.71428571428555,179.34049368472444,
2021-08-05,574,740,753,709,709,709,709,709,753,4.4,4.4,5.9,483.2857142857143,518.0000000000132,208.99999999999983,182.73335146022063,571.5522823566732
2021-08-06,588,790,802,790,765,734,790,734,802,4.8,6.7,7.0,483.2857142857143,537.0000000000139,213.2857142857141,186.12620923571689,593.1107463736232
