date,reality,green_full,blue_full,blue_dashed,red_dot,red_full,red_dashed,red_dot_90,red_full_90,red_dashed_90,vacc_red_dashed,vacc_red_line,vacc_red_dot,vacc_blue_dashed,vacc_blue_line,vacc_gree_line,med,min,max,error_min,error_med,error_max,constant_baseline,damped_trend_baseline
2021-09-16,254,268,268,268,268.0,268.0,268.0,268.0,268.0,268.0,,,,,,,268.0,268,268,0.5,0.5,0.5,,
2021-09-17,238,252,252,252,252.0,252.0,252.0,252.0,252.0,252.0,,,,,,,252.0,252,252,0.5,0.5,0.5,,
2021-09-18,226,244,244,244,244.0,244.0,244.0,244.0,244.0,244.0,,,,,,,244.0,244,244,0.6,0.6,0.6,,
2021-09-19,218,245,245,245,245.0,245.0,245.0,245.0,245.0,245.0,,,,,,,245.0,245,245,0.9,0.9,0.9,,
2021-09-20,213,239,239,239,239.0,239.0,239.0,239.0,239.0,239.0,,,,,,,239.0,239,239,0.9,0.9,0.9,,
2021-09-21,202,230,230,230,230.0,230.0,230.0,230.0,230.0,230.0,,,,,,,230.0,230,230,0.9,0.9,0.9,,
2021-09-22,194,218,218,218,218.0,218.0,218.0,218.0,218.0,218.0,,,,,,,218.0,218,218,0.8,0.8,0.8,,
2021-09-23,189,204,204,204,204.0,204.0,204.0,204.0,204.0,204.0,,,,,,,204.0,204,204,0.5,0.5,0.5,,
2021-09-24,188,195,195,195,195.0,195.0,195.0,195.0,195.0,195.0,,,,,,,195.0,195,195,0.2,0.2,0.2,,
2021-09-25,180,194,194,194,194.0,194.0,194.0,194.0,194.0,194.0,,,,,,,194.0,194,194,0.5,0.5,0.5,,
2021-09-26,165,183,183,183,183.0,183.0,183.0,183.0,183.0,183.0,,,,,,,183.0,183,183,0.6,0.6,0.6,,
2021-09-27,162,185,185,185,185.0,185.0,185.0,185.0,185.0,185.0,,,,,,,185.0,185,185,0.8,0.8,0.8,,
2021-09-28,159,187,187,187,187.0,187.0,187.0,187.0,187.0,187.0,,,,,,,187.0,187,187,0.9,0.9,0.9,,
2021-09-29,171,187,187,187,187.0,187.0,187.0,187.0,187.0,187.0,,,,,,,187.0,187,187,0.5,0.5,0.5,,
2021-09-30,165,187,187,187,187.0,187.0,187.0,187.0,187.0,187.0,,,,,,,187.0,187,187,0.7,0.7,0.7,,
2021-10-01,159,151,151,151,151.0,151.0,151.0,151.0,151.0,151.0,,,,,,136.0,151.0,136,151,-0.8,-0.3,-0.3,,
2021-10-02,155,143,143,143,143.0,143.0,143.0,143.0,143.0,143.0,,,,,,128.0,143.0,128,143,-0.9,-0.4,-0.4,,
2021-10-03,160,136,136,136,136.0,136.0,136.0,136.0,136.0,136.0,,,,,,127.0,136.0,127,136,-1.1,-0.8,-0.8,,
2021-10-04,161,131,131,131,131.0,131.0,131.0,131.0,131.0,131.0,,,,,,116.0,131.0,116,131,-1.5,-1.0,-1.0,161.57142857142858,154.19748749152075
2021-10-05,161,126,126,126,126.0,126.0,126.0,126.0,126.0,126.0,,,,,,113.0,126.0,113,126,-1.6,-1.2,-1.2,161.57142857142858,152.91440400760533
2021-10-06,157,121,121,121,121.0,121.0,121.0,121.0,121.0,121.0,,,,,,106.0,121.0,106,121,-1.7,-1.2,-1.2,161.57142857142858,151.78810446096287
2021-10-07,156,116,116,116,116.0,116.0,116.0,116.0,116.0,116.0,,,,,,104.0,116.0,104,116,-1.7,-1.3,-1.3,161.57142857142858,150.79943093763464
2021-10-08,159,115,115,115,115.0,115.0,115.0,115.0,115.0,115.0,,,,,,96.0,115.0,96,115,-2.1,-1.4,-1.4,161.57142857142858,149.9315664883909
2021-10-09,163,109,109,109,109.0,109.0,109.0,109.0,109.0,109.0,,,,,,88.0,109.0,88,109,-2.5,-1.8,-1.8,161.57142857142858,149.16974907901434
2021-10-10,169,103,103,103,103.0,103.0,103.0,103.0,103.0,103.0,,,,,,89.0,103.0,89,103,-2.6,-2.2,-2.2,161.57142857142858,148.50102049388224
2021-10-11,165,101,101,101,101.0,101.0,101.0,101.0,101.0,101.0,,,,,,85.0,101.0,85,101,-2.6,-2.1,-2.1,161.57142857142858,147.91400592179633
2021-10-12,164,96,96,96,96.0,96.0,96.0,96.0,96.0,96.0,,,,,,74.0,96.0,74,96,-3.0,-2.2,-2.2,161.57142857142858,147.3987204749014
2021-10-13,164,94,94,94,94.0,94.0,94.0,94.0,94.0,94.0,,,,,,72.0,94.0,72,94,-3.0,-2.3,-2.3,161.57142857142858,146.9463993496554
