date,reality,blue,green,red,med,min,max,error_min,error_med,error_max,constant_baseline,damped_trend_baseline
2021-12-02,779.0,828,828,828.0,828,828,828.0,1.6,1.6,1.6,,
2021-12-03,807.0,849,849,849.0,849,849,849.0,1.4,1.4,1.4,,
2021-12-04,835.0,918,918,918.0,918,918,918.0,2.7,2.7,2.7,,
2021-12-05,864.0,915,915,915.0,915,915,915.0,1.7,1.7,1.7,,
2021-12-06,892.0,906,906,906.0,906,906,906.0,0.5,0.5,0.5,,
2021-12-07,920.0,969,969,969.0,969,969,969.0,1.6,1.6,1.6,,
2021-12-08,948.0,979,979,979.0,979,979,979.0,1.0,1.0,1.0,,
2021-12-09,968.0,987,987,987.0,987,987,987.0,0.6,0.6,0.6,,
2021-12-10,989.0,1020,1020,1020.0,1020,1020,1020.0,1.0,1.0,1.0,,
2021-12-11,1001.0,1056,1056,1056.0,1056,1056,1056.0,1.8,1.8,1.8,,
2021-12-12,1010.0,1070,1070,1070.0,1070,1070,1070.0,2.0,2.0,2.0,,
2021-12-13,1020.0,1035,1035,1035.0,1035,1035,1035.0,0.5,0.5,0.5,,
2021-12-14,1019.0,1020,1020,1020.0,1020,1020,1020.0,0.0,0.0,0.0,,
2021-12-15,1029.0,1043,1043,1043.0,1043,1043,1043.0,0.5,0.5,0.5,,
2021-12-16,1033.0,1030,1030,1030.0,1030,1030,1030.0,-0.1,-0.1,-0.1,,
2021-12-17,1034.0,1073,1073,1073.0,1073,1073,1073.0,1.3,1.3,1.3,,
2021-12-18,1034.0,1057,1057,1057.0,1057,1057,1057.0,0.8,0.8,0.8,,
2021-12-19,1032.0,1056,1056,1056.0,1056,1056,1056.0,0.8,0.8,0.8,,
2021-12-20,1042.0,1033,1033,1033.0,1033,1033,1033.0,-0.3,-0.3,-0.3,,
2021-12-21,1050.0,1057,1057,1057.0,1057,1057,1057.0,0.2,0.2,0.2,,
2021-12-22,1063.0,1066,1066,1066.0,1066,1066,1066.0,0.1,0.1,0.1,,
2021-12-23,1082.0,1082,1082,1082.0,1082,1082,1082.0,0.0,0.0,0.0,,
2021-12-24,1083.0,1102,1102,1102.0,1102,1102,1102.0,0.6,0.6,0.6,,
2021-12-25,1106.0,1124,1124,1124.0,1124,1124,1124.0,0.6,0.6,0.6,,
2021-12-26,1148.0,1134,1134,1134.0,1134,1134,1134.0,-0.5,-0.5,-0.5,,
2021-12-27,1188.0,1170,1170,1170.0,1170,1170,1170.0,-0.6,-0.6,-0.6,,
2021-12-28,1244.0,1195,1195,1195.0,1195,1195,1195.0,-1.6,-1.6,-1.6,,
2021-12-29,1297.0,1253,1253,1253.0,1253,1253,1253.0,-1.4,-1.4,-1.4,,
2021-12-30,1355.0,1297,1297,1297.0,1297,1297,1297.0,-1.9,-1.9,-1.9,,
2021-12-31,1407.0,1318,1318,1318.0,1318,1318,1318.0,-2.9,-2.9,-2.9,,
2022-01-01,1430.0,1406,1406,1406.0,1406,1406,1406.0,-0.8,-0.8,-0.8,,
2022-01-02,1464.0,1486,1486,1486.0,1486,1486,1486.0,0.7,0.7,0.7,,
2022-01-03,1532.0,1496,1496,1496.0,1496,1496,1496.0,-1.2,-1.2,-1.2,,
