date,reality,med_fig7b_exit1,med_fig7d_exit1
2020-03-01,33,13,10
2020-03-02,27,13,22
2020-03-03,27,13,19
2020-03-04,27,12,28
2020-03-05,33,17,34
2020-03-06,38,23,38
2020-03-07,49,23,37
2020-03-08,60,29,44
2020-03-09,71,35,44
2020-03-10,104,44,55
2020-03-11,104,57,64
2020-03-12,126,70,81
2020-03-13,143,82,92
2020-03-14,231,93,111
2020-03-15,319,127,143
2020-03-16,368,155,181
2020-03-17,456,208,202
2020-03-18,522,262,239
2020-03-19,605,322,260
2020-03-20,676,372,376
2020-03-21,775,422,408
2020-03-22,902,619,478
2020-03-23,1072,664,715
2020-03-24,1248,803,751
2020-03-25,1441,1098,999
2020-03-26,1617,1200,1208
2020-03-27,1776,1549,1404
2020-03-28,1925,1691,1562
2020-03-29,2035,1876,1853
2020-03-30,2184,2008,1966
2020-03-31,2404,2036,2160
2020-04-01,2563,2280,2264
2020-04-02,2673,2305,2352
2020-04-03,2767,2502,2484
2020-04-04,2800,2548,2534
2020-04-05,2855,2603,2637
2020-04-06,2937,2639,2693
2020-04-07,2899,2688,2753
2020-04-08,,2724,2785
2020-04-09,,2780,2808
2020-04-10,,2815,2821
2020-04-11,,2845,2833
2020-04-12,,2867,2834
2020-04-13,,2869,2835
2020-04-14,,2874,2835
2020-04-15,,2874,2832
2020-04-16,,2871,2829
2020-04-17,,2868,2817
2020-04-18,,2843,2794
2020-04-19,,2816,2781
2020-04-20,,2787,2741
2020-04-21,,2778,2713
2020-04-22,,2696,2695
2020-04-23,,2662,2668
2020-04-24,,2625,2638
2020-04-25,,2590,2573
2020-04-26,,2555,2548
2020-04-27,,2513,2522
2020-04-28,,2488,2497
2020-04-29,,2448,2474
2020-04-30,,2411,2434
2020-05-01,,2376,2369
2020-05-02,,2341,2300
2020-05-03,,2297,2272
2020-05-04,,2239,2232
2020-05-05,,2220,2205
2020-05-06,,2174,2159
2020-05-07,,2151,2130
2020-05-08,,2127,2077
2020-05-09,,2103,2052
2020-05-10,,2077,2003
2020-05-11,,2044,1977
2020-05-12,,2026,1937
2020-05-13,,1999,1875
2020-05-14,,1976,1832
2020-05-15,,1968,1803
2020-05-16,,1959,1767
2020-05-17,,1958,1704
2020-05-18,,1942,1673
2020-05-19,,1937,1602
2020-05-20,,1931,1568
2020-05-21,,1918,1524
2020-05-22,,1891,1490
2020-05-23,,1883,1468
2020-05-24,,1870,1445
2020-05-25,,1858,1396
2020-05-26,,1856,1364
2020-05-27,,1849,1335
2020-05-28,,1843,1300
2020-05-29,,1825,1269
2020-05-30,,1823,1235
2020-05-31,,1817,1215
2020-06-01,,1800,1166
2020-06-02,,1792,1135
2020-06-03,,1790,1105
2020-06-04,,1784,1062
2020-06-05,,1778,1041
2020-06-06,,1779,1019
2020-06-07,,1770,1007
2020-06-08,,1771,977
2020-06-09,,1771,966
2020-06-10,,1771,949
2020-06-11,,1771,932
2020-06-12,,1764,920
2020-06-13,,1758,906
2020-06-14,,1755,894
2020-06-15,,1755,874
2020-06-16,,1755,858
2020-06-17,,1748,848
2020-06-18,,1749,839
2020-06-19,,1740,829
2020-06-20,,1740,826
2020-06-21,,1732,819
2020-06-22,,1729,814
2020-06-23,,1726,809
2020-06-24,,1726,805
2020-06-25,,1717,799
2020-06-26,,1714,789
2020-06-27,,1710,780
2020-06-28,,1710,770
2020-06-29,,1708,760
2020-06-30,,1702,753
2020-07-01,,1702,744
2020-07-02,,1696,742
2020-07-03,,1695,738
2020-07-04,,1691,736
2020-07-05,,1691,741
2020-07-06,,1690,736
2020-07-07,,1687,731
2020-07-08,,1686,724
2020-07-09,,1679,721
2020-07-10,,1677,717
2020-07-11,,1668,714
2020-07-12,,1660,706
2020-07-13,,1653,707
2020-07-14,,1648,707
2020-07-15,,1642,704
2020-07-16,,1631,701
2020-07-17,,1645,701
2020-07-18,,1640,700
2020-07-19,,1642,700
2020-07-20,,1641,700
2020-07-21,,1638,700
2020-07-22,,1634,700
2020-07-23,,1630,699
2020-07-24,,1627,693
2020-07-25,,1624,694
2020-07-26,,1622,694
2020-07-27,,1612,694
2020-07-28,,1610,690
2020-07-29,,1607,687
2020-07-30,,1597,684
2020-07-31,,1597,680
2020-08-01,,1592,680
2020-08-02,,1586,680
2020-08-03,,1581,680
2020-08-04,,1577,680
2020-08-05,,1575,680
2020-08-06,,1568,675
2020-08-07,,1566,673
2020-08-08,,1558,673
2020-08-09,,1558,670
2020-08-10,,1551,670
2020-08-11,,1547,670
2020-08-12,,1542,670
2020-08-13,,1533,670
2020-08-14,,1522,670
2020-08-15,,1512,670
2020-08-16,,1503,670
2020-08-17,,1501,670
2020-08-18,,1486,670
2020-08-19,,1474,670
2020-08-20,,1467,670
2020-08-21,,1456,670
2020-08-22,,1452,673
2020-08-23,,1439,676
2020-08-24,,1433,680
2020-08-25,,1425,680
2020-08-26,,1417,675
2020-08-27,,1411,673
2020-08-28,,1406,673
2020-08-29,,1402,673
2020-08-30,,1392,671
2020-08-31,,1383,670
,,1379,670
,,1376,
,,1370,
,,1369,
,,1362,
,,1358,
,,1350,
,,1337,
,,1335,
,,1324,
,,1313,
,,1311,
,,1297,
,,1290,
,,1288,
,,1282,
,,1271,
,,1265,
,,1252,
,,1247,
,,1243,
,,1230,
,,1225,
,,1213,
,,1200,
,,1190,
,,1176,
,,1166,
,,1147,
,,1142,
,,1131,
,,1121,
,,1122,
