date,reality,med_5F
2020-03-01,,
2020-03-02,2,13
2020-03-03,7,19
2020-03-04,7,25
2020-03-05,12,39
2020-03-06,17,48
2020-03-07,22,61
2020-03-08,32,59
2020-03-09,47,81
2020-03-10,56,100
2020-03-11,66,134
2020-03-12,88,156
2020-03-13,96,183
2020-03-14,169,217
2020-03-15,232,271
2020-03-16,291,306
2020-03-17,381,346
2020-03-18,442,420
2020-03-19,571,543
2020-03-20,718,672
2020-03-21,832,796
2020-03-22,964,908
2020-03-23,1154,1150
2020-03-24,1301,1267
2020-03-25,1452,1591
2020-03-26,1647,1686
2020-03-27,1823,2005
2020-03-28,1964,2172
2020-03-29,2099,2403
2020-03-30,2267,2557
2020-03-31,2433,2667
2020-04-01,2589,2783
2020-04-02,2687,2893
2020-04-03,2770,2940
2020-04-04,2833,2982
2020-04-05,2867,2968
2020-04-06,2911,2973
2020-04-07,2945,2979
2020-04-08,2897,2985
2020-04-09,2848,2991
2020-04-10,2819,2995
2020-04-11,2784,2981
2020-04-12,2767,2937
2020-04-13,2765,2876
2020-04-14,2682,2874
2020-04-15,2599,2833
2020-04-16,2531,2758
2020-04-17,2438,2679
2020-04-18,2419,2629
2020-04-19,2387,2534
2020-04-20,2302,2447
2020-04-21,2214,2362
2020-04-22,2161,2285
2020-04-23,2095,2226
2020-04-24,2039,2167
2020-04-25,2012,2123
2020-04-26,2000,2077
2020-04-27,1907,2004
2020-04-28,1824,1928
2020-04-29,,1805
2020-04-30,,1714
2020-05-01,,1637
2020-05-02,,1578
2020-05-03,,1515
2020-05-04,,1453
2020-05-05,,1379
2020-05-06,,1320
2020-05-07,,1284
2020-05-08,,1234
2020-05-09,,1168
2020-05-10,,1151
2020-05-11,,1057
2020-05-12,,1009
2020-05-13,,982
2020-05-14,,925
2020-05-15,,870
2020-05-16,,816
2020-05-17,,779
2020-05-18,,763
2020-05-19,,744
2020-05-20,,725
2020-05-21,,691
2020-05-22,,650
2020-05-23,,629
2020-05-24,,598
2020-05-25,,575
2020-05-26,,546
2020-05-27,,518
2020-05-28,,510
2020-05-29,,501
2020-05-30,,489
2020-05-31,,476
2020-06-01,,461
2020-06-02,,446
2020-06-03,,432
2020-06-04,,422
2020-06-05,,420
2020-06-06,,420
2020-06-07,,411
2020-06-08,,412
2020-06-09,,406
2020-06-10,,404
2020-06-11,,402
2020-06-12,,399
2020-06-13,,399
2020-06-14,,399
2020-06-15,,399
2020-06-16,,403
2020-06-17,,405
2020-06-18,,421
2020-06-19,,427
2020-06-20,,441
2020-06-21,,454
2020-06-22,,466
2020-06-23,,482
2020-06-24,,499
2020-06-25,,532
2020-06-26,,563
2020-06-27,,594
2020-06-28,,623
2020-06-29,,662
2020-06-30,,703
2020-07-01,,752
2020-07-02,,791
2020-07-03,,847
2020-07-04,,913
2020-07-05,,983
2020-07-06,,1062
2020-07-07,,1146
2020-07-08,,1243
2020-07-09,,1344
2020-07-10,,1450
2020-07-11,,1549
2020-07-12,,1661
2020-07-13,,1776
2020-07-14,,1888
2020-07-15,,1994
2020-07-16,,2103
2020-07-17,,2206
2020-07-18,,2310
2020-07-19,,2420
2020-07-20,,2529
2020-07-21,,2629
2020-07-22,,2725
2020-07-23,,2814
2020-07-24,,2902
2020-07-25,,2977
2020-07-26,,
2020-07-27,,
2020-07-28,,
2020-07-29,,
2020-07-30,,
2020-07-31,,
