date,reality,med_fig2
2020-08-30,37,
2020-08-31,73,74
2020-09-01,56,74
2020-09-02,69,75
2020-09-03,,78
2020-09-04,,79
2020-09-05,,81
2020-09-06,51,85
2020-09-07,79,88
2020-09-08,,88
2020-09-09,69,88
2020-09-10,105,79
2020-09-11,,84
2020-09-12,83,91
2020-09-13,70,94
2020-09-14,125,100
2020-09-15,164,102
2020-09-16,143,101
2020-09-17,132,104
2020-09-18,208,106
2020-09-19,116,110
2020-09-20,145,118
2020-09-21,177,123
2020-09-22,189,128
2020-09-23,163,129
2020-09-24,154,133
2020-09-25,140,144
2020-09-26,,160
2020-09-27,98,159
2020-09-28,203,169
2020-09-29,190,166
2020-09-30,180,194
2020-10-01,171,200
2020-10-02,,210
2020-10-03,193,216
2020-10-04,135,225
2020-10-05,211,231
2020-10-06,215,240
2020-10-07,184,248
2020-10-08,218,257
2020-10-09,220,268
2020-10-10,190,276
2020-10-11,173,296
2020-10-12,279,303
2020-10-13,295,313
2020-10-14,289,318
2020-10-15,,336
2020-10-16,317,347
2020-10-17,265,362
2020-10-18,233,372
2020-10-19,369,388
2020-10-20,414,383
2020-10-21,,402
2020-10-22,,418
2020-10-23,419,428
2020-10-24,314,435
2020-10-25,301,452
2020-10-26,472,481
2020-10-27,,477
2020-10-28,,490
2020-10-29,452,502
2020-10-30,430,513
2020-10-31,394,526
2020-11-01,432,541
2020-11-02,,552
2020-11-03,,561
2020-11-04,,579
2020-11-05,,589
2020-11-06,,594
2020-11-07,,589
2020-11-08,,578
2020-11-09,,564
2020-11-10,,534
2020-11-11,,511
2020-11-12,,491
2020-11-13,,469
2020-11-14,,453
2020-11-15,,436
2020-11-16,,422
2020-11-17,,407
2020-11-18,,393
2020-11-19,,385
2020-11-20,,372
2020-11-21,,363
2020-11-22,,354
2020-11-23,,341
2020-11-24,,331
2020-11-25,,325
2020-11-26,,316
2020-11-27,,306
2020-11-28,,297
2020-11-29,,290
2020-11-30,,283
2020-12-01,,278
2020-12-02,,271
2020-12-03,,262
2020-12-04,,256
2020-12-05,,246
2020-12-06,,240
2020-12-07,,234
2020-12-08,,227
2020-12-09,,218
2020-12-10,,211
2020-12-11,,206
2020-12-12,,199
2020-12-13,,193
2020-12-14,,189
2020-12-15,,183
2020-12-16,,177
2020-12-17,,173
2020-12-18,,169
2020-12-19,,172
2020-12-20,,
2020-12-21,,
2020-12-22,,
2020-12-23,,
2020-12-24,,
