date,reality,vaccination,trans_feb_blue,trans_feb_green,trans_feb_orange,trans_feb_red,trans_mar_blue,trans_mar_green,trans_mar_orange,trans_mar_red,VOC_blue,VOC_green,VOC_red
2021/01/15,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227
2021/01/16,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236
2021/01/17,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251
2021/01/18,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251
2021/01/19,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,1284
2021/01/20,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294
2021/01/21,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293
2021/01/22,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293
2021/01/23,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293,1293
2021/01/24,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299,1299
2021/01/25,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314
2021/01/26,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337
2021/01/27,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336
2021/01/28,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337
2021/01/29,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337,1337
2021/01/30,1327,1327,1327,1327,1327,1327,1327,1327,1327,1327,1327,1327,1327
2021/01/31,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314
2021/02/01,1316,1285,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316
2021/02/02,1303,1287,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303
2021/02/03,1292,1263,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292
2021/02/04,1289,1265,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289
2021/02/05,1256,1242,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256
2021/02/06,1249,1217,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249
2021/02/07,1244,1214,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244
2021/02/08,1212,1170,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212
2021/02/09,1183,1172,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183,1183
2021/02/10,1177,1150,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177
2021/02/11,1145,1129,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145
2021/02/12,1117,1105,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117
2021/02/13,1109,1083,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109
2021/02/14,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076
2021/02/15,,1062,1062,1062,1062,1093,1076,1076,1076,1076,1093,1055,1055
2021/02/16,,1037,1037,1037,1037,1094,1041,1041,1041,1041,1026,1082,1082
2021/02/17,,1016,1016,1016,1016,1077,1028,1028,1028,1028,1004,1050,1050
2021/02/18,,970,970,970,970,1046,1026,1026,1026,1026,1002,1019,1052
2021/02/19,,969,969,969,969,1027,981,981,981,981,985,1012,1050
2021/02/20,,969,969,969,969,1010,990,990,990,990,972,961,1059
2021/02/21,,961,961,961,961,982,938,938,938,938,936,960,963
2021/02/22,,927,927,927,927,986,945,945,945,945,946,942,1022
2021/02/23,,901,901,901,901,964,923,923,923,923,939,923,945
2021/02/24,,901,901,901,901,940,900,900,900,900,897,897,937
2021/02/25,,902,944,944,944,925,869,869,869,869,888,901,934
