date,reality,fig3A_R_1,fig3A_R_1_1,fig3A_R_1_2,fig3A_R_1_3,fig3C_R_1,fig3C_R_1_1,fig3C_R_1_2,fig3C_R_1_3,fig3E_R_1
2021/01/01,2595,,,,,,,,,
2021/01/02,2618,,,,,,,,,
2021/01/03,2647,2429,2429,2429,2429,2429,2429,2429,2429,2429
2021/01/04,2635,2437,2437,2437,2437,2437,2437,2437,2437,2437
2021/01/05,2575,2445,2445,2445,2445,2445,2445,2445,2445,2445
2021/01/06,2554,2447,2447,2447,2447,2447,2447,2447,2447,2447
2021/01/07,2546,2471,2471,2471,2471,2471,2471,2471,2471,2471
2021/01/08,2538,2482,2482,2482,2482,2482,2482,2482,2482,2482
2021/01/09,2603,2482,2482,2482,2482,2482,2482,2482,2482,2482
2021/01/10,2637,2495,2495,2495,2495,2495,2495,2495,2495,2495
2021/01/11,2644,2505,2505,2505,2505,2505,2505,2505,2505,2505
2021/01/12,2646,2525,2525,2525,2525,2525,2525,2525,2525,2525
2021/01/13,2653,2564,2564,2564,2564,2564,2564,2564,2564,2564
2021/01/14,2665,2572,2572,2572,2572,2572,2572,2572,2572,2572
2021/01/15,2694,2599,2599,2599,2599,2599,2599,2599,2599,2599
2021/01/16,2750,2646,2646,2646,2646,2646,2646,2646,2646,2646
2021/01/17,2806,2683,2683,2683,2683,2683,2683,2683,2683,2683
2021/01/18,2796,2720,2720,2720,2720,2720,2720,2720,2720,2720
2021/01/19,2794,2765,2765,2765,2765,2765,2765,2765,2765,2765
2021/01/20,2887,2794,2794,2794,2794,2794,2794,2794,2794,2794
2021/01/21,2920,2835,2835,2835,2835,2835,2835,2835,2835,2835
2021/01/22,2912,2876,2876,2876,2876,2876,2876,2876,2876,2876
2021/01/23,3023,2914,2914,2914,2914,2914,2914,2914,2914,2914
2021/01/24,3089,2953,2953,2953,2953,2953,2953,2953,2953,2953
2021/01/25,3126,2995,2995,2995,2995,2995,2995,2995,2995,2995
2021/01/26,3131,3034,3034,3034,3034,3034,3034,3034,3034,3034
2021/01/27,3136,3075,3075,3075,3075,3075,3075,3075,3075,3075
2021/01/28,3141,3129,3129,3129,3129,3129,3129,3129,3129,3129
2021/01/29,3114,3132,3132,3132,3132,3132,3132,3132,3132,3132
2021/01/30,3149,3203,3203,3203,3203,3203,3203,3203,3203,3203
2021/01/31,3221,3219,3219,3219,3219,3219,3219,3219,3219,3219
2021/02/01,3239,3233,3233,3233,3233,3233,3233,3233,3233,3233
2021/02/02,3244,3245,3245,3245,3245,3245,3245,3245,3245,3245
2021/02/03,3219,3269,3269,3269,3269,3269,3269,3269,3269,3269
