date,reality,RedVacc,RedR,OrangeR,LightBlueR,DarkBlueR
2021/07/01,71,71,71,71,71,71
2021/07/02,77,77,77,77,77,77
2021/07/03,64,64,64,64,64,64
2021/07/04,64,64,64,64,64,64
2021/07/05,77,77,77,77,77,77
2021/07/06,83,83,83,83,83,83
2021/07/07,83,83,83,83,83,83
2021/07/08,89,89,89,89,89,89
2021/07/09,106,106,106,106,106,106
2021/07/10,80,80,80,80,80,80
2021/07/11,71,71,71,71,71,71
2021/07/12,107,107,107,107,107,107
2021/07/13,125,125,125,125,125,125
2021/07/14,100,100,100,100,100,100
2021/07/15,119,119,119,119,119,119
2021/07/16,125,125,125,125,125,125
2021/07/17,148,148,148,148,148,148
2021/07/18,143,143,143,143,143,143
2021/07/19,203,203,203,203,203,203
2021/07/20,184,184,184,184,184,184
2021/07/21,243,243,243,243,243,243
2021/07/22,242,242,242,242,242,242
2021/07/23,256,256,256,256,256,256
2021/07/24,267,267,267,267,267,267
2021/07/25,311,311,311,311,311,311
2021/07/26,371,371,371,371,371,371
2021/07/27,398,398,398,398,398,398
2021/07/28,410,410,410,410,410,410
2021/07/29,475,475,475,475,475,475
2021/07/30,480,480,480,480,480,480
2021/07/31,419,419,419,419,419,419
2021/08/01,,541,536,536,536,536
2021/08/02,,583,579,579,579,579
2021/08/03,,633,629,629,629,629
2021/08/04,,683,666,666,666,666
2021/08/05,,740,753,709,709,709
2021/08/06,,790,802,790,765,734
2021/08/07,,853,870,833,796,759
2021/08/08,,910,914,883,821,771
2021/08/09,,1003,988,932,858,784
2021/08/10,,1067,1050,982,883,784
2021/08/11,,1138,1130,1031,907,790
2021/08/12,,1202,1192,1081,920,784
2021/08/13,,1273,1273,1130,945,784
2021/08/14,,1337,1341,1180,957,771
2021/08/15,,1422,1421,1229,969,759
2021/08/16,,1493,1489,1267,982,753
2021/08/17,,1571,1570,1316,994,734
2021/08/18,,1635,1632,1353,994,722
2021/08/19,,1714,1706,1390,1006,709
2021/08/20,,1770,1768,1427,1006,685
2021/08/21,,1841,1842,1452,1006,672
2021/08/22,,1898,1892,1477,994,647
2021/08/23,,1955,1954,1508,994,623
2021/08/24,,2012,2003,1527,982,610
2021/08/25,,2048,2053,1545,969,585
2021/08/26,,2090,2090,1551,957,561
2021/08/27,,2126,2127,1564,945,536
2021/08/28,,2154,2152,1576,932,524
2021/08/29,,2183,2177,1576,920,499
2021/08/30,,2197,2195,1576,901,474
2021/08/31,,2211,2214,1570,883,455
2021/09/01,,2218,2220,1564,864,437
2021/09/02,,2225,2220,1551,846,412
2021/09/03,,2218,2220,1539,821,400
2021/09/04,,2211,2208,1520,802,375
2021/09/05,,2197,2189,1502,784,363
2021/09/06,,2168,2164,1477,759,344
2021/09/07,,2140,2139,1452,734,325
2021/09/08,,2112,2102,1421,709,313
2021/09/09,,2069,2065,1390,691,301
2021/09/10,,2026,2028,1359,666,276
2021/09/11,,1984,1978,1328,647,264
2021/09/12,,1941,1929,1291,623,251
2021/09/13,,1884,1886,1260,598,239
2021/09/14,,1841,1830,1217,579,226
2021/09/15,,1785,1780,1192,561,214
2021/09/16,,1735,1725,1155,536,202
2021/09/17,,1671,1675,1118,524,189
2021/09/18,,1628,1619,1081,499,183
2021/09/19,,1571,1570,1044,486,177
2021/09/20,,1514,1508,1006,462,165
2021/09/21,,1458,1458,982,449,158
2021/09/22,,1415,1409,945,437,152
2021/09/23,,1358,1347,907,418,140
2021/09/24,,1301,1304,883,400,140
2021/09/25,,1244,1248,846,387,127
2021/09/26,,1202,1198,821,375,127
2021/09/27,,1131,1149,784,363,115
2021/09/28,,1088,1099,759,350,115
2021/09/29,,1045,1050,722,338,103
2021/09/30,,1003,1013,697,325,103
