date,reality,red_pessimiste_VE,green_pessimiste_VE,blue_pessimiste_VE
2021/12/01,1930,2012,2012,2012
2021/12/02,1980,2026,2026,2026
2021/12/03,2010,2091,2091,2091
2021/12/04,2120,2078,2078,2078
2021/12/05,2230,2146,2146,2146
2021/12/06,2290,2209,2209,2209
2021/12/07,2380,2280,2280,2280
2021/12/08,2400,2323,2323,2323
2021/12/09,2450,2420,2420,2420
2021/12/10,2540,2451,2451,2451
2021/12/11,2620,2522,2522,2522
2021/12/12,2740,2612,2612,2612
2021/12/13,2780,2679,2679,2679
2021/12/14,2820,2732,2732,2732
2021/12/15,2840,2848,2848,2848
2021/12/16,2900,2869,2869,2869
2021/12/17,2940,2964,2964,2964
2021/12/18,2960,2939,2939,2939
2021/12/19,3050,2998,2998,2998
2021/12/20,3100,3124,3124,3124
2021/12/21,3100,3157,3157,3157
2021/12/22,3120,3175,3175,3175
2021/12/23,3150,3210,3210,3210
2021/12/24,3200,3257,3257,3257
2021/12/25,3260,3272,3272,3272
2021/12/26,3320,3334,3334,3334
2021/12/27,3350,3360,3360,3360
2021/12/28,3380,3366,3366,3366
2021/12/29,3400,3404,3404,3404
2021/12/30,3450,3419,3419,3419
2021/12/31,3420,3418,3418,3418
2022/01/01,3490,3380,3380,3380
2022/01/02,3590,3482,3482,3482
2022/01/03,,3516,3516,3516
2022/01/04,,3548,3548,3548
2022/01/05,,3586,3586,3586
2022/01/06,,3637,3637,3637
2022/01/07,,3683,3683,3683
2022/01/08,,3725,3725,3725
2022/01/09,,3765,3765,3765
2022/01/10,,3902,3865,3817
2022/01/11,,3965,3934,3853
2022/01/12,,4041,3983,3896
2022/01/13,,4128,4037,3941
2022/01/14,,4219,4096,3988
2022/01/15,,4308,4162,4036
2022/01/16,,4405,4245,4095
2022/01/17,,4538,4322,4135
2022/01/18,,4671,4403,4167
2022/01/19,,4802,4486,4197
2022/01/20,,4949,4573,4232
2022/01/21,,5081,4663,4266
2022/01/22,,5219,4740,4303
2022/01/23,,5353,4827,4332
2022/01/24,,5481,4891,4355
2022/01/25,,5599,4961,4373
2022/01/26,,5707,5017,4384
2022/01/27,,5795,5058,4384
2022/01/28,,5874,5101,4384
2022/01/29,,5934,5131,4385
2022/01/30,,5976,5146,4363
2022/01/31,,5996,5151,4338
2022/02/01,,6001,5136,4358
2022/02/02,,5989,5113,4260
2022/02/03,,5961,5075,4219
2022/02/04,,5908,5037,4165
2022/02/05,,5837,4979,4106
2022/02/06,,5758,4919,4037
2022/02/07,,5666,4830,3974
2022/02/08,,5558,4744,3899
2022/02/09,,5438,4651,3815
2022/02/10,,5307,4555,3735
2022/02/11,,5161,4441,3648
2022/02/12,,5025,4336,3551
2022/02/13,,4896,4216,3465
2022/02/14,,4713,4088,3383
2022/02/15,,4552,3960,3259
2022/02/16,,4400,3835,3168
2022/02/17,,4230,3704,3065
2022/02/18,,4066,3576,2961
2022/02/19,,3902,3448,2865
2022/02/20,,3737,3315,2763
2022/02/21,,3579,3187,2657
2022/02/22,,3424,3053,2559
2022/02/23,,3264,2931,2467
2022/02/24,,3111,2807,2400
2022/02/25,,2968,2685,2269
2022/02/26,,2823,2560,2185
2022/02/27,,2679,2450,2088
2022/02/28,,2538,2336,2001
2022/03/01,,2424,2223,1946
2022/03/02,,2281,2117,1830
2022/03/03,,2173,2024,1766
2022/03/04,,2065,1921,1697
2022/03/05,,1968,1824,1592
2022/03/06,,1865,1731,1525
2022/03/07,,1769,1639,1455
2022/03/08,,1677,1552,1404
2022/03/09,,1585,1477,1320
2022/03/10,,1498,1395,1261
2022/03/11,,1415,1312,1182
2022/03/12,,1344,1257,1128
2022/03/13,,1268,1181,1063
2022/03/14,,1196,1118,1004
2022/03/15,,1132,1065,953
2022/03/16,,1071,1011,902
2022/03/17,,1007,961,859
2022/03/18,,950,909,805
2022/03/19,,860,860,772
2022/03/20,,816,816,737
2022/03/21,,773,773,703
2022/03/22,,731,731,670
2022/03/23,,690,690,635
2022/03/24,,649,649,602
2022/03/25,,617,617,560
2022/03/26,,586,586,535
2022/03/27,,557,557,511
2022/03/28,,474,474,474
2022/03/29,,446,446,446
2022/03/30,,422,422,422
2022/03/31,,392,392,392
,,447,447,447
