date,red,green,blue
2021-12-01,,,732
2021-12-02,,,807
2021-12-03,,,820
2021-12-04,,,882
2021-12-05,,,907
2021-12-06,,,936
2021-12-07,,,953
2021-12-08,,,977
2021-12-09,,,978
2021-12-10,,,997
2021-12-11,,,1011
2021-12-12,,,1018
2021-12-13,,,1022
2021-12-14,,,1029
2021-12-15,,,1023
2021-12-16,,,1015
2021-12-17,,,1030
2021-12-18,,,1050
2021-12-19,,,1068
2021-12-20,,,1076
2021-12-21,,,1086
2021-12-22,,,1095
2021-12-23,,,1109
2021-12-24,,,1123
2021-12-25,,,1108
2021-12-26,,,1158
2021-12-27,,,1188
2021-12-28,,,1222
2021-12-29,,,1258
2021-12-30,,,1305
2021-12-31,,,1350
2022-01-01,,,1405
2022-01-02,,,1484
2022-01-03,,,1578
2022-01-04,,,1670
2022-01-05,1803,1803,1778
2022-01-06,1965,1911,1871
2022-01-07,2067,2009,1940
2022-01-08,2202,2110,2031
2022-01-09,2348,2228,2118
2022-01-10,2523,2356,2197
2022-01-11,2700,2480,2274
2022-01-12,2888,2601,2346
2022-01-13,3074,2724,2408
2022-01-14,3264,2844,2471
2022-01-15,3470,2965,2523
2022-01-16,3624,3063,2562
2022-01-17,3810,3161,2605
2022-01-18,3950,3243,2628
2022-01-19,4065,3309,2644
2022-01-20,4185,3362,2650
2022-01-21,4262,3402,2650
2022-01-22,4321,3418,2640
2022-01-23,4343,3419,2617
2022-01-24,4344,3404,2550
2022-01-25,4318,3371,2531
2022-01-26,4262,3323,2471
2022-01-27,4175,3255,2412
2022-01-28,4088,3180,2357
2022-01-29,3984,3093,2281
2022-01-30,3858,2996,2201
2022-01-31,3718,2894,2125
2022-02-01,3572,2785,2048
2022-02-02,3412,2669,1959
2022-02-03,3248,2552,1878
2022-02-04,3084,2432,1783
2022-02-05,2945,2316,1701
2022-02-06,2779,2198,1620
2022-02-07,2600,2080,1534
2022-02-08,2448,1962,1456
2022-02-09,2289,1844,1390
2022-02-10,2139,1734,1312
2022-02-11,1997,1640,1225
2022-02-12,1871,1538,1156
2022-02-13,1731,1440,1091
2022-02-14,1612,1345,1024
2022-02-15,1493,1255,965
2022-02-16,1379,1175,910
2022-02-17,1278,1095,843
2022-02-18,1182,1017,788
2022-02-19,1091,944,741
2022-02-20,1004,883,693
2022-02-21,931,817,646
2022-02-22,866,758,606
2022-02-23,782,702,562
2022-02-24,719,651,521
2022-02-25,658,603,487
2022-02-26,606,560,463
2022-02-27,559,516,432
2022-02-28,556,476,408
