date,new_hosp_smooth
2021/06/05,260
2021/06/06,247
2021/06/07,242
2021/06/08,230
2021/06/09,218
2021/06/10,209
2021/06/11,199
2021/06/12,190
2021/06/13,181
2021/06/14,169
2021/06/15,157
2021/06/16,148
2021/06/17,131
2021/06/18,133
2021/06/19,123
2021/06/20,116
2021/06/21,108
2021/06/22,103
2021/06/23,102
2021/06/24,94
2021/06/25,92
2021/06/26,91
2021/06/27,92
2021/06/28,80
2021/06/29,82
2021/06/30,73
2021/07/01,74
2021/07/02,74
2021/07/03,74
2021/07/04,74
2021/07/05,77
2021/07/06,85
2021/07/07,85
2021/07/08,84
2021/07/09,89
2021/07/10,91
2021/07/11,95
2021/07/12,97
2021/07/13,104
2021/07/14,116
2021/07/15,119
2021/07/16,129
2021/07/17,149
2021/07/18,157
2021/07/19,169
2021/07/20,188
2021/07/21,204
2021/07/22,225
2021/07/23,238
2021/07/24,265
2021/07/25,287
2021/07/26,315
2021/07/27,344
2021/07/28,372
2021/07/29,409
2021/07/30,426
2021/07/31,482
2021/08/01,515
2021/08/02,533
2021/08/03,542
2021/08/04,551
2021/08/05,566
2021/08/06,570
2021/08/07,597
2021/08/08,605
2021/08/09,607
2021/08/10,613
2021/08/11,623
2021/08/12,624
2021/08/13,627
2021/08/14,630
2021/08/15,629
2021/08/16,633
2021/08/17,625
2021/08/18,620
2021/08/19,618
2021/08/20,610
2021/08/21,607
2021/08/22,605
2021/08/23,583
2021/08/24,577
2021/08/25,560
2021/08/26,567
2021/08/27,542
2021/08/28,528
2021/08/29,509
2021/08/30,495
2021/08/31,469
2021/09/01,463
2021/09/02,444
2021/09/03,425
2021/09/04,415
2021/09/05,412
2021/09/06,390
2021/09/07,369
2021/09/08,354
2021/09/09,338
2021/09/10,329
2021/09/11,310
2021/09/12,302
2021/09/13,294
2021/09/14,289
2021/09/15,268
2021/09/16,252
2021/09/17,241
2021/09/18,231
2021/09/19,226
2021/09/20,220
2021/09/21,213
2021/09/22,207
2021/09/23,198
2021/09/24,187
2021/09/25,180
2021/09/26,161
2021/09/27,162
2021/09/28,152
